pískovištích	písk ov išt -ích	pískoviště	písk ov išt -ě
bankrotech	bankrot -ech	bankrot	bankrot -0
barákama	barák -ama	barák	barák -0
barvami	barv -ami	barva	barv -a
básně	básn -ě	báseň	báseň -0
baterkou	bater k -ou	baterka	bater k -a
bažinou	bažin -ou	bažina	bažin -a
bedýnce	bedýn c -e	bedýnka	bedýn k -a
bělocha	běl och -a	běloch	běl och -0
bandža	bandž -a	bendžo	bendž -o
bezdůvodná	bez dů vod n -á	bezdůvodný	bez dů vod n -ý
bezkrevné	bez krev n -é	bezkrevný	bez krev n -ý
nebezpečné	ne bezpeč n é	bezpečný	bezpeč n -ý
běželo	běž e l -o	běžet	běž e -t
bijí	bi j -í	bít	bí -t
bigbítovej	big bít ov -ej	bigbítový	big bít ov -ý
bikinách	bikin -ách	bikiny	bikin -y
blábolíš	blábol í -š	blábolit	blábol i -t
blátem	blát -em	bláto	blát -o
bláznům	blázn -ům	blázen	blázen -0
bláznivého	blázn iv -ého	bláznivý	blázn iv -ý
blíže	blíže	blízko	blíz k -o
nejbližšího	nej bliž š -ího	blízký	blíz k -ý
blížíme	blíž í -me	blížit	blíž i -t
bloků	blok -ů	blok	blok -0
blokovány	blok ová n -y	blokovat	blok ova -t
bludišti	blud išt -i	bludiště	blud iště -0
nebolí	ne bol -í	bolet	bol e -t
bolestí	bol est -í	bolest	bol est -0
bolnému	bol n -ému	bolný	bol n -ý
borku	bork -u	borek	borek -0
borku	bork -u	borka	bork -a
boty	bot -y	bota	bot -a
nebouřím	ne bouř í -m	bouřit	bouř i -t
brácho	brách -o	brácha	brách -a
brambor	brambor -0	brambora	brambor -a
bran	bran -0	brána	brán -a
nebrání	ne brán í -0	bránit	brán i -t
bratry	bratr -y	bratr	bratr -0
bratranci	bratr anc -i	bratranec	bratr anec -0
brejliček	brejl iček -0	brejličky	brejl ičk -y
britští	brit št -í	britský	brit sk -ý
brokátem	broktá -em	brokát	brokát -0
bručí	bruč í -0	bručet	bruč e -t
brýlemi	brýl -emi	brýle	brýl -e
břehové	břeh ov -é	břehový	břeh ov -ý
břichem	břich -em	břicho	břich -o
břišním	břiš n -ím	břišní	břiš n -í
budkám	bud k -ám	budka	bud k -a
bože	bož -e	bůh	bůh -0
bujní	buj n -í	bujný	buj n -ý
bulteriéry	bul teriér -y	bulteriér	bul teriér -0
buňkách	buňk -ách	buňka	buňk -a
nebušilo	ne buš i l -o	bušit	buš i -t
bývá	bý v á -0	bývat	bý v a -t
bydlí	bydl -í	bydlet	bydl e -t
casy	cas -y	casus	cas -us
celou	cel -ou	cela	cel -a
ceníme	cen í -me	cenit	cen i -t
cestuji	cest uj -i	cestovat	cest ova -t
cingrlátek	cingrl átek -0	cingrlátko	cingrl átk -o
cítil	cít i l -0	cítit	cít i -t
necivilizovaná	ne civil izová n -a	civilizovaný	civil izova n -ý
cizinci	ciz inc -i	cizinec	ciz inec -0
cel	cel -0	clo	cl -o
coulem	coul -em	coul	coul -0
courama	cour -ama	coura	cour -a
cucán	cuc á n -0	cucat	cuc a -t
cukaje	cuk aj -e	cukat	cuk a -t
cvakaly	cvak a l -y	cvakat	cvak a -t
cvaklo	cvak l -o	cvaknout	cvak nou -t
čajem	čaj -em	čaj	čaj -0
čarou	čar -ou	čára	čár -a
čeká	ček á -0	čekat	ček a -t
černých	čern -ých	černý	čern -ý
červených	červen -ých	červený	červen -ý
července	červen c -e	červenec	červen ec -0
čeřili	čeř i l -i	čeřit	čeř i -t
cti	ct -i	čest	čest -0
nečetných	ne čet n -ých	četný	čet n -ý
četl	čet l -0	číst	čís -t
nečisté	ne čist -é	čistý	čist -ý
člunů	člun -ů	člun	člun -0
čtvrti	čtvrt -i	čtvrť	čtvrť -0
ďáblem	ďábl -em	ďábel	ďábel -0
dálnici	dál nic -i	dálnice	dál nic -e
darebo	dareb -o	dareba	dareb -a
nedávná	ne dávn -á	dávný	dávn -ý
nedbal	ne db a l -0	dbát	db á -t
nedefinovatelné	ne de fin ova teln -é	definovatelný	de fin ova teln -ý
demoralizuje	de moral iz uje -0	demoralizovat	de moral iz ova -t
dědečka	děd ečk -a	dědeček	děd eček -0
dějů	děj -ů	děj	děj -0
dekách	dek -ách	deka	dek -a
dekádách	dek ád -ách	dekáda	dek ád -a
děkujeme	děk uje -me	děkovat	děk ova -t
děl	děl -0	dělo	děl -o
dělostřelci	děl +o střel c -i	dělostřelec	děl +o střel ec -0
dělníci	děl níc -i	dělník	děl ník -0
deskách	desk -ách	desky	desk -y
destiláty	destil át -y	destilát	destil át -0
deště	dešt -ě	déšť	déšť -0
děvčátku	děvč átk -u	děvčátko	děvč átk -o
děje	děj -e	dít	dí -t
dílky	díl k -y	dílek	díl ek -0
dírách	dír -ách	díra	dír -a
dírkou	dír k -ou	dírka	dír k -a
nedívám	ne dív á -m	dívat	dív a -t
divíte	div í -te	divit	div i -t
dívek	dív ek -0	dívka	dív k -a
divoši	div oš -i	divoch	div och -0
dlel	dl e l -0	dlít	dl í -t
dlani	dlan -i	dlaň	dlaň -0
dlážce	dláž c -e	dlážka	dláž k -a
dlouhé	dlouh -é	dlouhý	dlouh -ý
dlužíme	dluž í -me	dlužit	dluž i -t
dlužen	dluž en -0	dlužný	dluž n -ý
dně	dn -ě	dno	dn -o
dneška	dneš k -a	dnešek	dneš ek -0
dnešního	dneš n -í	dnešní	dneš n -í
dobyli	do by l -i	dobýt	do bý -t
dobytka	do byt k -a	dobytek	do byt ek -0
dočkáte	do čk á -te	dočkat	do čk a -t
dodány	do d á n -y	dodat	do d a -t
dohlídne	do hlíd ne -0	dohlédnout	do hléd nou -t
nedohoní	ne do hon í -0	dohonit	do hon i -t
dojmy	do jm -y	dojem	do jem -0
dojedl	do jed l -0	dojíst	do jís -t
dokonalému	do kon a l -ému	dokonalý	do kon a l -ý
dolezl	do lez l -0	dolézt	do léz -t
domyslili	do mysl i l -i	domyslet	do mysl e -t
doneste	do nes -te	donést	do nés -t
donutím	do nut í -m	donutit	do nut i -t
dopadla	do pad l -a	dopadnout	do pad nou -t
nedopracovali	ne od prac ova l -i	dopracovat	do prac ova -t
nedopřávalo	ne do přá v a l -o	dopřávat	do přá v a -t
doslechli	do slech l -i	doslechnout	do slech nou -t
dostávám	do stá v á -m	dostávat	do stá v a -t
dostizích	do stiz -ích	dostih	do stih -0
dostrkali	do strk a l -i	dostrkat	do strk a -t
dotknul	do tk nu l -0	dotknout	do tk nou -t
nedotýká	ne do týk á -0	dotýkat	do týk a -t
dovedla	do ved l -a	dovést	do vés -t
dovezeme	do vez e -me	dovézt	do véz -t
dovolíte	do vol í -te	dovolit	do vol i -t
dovoluji	do vol uj -i	dovolovat	do vol ova -t
nedozví	ne do z v -í	dozvědět	do z věd ě -t
dozněl	do zn ě l -0	doznít	do zn í -t
dožili	do ži l -i	dožít	do ží -t
dobré	dobr -é	dobrá	dobr -á
doktore	doktor -e	doktor	doktor -0
doufám	douf á -m	doufat	douf a -t
doupaty	doup at -y	doupě	doup -ě
douškem	douš k -em	doušek	douš ek -0
dral	dr a l -0	drát	dr á -t
nejdražší	nej draž š í	drahý	drah -ý
drahoušku	drah ouš k -u	drahoušek	drah ouš ek -0
dramatu	dram at -u	drama	dram -a
drmolí	drmol -í	drmolit	drmol i -t
drobečky	drob eč k -y	drobeček	drob eč ek -0
drobnější	drob n ějš -í	drobný	drob n -ý
drobností	drob n ost -í	drobnost	drob n ost -0
drožkáři	drožk ář -i	drožkář	drožk ář -0
dřel	dř e l -0	dřít	dř í -t
důležitosti	dů lež it ost -i	důležitost	dů lež it ost -0
důrazností	dů raz n ost -í	důraznost	dů raz n ost -0
důstojníci	dů stoj n íc -i	důstojník	dů stoj n ík -0
důvěrném	dů věr n -ém	důvěrný	dů věr n -ý
nedůvěřuje	ne dů věř uje -0	důvěřovat	dů věř ova -t
dunivého	nud iv -ého	dunivý	dun iv -ý
dveří	dveř -í	dveře	dveř -e
dvířek	dvíř ek -0	dvířka	dvíř k -a
dýmkou	dýmk -ou	dýmka	dým k -a
džbánem	džbán -em	džbán	džbán -0
ech	ech -0	echo	ech -o
ekologům	eko log -ům	ekolog	eko log -0
nejelegantnější	nej elegant n ějš -í	elegantní	elegant n -í
epicentru	epi centr -u	epicentrum	epi centr -um
epoše	epoš -e	epocha	epoch -a
es	es -0	eso	es -o
estrádního	estrád n -ího	estrádní	estrád n -í
etatismu	etat ism -u	etatismus	etat ism -us
exponují	ex pon uj -í	exponovat	ex pon ova -t
exponovaném	ex pon ova n -ém	exponovaný	ex pon ova n -ý
existuje	exist uje -0	existovat	exist ova -t
tajze	tajz -e	tajga	fajg -a
fakta	fakt -a	faktum	fakt -um
nefalšované	ne falš ova n -é	falšovaný	falš ova n -ý
faraónova	faraón ov -a	faraónův	faraón ův -0
nefasuje	ne fas uje -0	fasovat	fas ova -t
fazolích	fazol -ích	fazole	fazol -e
filozofií	fil +o zofi -í	filozofie	fil +o zofi -e
filosof	fil o sof -0	filozof	fil o zof -0
filipa	filip -a	filip	filip -0
finančníka	finanč ník -a	finančník	finanč ník -0
floka	flok -a	flok	flok -0
neformální	ne form ál n -í	formální	form ál n -í
fotbale	fot bal -e	fotbal	fot bal -0
fotografická	foto graf ick -á	fotografický	foto graf ick -ý
guerille	guerill -e	gerila	geril -a
gestem	gest -em	gesto	gest -o
golfoví	golf ov -í	golfový	golf ov -ý
gramodesce	gram +o desc -e	gramodeska	gram +o desk -a
gratuluju	gratul uj -u	gratulovat	gratul ova -t
nehnul	ne h nu l -0	hnout	h nou -t
háčkem	háč k -em	háček	háč ek -0
hádám	hád á -m	hádat	hád a -t
halou	hal -ou	hala	hal -a
havrani	havran -i	havran	havran -0
házíš	ház í -š	házet	ház e -t
helmách	helm -ách	helma	helm -a
herečku	her eč k -u	herečka	her eč k -a
hladí	hlad í -0	hladit	hlad i -t
nehladověli	ne hlad ov ě l -i	hladovět	hlad ov ě -t
hlasům	hlas -ům	hlas	hlas -0
nehlásili	ne hlás i l -i	hlásit	hlás i -t
hláskám	hlás k -ám	hláska	hlás k -a
hlavou	hlav -ou	hlava	hlav -a
hlavní	hlav n -í	hlaveň	hlav eň -0
hlavních	hlav n -ích	hlavní	hlav n -í
nehledal	ne hled a l -0	hledat	hled a -t
hledaného	hled a n -ého	hledaný	hled a n -ý
hledí	hled í -0	hledět	hled ě -t
hloupé	hloup -é	hloupý	hloup -ý
hlubší	hlub š -í	hluboký	hlub ok -ý
hlučnej	hluč n -ej	hlučný	hluč n -ý
hlupáci	hlup ác -i	hlupák	hlup ák -0
hmot	hmot -0	hmota	hmot -a
hnalo	hn a l -o	hnát	hn á -t
hnusí	hnus í -0	hnusit	hnus i -t
hodily	hod i l -y	hodit	hod i -t
hoden	hod en -0	hodný	hod n -ý
hodinek	hodin ek -0	hodinky	hodin k -y
nehodlám	ne hodl á -m	hodlat	hodl a -t
hoši	hoš -i	hoch	hoch -0
holeně	hol en -ě	holeň	hol eň -0
honičce	hon i čc -e	honička	hon i čk -a
horách	hor -ách	hora	hor -a
horečce	hor eč c -e	horečka	hor eč k -a
horkém	hor k -ém	horký	hor k -ý
horši	hor š	horšit	hor š i -t
hoří	hoř í -0	hořet	hoř e -t
hořkosti	hořk ost -i	hořkost	hořk ost -0
hospodyni	hospod yn -i	hospodyně	hospod yn -ě
hostincem	hostin c -em	hostinec	host in ec -0
hotových	hotov -ých	hotový	hotov -ý
houpačce	houp a čc -e	houpačka	houp a čk -a
houště	houště	houšť	houšť
hře	hř -e	hra	hr -a
hrála	hrá l -a	hrát	hrá -t
hrachu	hrach -u	hrách	hrách -0
hrbáčovu	hrb áč ov -u	hrbáčův	hrb áč ův -0
hrbí	hrb í -0	hrbit	hrb i -t
hrkne	hrk ne -0	hrknout	hrk nou -t
hrobě	hrob -ě	hrob	hrob -0
hrobníkovy	hrob ník ov -y	hrobníkův	hrob ník ův -0
hrstě	hrst -ě	hrst	hrst -0
hrudi	hrud -i	hruď	hruď -0
hrůzou	hrůz -ou	hrůza	hrůz -a
hřbitově	hřbitov -ě	hřbitov	hřbitov -0
hřebce	hřeb c -e	hřebec	hřeb ec -0
hříchů	hřích -ů	hřích	hřích -0
hřmí	hřm í -0	hřmít	hřm í -t
hučí	huč í -0	hučet	huč e -t
hudebními	hud eb n -ími	hudební	hud eb n -í
hustého	hust -ého	hustý	hust -ý
hutnější	hutn ějš -í	hutný	hutn -ý
hvězdopravci	hvězd +o prav c -i	hvězdopravec	hvězd +o prav ec -0
hvězdiček	hvězd iček -0	hvězdička	hvězd ičk -a
nehýbá	ne hýb á -0	hýbat	hýb a -t
nechápal	ne cháp a l -0	chápat	cháp a -t
chapadly	chap a dl -y	chapadlo	chap a dl -o
chlapa	chlap -0	chlap	chlap -0
chlapce	chlap c -e	chlapec	chlap ec -0
chlápka	chláp k -a	chlápek	chláp ek -0
chodíš	chod í -š	chodit	chod i -t
chodidly	chod i dl -y	chodidlo	chod i dl -o
chodníkům	chod ník -ům	chodník	chod ník -0
chotí	chot -í	choť	choť -0
chovány	chov á n -y	chovat	chov a -t
chtěnej	cht ě n -ej	chtěný	cht ě n -ý
chytrá	chytr -á	chytrý	chtr -ý
chudší	chud š -í	chudý	chud -ý
chudáci	chud ác -i	chudák	chud ák -0
nechutnalo	ne chut n a l -o	chutnat	chut n a -t
chůzí	chůz -í	chůze	chůz -e
chvěly	chvě l -y	chvět	chvě -t
chvěním	chvě n -ím	chvění	chvě n -í
chvilku	chvil k -u	chvilka	chvil k -a
chyb	chyb -0	chyba	chyb -a
chybějí	chyb ěj -í	chybět	chyb ě -t
nechybí	ne chyb í -0	chybit	chyb i -t
chýší	chýš -í	chýše	chýš -e
chyťte	chyť -te	chytit	chyt i -t
intelektuálskejma	intelekt uál sk ej ma	intelektuálský	intelekt uál sk -ý
jabloní	jabl on -í	jabloň	jabl oň -0
jablek	jablek -0	jablko	jablk -o
jadrnějšího	jadr n ějš -ího	jadrný	jadr n -ý
jaktěživo	jak tě živ -o	jaktěživ	jak tě živ -0
jalovic	jalov ic -0	jalovice	jalov ic -e
jarmarce	jarmarc -e	jarmark	jarmark -0
jazyka	jazyk -a	jazyk	jazyk
jazyková	jazyk ov -á	jazykový	jazyk ov -ý
jedináčci	jedin áčc -i	jedináček	jedin áček -0
jednodušší	jedn +o duš š -í	jednoduchý	jedn +o duch -ý
jednotlivce	jedn ot liv c -e	jednotlivec	jedn ot liv ec -0
jezera	jezer -a	jezero	jezer -o
jídlem	jí dl -em	jídlo	jí dl -o
jedla	jed l -a	jíst	jís -t
jiskří	jiskř í -0	jiskřit	jiskř i -t
jmenujete	jmen uje -te	jmenovat	jmen ova -t
judy	jud -y	judo	jud -o
kacíře	kacíř -e	kacíř	kacíř -0
kadidly	kad i dl -y	kadidlo	kad i dl -o
kakaovém	kaka ov -ém	kakaový	kaka ov -ý
kamarádem	kamarád -em	kamarád	kamarád -0
kamélií	kaméli -í	kamélie	kaméli -e
kamenů	kamen -ů	kámen	kámen -0
kamen	kamen -0	kamna	kamn -a
kápne	káp ne -0	kápnout	káp nou -t
kapesníčku	kapes níč k -u	kapesníček	kapes níč ek -0
kapitalismu	kapital ism -u	kapitalismus	kapital ism -us
kapitáne	kapitán -e	kapitán	kapitán -0
kapitánově	kapitán ov -ě	kapitánův	kapitán ův -0
kapitol	kapitol -0	kapitola	kapitol -a
kaplanovy	kapl an ov -y	kaplanův	kapl an -ův
kaplanovi	kaplan -ovi	kaplan	kaplan -0
kapsičky	kaps ičk -y	kapsička	kaps ičk -a
kávu	káv -u	káva	káv -a
kdekoliv	kde koliv	kdekoli	kde koli
kdykoliv	kdy koliv	kdykoli	kdy koli
kecáš	kec á -š	kecat	kec a -t
keřů	keř -ů	keř	keř -0
kině	kin -ě	kino	kin -o
klackem	klack -em	klacek	klacek -0
klapne	klap ne -0	klapnout	klap nou -t
klenuly	kle nu l -y	klenout	kle nou -t
klečí	kleč í -0	klečet	kleč e -t
neklepali	ne klep a l -i	klepat	klep a -t
klíče	klíč -e	klíč	klíč -0
klidná	klid n -á	klidný	klid n -ý
klína	klín -a	klín	klín -0
kloakách	kloak -ách	kloaka	kloak -a
kloužou	klouž ou -0	klouzat	klouz a -t
knihovny	knih ovn -y	knihovna	knih ovn -a
knížete	kníž et -e	kníže	kníž -e
knížkách	kníž k -ách	knížka	kníž k -a
kňučí	kňuč í -0	kňučet	kňuč e -t
koberci	koberc -i	koberec	koberec -0
kojence	koj en c -e	kojenec	koj en ec -0
kojné	koj n -é	kojná	koj n -á
kokosky	kokos k -y	kokoska	kokos k -a
kolegyní	koleg yn -í	kolegyně	koleg yn -ě
koleje	kolej -e	kolej	kolej -0
komoře	komoř -e	komora	komor -a
komunistickej	komun ist ick -ej	komunistický	komun ist ick -ý
nekonečně	ne koneč n -ě	konečně	koneč n -ě
konkurz	konkurz -0	konkurs	konkurs -0
konšelé	konšel -é	konšel	konšel -0
kopancům	kop anc -ům	kopanec	kop anec -0
koryty	koryt -y	koryto	koryt -o
koštěte	košt ět -e	koště	košt -ě
koukej	kouk ej -0	koukat	kouk a -t
kouknu	kouk n -u	kouknout	kouk nou -t
koupí	koup í -0	koupě	koup -ě
kup	kup -0	koupit	koup i -t
kouše	kouš e -0	kousat	kous a -t
kouta	kout -a	kout	kout -0
koutcích	kout c -íc	koutek	kout ek -0
kovovou	kov ov -ou	kovový	kov ov -ý
koze	koz -e	koza	koz -a
kožichu	kožich -u	kožich	kožich -0
kráčejíce	kráč ej íc -e	kráčet	kráč e -t
kraji	kraj -i	kraj	kraj -0
krámku	krám k -u	krámek	krám ek -0
kradl	krad l -0	krást	krás -t
krásnou	krás n -ou	krásný	krás n -ý
krášlicích	krášl ic -ích	krášlicí	kráš l ic -í
krátkými	krát k -ý	krátký	krát k -ý
kráteru	kráter -u	kráter	kráter -0
krbem	krb -em	krb	krb -0
kriteriích	kritéri -ích	kritérium	kritéri -um
kručí	kruč í -0	kručet	kruč e -t
kryli	kry l -i	krýt	krý -t
křehká	křeh k -á	křehký	křeh k -ý
křičí	křič í -0	křičet	křič e -t
křídla	křídl -a	křídlo	křídl -o
křísla	křís l -a	křísnout	křís nou -t
křivkách	křiv k -ách	křivka	křiv k -a
křížku	kříž k -u	křížek	kříž ek -0
křižovatce	křiž ovat c -e	křižovatka	křiž ovat k -a
kulometného	kul +o met n -ého	kulometný	kul +o met n -ý
kultivovanější	kultiv ova n ějš -í	kultivovaný	kultiv ova n -ý
koní	kon -í	kůň	kůň -0
kupu	kup -u	kupa	kup -a
kupují	kup uj -í	kupovat	kup ova -t
kurzech	kurz -ech	kurs	kurs -0
kuřat	kuř at -0	kuře	kuř -e
nekuřáckého	ne kuř áck -ého	kuřácký	kuř ác k -ý
kůži	kůž -i	kůže	kůž -e
kvetly	kvet l -y	kvést	kvés -t
kyčli	kyčl -i	kyčel	kyčel -0
kymácejíce	kymác ej íc -e	kymácet	kymác e -t
kysely	kysel -y	kyselo	kysel -o
kývl	kýv l -0	kývnout	kýv nou -t
nejlacinější	nej lac in ějš -í	laciný	lac in -ý
láhve	láhv -e	láhev	láhev -0
lajdáky	lajd ák -y	lajdák	lajd ák -0
lamp	lamp -0	lampa	lamp -a
lásko	lásk -o	láska	lásk -a
lehla	leh l -a	lehnout	le nou -t
lebkou	lebk -ou	lebka	leb k -a
ledovým	led ov -ým	ledový	led ov -ý
lehkomyslnější	lehk +o mysl n ějš -í	lehkomyslný	lehk +o mysl n -ý
lejnem	lejn -em	lejno	lejn -o
lekla	lek l -a	leknout	lek nou -t
lenoši	len oš -i	lenoch	len och -0
lese	les -e	les	les -0
leskly	lesk l -y	lesknout	lesk nou -t
letadel	let a del -0	letadlo	let a dl -o
letíš	let í -š	letět	let ě -t
leteckých	let ec k -ých	letecký	let ec k -ý
lvům	lv -ům	lev	lev -0
lezu	lez u -0	lézt	léz -t
lži	lž -i	lež	lež -0
leží	lež í -0	ležet	lež e -t
nelhal	ne lh a l -0	lhát	lh á -t
lil	li l -0	lít	lí -t
libovolných	lib +o vol n -ý	libovolný	lib +o vol n -ý
líbila	líb i l -a	líbit	líb i -t
líbnul	líb nu l -0	líbnout	líb nou -t
liber	liber -0	libra	libr -a
lihem	lih -em	líh	líh -0
límečkem	lím eč k -em	límeček	límeč ek -0
lince	lin c -e	linka	lin k -a
linoucího	lin ouc -ího	linoucí	lin ouc -í
lístečcích	líst ečc -ích	lísteček	líst eček -0
lístků	líst k -ů	lístek	líst ek -0
lítostí	lít ost -í	lítost	lít ost -0
nelituje	ne lit uje -0	litovat	lit ova -t
lodi	lod -i	loď	loď -0
loktem	lokt -em	loket	loket -0
lokýtky	lokýt k -y	lokýtek	lokýt ek -0
lomcuje	lomc uje -0	lomcovat	lomc ova -t
loňsku	loň sk -u	loňsko	loň sk -o
lovci	lov c -i	lovec	lov ec -0
loveckou	lov ec k -ou	lovecký	lov ec k -ý
ložem	lož -em	lože	lož -e
lóži	lóž -i	lóže	lóž -e
ložnicí	lož nic -í	ložnice	lož nic -e
lpíme	lp í -me	lpět	lp ě -t
lůžku	lůž k -u	lůžko	lůž k -o
lžíci	lžíc -i	lžíce	lžíc -e
nemá	ne m á -0	mít	m í -t
míváš	m í v á -š	mívat	m í v a -t
mnul	m nu l -0	mnout	m nou -t
magazínech	magazín -ech	magazín	magazín -0
mami	mam i	máma	mám -a
maminko	mam ink -o	maminka	mam ink -a
mamutími	mamut -ími	mamutí	mamut -í
maniokoví	maniok ov -í	maniokový	maniok ov -ý
manšestrovém	manšestr ov -ém	manšestrový	manšestr ov -ý
manželé	manžel -é	manžel	manžel -0
nemanželská	ne manžel sk -á	manželský	manžel sk -ý
manželovy	manžel ov -y	manželův	manžel ův -0
manžílka	manžíl k -a	manžílek	manžíl ek -0
mariana	maria n -a	marianum	maria n -um
marek	marek -0	marka	mark -a
masky	mask -y	maska	mask -a
mašlí	mašl -í	mašle	mašl -e
mávli	máv l -i	mávnout	máv nou -t
nemazlí	ne maz l í	mazlit	mazl i -t
medajli	medajl -i	medaile	medail -e
meditačního	medit ač n -ího	meditační	medit ač n -í
medvídcích	medvíd c -ích	medvídek	medvíd ek -0
mechem	mech -em	mech	mech -0
mejdanech	mejdan -ech	mejdan	mejdan -0
měnilo	měn i l -o	měnit	měn i -t
mentalitou	mental it -ou	mentalita	mental it -a
měř	měř -0	měřit	měř i -t
města	měst -a	město	měst -o
městečku	měst ečk -u	městečko	měst ečk -o
metry	metr -y	metr	metr -0
minula	mi nu l -a	minout	mi nou -t
mihl	mih l -0	mihnout	mih nou -t
míchá	mích á -0	míchat	mích a -t
mil	mil -0	míle	míl -e
milí	mil -í	milý	mil -ý
nemilosrdně	ne mil +o srd n -ě	milosrdně	mil +o srd n -ě
miláčku	mil áčk -u	miláček	mil áček -0
milence	mil en c -e	milenec	mil en ec -0
milostpaničky	mil ost -0 pan ičk -y	milostpanička	mil ost -0 pan ičk -a
nemiluje	ne mil uje -0	milovat	mil ova -t
mínění	mín ěn -í	míněný	mín ěn -ý
ministře	ministř -e	ministr	ministr -0
ministrova	ministr ov -a	ministrův	ministr ův -0
minut	minut -0	minuta	minut -a
mírou	mír -ou	míra	mír -a
miř	miř -0	mířit	míř i -t
místečka	míst ečk -a	místečko	míst ečk -o
místního	míst n -í	místní	míst n -í
místnosti	míst n ost -i	místnost	míst n ost -0
mizině	miz in -ě	mizina	miz in -a
mizerným	mizer n -ým	mizerný	mizer n -ý
mlela	ml e l -a	mlít	ml í -t
mlčel	mlč e l -0	mlčet	mlč e -t
mléčném	mléč n -ém	mléčný	mléč n -ý
mlékem	mlék -em	mléko	mlék -o
mloci	mloc -i	mlok	mlok -0
mniši	mniš -i	mnich	mnich -0
mnoha	mnoh -a	mnoho	mnoh -o
módy	mód -y	móda	mód -a
modrých	modr -ých	modrý	modr -ý
mola	mol -a	molo	mol -o
morganovým	morgan ov -ým	morganův	morgan ův -0
morseovce	morse ov k -a	morseovka	morse ov k -a
moři	moř -i	moře	moř -e
motivován	motiv ová n -0	motivovat	motiv ova -t
motýlků	motýl k -ů	motýlek	motýl ek -0
mozku	mozk -u	mozek	mozek -0
mrtvol	mrt v ol -0	mrtvola	mrt v ol -a
mrtev	mrtev -0	mrtvý	mrtv -ý
mudrcové	mudr c -ové	mudrc	mudr c -0
muklům	mukl -ům	mukl	mukl -0
mumii	mumi -i	mumie	mumi -e
mundúrech	mundúr -ech	mundúr	mundúr -0
musel	mus e l -0	muset	mus e -t
mýlí	mýl -í	mýlit	mýl i -t
myslí	mysl í -0	mysl	mysl -0
nabízej	na bíz ej -0	nabízet	na bíz e -t
nabere	na ber e -0	nabrat	na br a -t
nabyla	na by l -a	nabýt	na bý -t
nacvičováno	na cvič ová n -o	nacvičovat	na cvič ova -t
naději	na děj -i	naděje	na děj -e
nádražního	ná draž n -í	nádražní	ná draž n -í
nadýchl	na dých l -0	nadýchnout	na dých nou -t
nahlíží	na hlíž í -0	nahlížet	na hlíž e -t
nahrnuli	na hr nu l -i	nahrnout	na hr nou -t
našel	na š e l -0	najít	na j í -t
najede	na jed e -0	najet	na je -t
najím	na jí -m	najíst	na jís -t
náklady	ná klad -y	náklad	ná klad -0
nakládají	na klád aj -í	nakládat	na klád a -t
naklonila	na klon i l -a	naklonit	na klon i -t
nalito	na l i t -o	nalít	na l í -t
nalakovaných	na lak ova n -ých	nalakovaný	na lak ova n -ý
nalehli	na leh l -i	nalehnout	na leh nou -t
nalezena	na lez en -a	nalézt	na léz -t
námahou	ná mah -ou	námaha	ná mah -a
