Abraham	Abrahám
Born	bor,Borovan,Borat,zodbornit,borůvka,borec,Zborov,Zborný,Oborný,zodbornět,Borodin,Voborný
Borodin	Bordovice,bor,Born
Borovan	Born,bor,borůvka,Zborov,borec,Borat,zodbornit,Zborný,Oborný
Bosana	Bosna,bos,bosovat
Bosch	Bosna,bos
Bosna	bos,Bosch,Bosana,bosovat
Boubín	bouda,Boudný
Boudný	bouda,zaboudit,Buda,zabudnout,dobuzovat,Boubín,Budín,přiboudlý
Boulez	boule,boulit,boulař
Bourne	bourat,bouře
Bořík	bořit,Záboří,bor
Božka	bůh,zboží,bohovat,zbožnit
Brandejs	Brandýs,brand,Brandl
Brandl	Brandejs
Brandýs	Brandejs,brand
Bratinka	bratr
Brdečka	Brdy
Brdy	brzy,Brdečka,brzda,Brod
Breda	Brest
Brest	Břest,brejk,Breda
Brit	břit,brojit
Brno	brnět,brnkat
Brod	brodit,brozovat,dobrodit,brzy,Brozan,Brdy,brzda,obraz
Bronte	Brož,brož,bronz,bronzař,Byron
Brook	brok,brouk,brokař,brokovnice,Brooker,broker,brozovat,obročí
Brooker	broker,Brook,brokař,brok
Broum	Broumov,brum
Broumov	Broum
Brozan	brozovat,brodit,brzy,Brod
Brož	brožura,Bronte,brojit,brzy,zbroj
Brunej	brunet,brunátný
Bruntál	brunátný,brunet
Brusel	brusle,brusnice
Buben	bubák,bubínkář,zabubat
Buchanan	buchancovat,buchat,buchta
Buchara	Buchár,Bucharin
Bucharin	Buchara
Buchár	Buchara,buchat,buchta,buchcovat
Buda	budovat,Budín,bouda,Juda,zabudnout,Boudný,budoár,judo,odbuzovat,dobuzovat,bodat
Budín	Buda,budovat,zabudnout,bouda,Boudný
Bumbál	bumbat
Bunin	buňka,buntovat,bunda
Burda	burza,Bury,urbura
Burjat	Bury
Bury	burza,jury,urbura,Burjat,Burda
Bynov	Ben
Byron	Bronte
Bystřice	zbystřet,bystrý
Byzanc	bdít
Bába	baba,Babák,bábita,Babice,Babán,Babík,babit,babičkovat,babočka,Babel
Bánovec	bán,báň,bánit,banán,banka,baňka,banát
Bárt	Bárta,bárka,barter,Bartes
Bárta	Bárt,bárka,Barták,Bartes,barter,Bartoň
Bíl	bílý,běl,Bělík,Bělina,Bělov,Běla,bít,záběl,Belize,bítník,jíl,oběť,Zábel
Bój	bóje,boj,bojar
Běla	Bělina,běl,Bělov,bílý,Bělík,Bíl,oběť,bít,záběl
Bělina	Běla,běl,Bělov,Bělík,bílý,Bíl,záběl,bít,bylina
Bělov	běl,Bělík,Bělina,Běla,Bíl,bílý,záběl,bít
Bělík	běl,Bělov,Bíl,Bělina,Běla,bílý,bítník
Břehov	břeh,Březa
Břest	Březa,březí,vybříst,břečka,bříza,břevno,Brest,břeh
Březa	bříza,březí,Březnice,zabřezat,Břest,břeh,břečka,vybříst,Březina,bředat,břevno,břit,Břehov
Březina	březí,Březa,zbředit,břídit,bříza
Březnice	Březa,březí,bříza,zabřezat
Castro	kastrovat
Chabera	chabý
Chalch	chalcedon
Chalupník	chalupa
Charous	Charouz,charta,charter
Charouz	Charous,charta
Charvát	Chorvat
Chazar	chachar
Chelm	Seychely
Chetita	chechtat
Chile	chinin
Chlupáč	chlup
Chod	chůdař,Náchod,chorý,chovat
Chopin	chopit
Chorvat	chorý,Charvát
Chotkov	ochotničit
Chrasta	chrastit,Chrástek
Christián	christianizovat
Chrudim	chrudit
Chruščev	Chruščov
Chruščov	Chruščev
Chrástek	Chrasta,chrastit
Chuej	chudý,chudý
Cibula	cibule
Cigán	cigája
Cikán	cikánit,zcikánět
Curie	kurie
Cvrk	cvrčet,cvrkat
César	císař
Daan	Dan,Dán,daň,daněk,Annan,dna,Danaj
Dajak	maják,kajak,jak
Dalmácie	dalmatin
Dan	Dán,daň,Daan,daněk,Daniel,Danaj,dál,dát,dna,den,datel,Don,Dák,Yankee,dálný
Danaj	Dan,daň,daněk,Dán,Daan,Daniel
Daniel	daň,daněk,Dan,Dán,datel,Danihel,Danaj
Danihel	Daniel
Darwin	dar
David	Davidov,davidián,Davis,vidět
Davidov	David,davidián,Davis,vidět
Davis	David,Davidov
Dačice	Dák
Dekan	deka,Zykan,dekovat
Denis	deismus,Zdeněk,den,deka
Detva	deka,dekovat,detekovat,zeť
Dewar	Avar
Dháka	hák,oháknout
Dickens	dík,deka
Dietl	dieta
Dietrich	Dietrichštejn,Dietrichstein
Dietrichstein	Ditrichstein,Dietrichštejn,Dietrich
Dietrichštejn	Ditrichštejn,Dietrich,Dietrichstein
Diofantos	fantom,Fantomas
Diomédés	médium,Méd
Disney	disk
Ditrichstein	Dietrichstein
Ditrichštejn	Dietrichštejn
Divina	divý,dioda,dívat
Dlabač	dlabat
Dobeš	Dobš,Dobiáš
Dobiáš	Dobš,Dobeš
Doboš	Dobš
Dobš	Dobšík,doba,Dobiáš,Dobeš,Doboš
Dobšík	Dobš
Doksy	dok,kdy,sok,iks
Dolany	Solana,Podolan,odolat,Polana,udolat,dolňák,lano,zdolat
Dolejš	dolejzat,olej
Dolina	dolinář,doliňák,Olina,dole,důl,průlina,violina,linout,podolí,slina
Domingo	Dominic,dominance,Dominik,Ming
Dominic	Dominik,Domingo,dominance,domicil
Dominik	Dominic,Domingo,dominance,Minos
Don	nový,donace,Donoval,Onan,Nick,důl,dna,Novák,nit,dock,Jon,Nat,necky,dole,zen,ion,Jón,oj,Doyle,dé,znít,Sup,Dan,Dán,vně,Nil,dnít,ničit,půda,pozoun,dno,příroda,čin,Dák,Nikon,niob
Donald	donace
Donoval	Don,donace,nový,Nil,Onan,důl
Dora	Sura,vzdor,dar,důraz,Odry,orace,dozor,Ir,Dorota,dort,Zour,orat,surový,vydra,díra,Dór,adorovat,síra,rozpora,vzor,orátor,série,Orava,Dárí
Dorota	rota,porota,Dora
Dostál	dostat,Stalin,ustálit
Douba	ďoubat,doba
Doyle	dole,oj,ovce,podlý,zlý,deka,dé,Yale,dock,oblý,Vlk,vlk,dno,Don,zajíc,důl,dýně,cé,dna,dýka,donace,vně,Dyk,dekovat,ovál,jíní,jíl,Joyce,ujec,zívat,lozit,Vey,jiný
Drahan	Drahovice
Drahovice	dráha,drahý,Drahan,podražec
Drda	Drdák,drzý,drsný
Drdák	Drda
Drozdov	drozd,drzý
Dráb	drob,dráha,drobit,Ráb
Drápal	dráp
Držovice	držka,držet
Dubaj	dub,ďubnout,ďubka,Dubeč,Dubček
Dubeč	Dubček,dubl,dub,ďubnout,Dubaj
Dublin	dubl
Dubček	dub,Dubeč,ďubka,Dubaj
Duchcov	Ducháč,duch,zaduchnout
Ducháč	zaduchnout,duch,záducha,Duchcov,ducat
Dudák	dudy
Dumas	dumat
Dunaj	dunět,Duncan
Duncan	Dunaj,dunět
Duran	Uran
Duša	duše,duch,poduška,dusný,dusat
Dušín	duše,zadušit
Dvořák	nezdvořák
Dyje	dýně
Dyk	Ryk,dýka,dík,dok,dé,kdy,oj,Dák,sýc,předek,deka,čin,Doyle,dock,prak,Jinek,dekovat,povyk,záře,zajíc
Dylan	dlaň
Dymák	dýmit,nadýmat,zdýmat,vzdýmat
Dák	dát,Vodák,dík,příroda,dna,Dačice,dé,dock,přední,prak,dno,Dán,Dyk,daněk,půda,předek,datel,dál,prát,Dan,snout,přesný,dýně,zdát,vně,Don,dávný
Dán	Dan,daň,Daan,daněk,dál,dát,Daniel,Dák,dna,Don,Írán,Danaj,dálný,datel
Dárí	dar,dařit,radar,Dora
Dírná	díra,díže,rozdírat,odzírat,odér
Dór	Dora
Děd	dědit,dědina,děs
Děčín	děkan,dík,vděčit
Dřevan	dřevo,dřevařit
Dřímal	dřímat
Eben	Ben
Eda	edice,Eden
Eden	Eda,edice,den
Efes	efekt,profese,fík
Eger	Reger,Gera
Ekvádor	kvádr
Ela	clo,alt,relé,Eva,Elam,Vela
Elam	Ela
Eliot	elita
Ellington	Wellington
Emil	eminence,email
Erben	erb,verbena
Erhard	garda
Erós	šos
Erós	šos
Eskymák	eskymo
Esop	eses,esej,přesný,vsyp
Eva	Evans,Evenk,Ela,Vey
Evans	Eva,Evenk,revanš
Evenk	Eva,Evans
Fabián	Fábina
Faják	fajn,fajáns
Falc	faleš,Faltýn
Faltýn	Falc,falc
Fantomas	fantom,fantóm,fantazie,fant,Diofantos
Fatima	Fatos,fatovat
Fatos	fatovat,Fatima
Faust	fauna,fáze,faun
Ferda	Ferrara
Ferenc	ferit
Ferrara	Ferda
Fiala	Fink,fintit
Ficht	fikce,zafickat
Fikar	fikat,fikce,fík,fičet,fiškus,Fišer
Filip	Filipíny
Filipíny	Filip
Filištín	filiální
Fin	Fink,Finn,finiš,Fon,fen,fénix,fan,fén
Fink	Fin,fintit,finiš,Finn,fiala,Fiala,fiakr
Finn	Fin,Fink,finále,finance
Fišer	fér,fýrer,Fikar
Flandera	flanda
Fleming	flexe
Florena	Florentina,Florian,Florencie,flóra
Florencie	Florentina,Florena,Florian
Florentina	Florena,Florencie,Florian
Florian	Florena,Florentina,Florencie
Fojtka	fojt,Fojtík
Fojtík	fojt,Fojtka
Fon	fonovat,mikrofon,Fin,fonetika,fón
Forman	forma,Furman,formalismus,reforma
Fous	fousy,fouňa,foukat
Francie	frank,Franke,Franky,František,Franic,frankismus,fracek,fráter,frak
Franic	Francie,frankismus,František,frank,Franke,Franky
Franke	Franky,frank,frankismus,Francie,František,Franic,Frankopan,Frankenstein
Frankenstein	Franke
Frankopan	Franke
Franky	frank,Franke,frankismus,Francie,František,Franic
František	frank,Francie,Franky,Franic,frankismus,Franke,fracek,frak
Freinet	freeride,fretka,Freud,freska
Frenštát	fretka
Freud	freeride,fréza,Freinet
Fric	Frič,Fritsch,Frísko
Fridrich	Fritsch
Fritsch	Fric,Fridrich,Afrika
Frič	Fric
Fryg	Frýg
Frísko	freska,fréza,Fric
Frýd	Frýg
Frýg	Fryg,Frýd
Fulla	Fuller
Fuller	Fulla
Furman	Forman
Fučík	fučet
Fábina	Fabián
Fénicie	fénix,fén,fen,fenol
Fótios	fotit
Gabe	Gabčík
Gabčík	Gabe
Gael	gel
Gajda	gajdy,Gajdar,Gajdoš
Gajdar	gajdy,Gajda
Gajdoš	gajdy,Gajda
Gal	Gál,gall,Galicie,Galen,galejní,Galat,galon,Galilea,galéra,galop,galerie
Galat	Gal,gall,Gál,Galicie,galon,galantní,Galen,Galilea,galejní
Galen	Gal,galejní,gall,Gál,Galicie,Galilea,galon,galéra,Galat,galerie
Galicie	Gal,galejní,Gál,Galilea,galerie,Galen,gall,galéra,Galat,galon
Galilea	Galicie,galejní,Gal,galéra,Galen,galerie,Gál,Galat,gall
Gent	agent,gen,geneze
Georgiev	Georgij
Georgij	Georgiev
Gera	Eger,giro
Germain	Germán
Germán	Germain,germanistika,germanizátor
Get	Gét,gel
Gil	gel,giloš,gilotina
Gogol	gigolo
Golda	Golding
Golding	Golda
Goliáš	golf
Gorbačev	Gorbačov
Gorbačov	Gorbačev
Gorochov	Gorol
Gorol	goral,Gorochov
Gota	Gott,Gotha,Gottorp,Gót
Gotha	Gota,Gothard,Gott,Gottorp
Gothard	Gotthard,Gotha
Gott	Gota,Gotha,Gottorp,Gót
Gotthard	Gothard
Gottorp	Gota,Gott,Gotha
Gradiška	gradient,grad,gradovat,gram
Graham	gram
Graia	grad,gradovat,agrární
Gregor	Grégr
Grenada	Grégr
Grieg	gril,Grimm,Grégr,agregovat
Grimm	grimasa,Grieg,gril
Gross	grossovatět,groš
Gruzie	grupa,grunt
Grégr	grešle,agregovat,Grieg,Grenada,Gregor
Gál	Gal,gall,Galen,Galicie,Galat,galejní,galon,Galilea
Gét	Get
Gót	Gota,Gott
Halas	halasit,hala,Halič
Halič	halit,halit,hala,halíř,halena,Halas
Hamara	hamr
Hamas	Hamák,ham
Hamburk	hamburger,hamburgr
Hamous	hamita,ham,hamounit
Hamák	Hamas,ham
Hana	Haná,hanit,Hanus,hanět,hala,Hay,hantýrovat,Havana,Rohan,hangár,hnát,hnát,Hnát
Hanbal	Hanzal,handbal
Handl	Hanzal,handbal
Hanus	Hana,Haná,hnus,hanit
Hanzal	Hanbal,handl,Handl
Haná	Hana,Hanus,hanit,hanět,Rohan,hala,hnát,hnát,Hnát,Hay
Harare	harcovat,hárat,harant,hardware,Hay,hardrock
Harlem	harley,harlekýn
Harmanec	dharma,harmonika,harmonie
Hausa	husa
Havaj	Havana,háj,Háj,hajat,ohavný,Havel,havíř,hájit,Havlov
Havana	Havaj,Havel,ohavný,háj,Háj,Hana
Havel	Havlov,Havaj,Havana
Havlov	Havel,Havlíček,havlovatět,Havaj
Havlíček	Havlov,havlovatět
Hay	Haydn,háj,Háj,had,hnout,hnanec,hnát,Hnát,hnát,Hana,Harare,hajat,vahař,Haná
Haydn	Hay,hnanec
Hazára	hazard,Hádek
Hašek	hašiš,hašovat,zhášet
Hašler	hašlerka
Hegel	hegelián,neohegelovský
Hein	hec,ohm,oheň,heilovat,jih
Hejl	Hejnice,hejno,hejsek
Hejnice	hejno,hejsek,Hejl,hejkat,Henry,hejřit
Helena	Helén,helma,helvít,helvet
Helvét	helvet,helvít
Helén	Helena
Henoch	Henry
Henry	Henoch,oheň,Hejnice,hec,hejno,hejsek,hnout
Herakleitos	Hérakleitos
Herbart	herbář
Herceg	Hercegovina
Hercegovina	Herceg
Herder	heroin,herda,heroj,heroina,hereze
Hermite	hermetika
Herodes	heroin,héros,herda,heroj,heroina
Herolt	herold,heroj
Hess	Hessen
Hessen	Hess
Hispanie	Hispánie
Hispánie	Hispanie
Hlava	Hlaváč,hlavička,hlad,Jihlava,Úhlava
Hlaváč	hlava,Hlava,hlavička,hlaváčkovatět
Hlinka	Hlinsko,hliníkář,hlína,zahlinit,hlen,uhlinit,hloh
Hlinsko	Hlinka,hliníkář,hlína,hlen
Hlohov	hloh
Hloušek	hlouček,hloučit,Hlušík
Hlučín	hluk,hloučit,hlouček
Hlušík	hluk,hluchý,Hloušek
Hlásný	hlas,hlad
Hnát	hnanec,hnout,hnus,Hay,hnít,hníst,Vyhnal,Haná,Hana
Hodgkin	hodit
Hodonín	hodit,hodovat,hodina
Hof	houf
Holan	Holandsko
Holandsko	Holan
Hont	honkat,Honza,honosit
Honza	Hont
Hood	hodit,hodovat
Hora	horor,horna,hůra,horký,horovat,Horác,Horka,hoře,hornatý,Horniak,hořec,Hornik,hořký,hořet,horňák,Podhora,úhor,horšit,Hořan,žiro
Horka	horký,horor,hora,Hora,Horác,horna,horovat,horšit,hornatý,zhorčit,hořký,Horniak,hoře,Hornik,hůra,horňák,hořec
Horniak	Hornik,horňák,horna,hornatý,hora,Hora,horký,Horka,horor,horovat,Horác
Hornik	Horniak,horna,horňák,hornatý,Hora,hora,horovat,horký,Horka,Horác,horor
Horác	Hora,hora,horký,Horka,horna,horovat,horor,hornatý,horňák,Horniak,Hornik,podhorák,hůra,hořec,Hořan
Housar	husar
Houston	houst,houně
Hověz	hovězí,hovno,hovět
Hořan	Hořín,zahořan,hořec,Přehořov,hořký,hoře,Horác,hořet,hora,Hora
Hořín	Hořan,hořec,hořký,hořet,zahořan,Řehoř,hoře,Přehořov
Hošta	Hoštice
Hoštice	Hošta,zahošťovat
Hrab	hrabě,hrabat,Hrabák,Hrabánek,hráz,hradit,hradlo
Hrabal	hrabat,Hrabánek,Hrabák
Hrabák	hrabat,Hrabánek,Hrabal,hrabě,Hrab
Hrabánek	Hrabák,hrabat,Hrabal,Hrab,hrabě,Hraběta
Hraběta	Hrabánek
Hradisko	hradit,hráz,Hrádek
Hrdina	hrdý,hrdlo,zhrdinštit,zhrdat
Hromada	zhromadnit
Hron	Hroník,Hroza,hrozen,hroch,hrot,hrůza,aron
Hroník	Hron,Hroza,hroch,hrot,hrozen,chronik,hrůza
Hroza	hrůza,hrozen,Hron,hroch,Hroník,hrot,hrom,hráz,hrst,hrdý,Hrádek,hroužit,hryzat,hradit
Hrubín	zhrubět,ohrubovat,zhrubit,vyhrubovat,hrubý
Hrádek	hradit,hradlo,hráz,hrazda,přihrádka,Hradisko,hrát,Hroza
Hudec	zahudat,vyhudovat,hudlat,hudlařit
Hulín	hulán,hulit
Hun	huntovat
Hus	husa,hustý,husar,Husák,humus
Husák	husa,Hus
Hutter	hutný
Hvězdář	hvězda,zhvězdit,vyhvězdit,hvízdat,ohvězdit,přehvězdit
Hácha	hachle
Hádek	hádat,had,hadař,Hazára
Háj	hájit,hajat,Havaj,Hay,Podháj,Havana
Hášim	hašiš,hašovat
Hérakleitos	Herakleitos
Hřebeč	hřebec,hřebit,hřeb,hřebenatý
Hřib	hřížit,hřeb,hřibař
Iber	Stoiber,Zeyer
Ikar	kar,Oskar,vikář,okařit,Oscar,kára
Ilava	Sláva,Slavník,slina,Slavia
Illyr	Ilyr
Ilyr	Illyr
Ind	Indián,Inuit,index,Vind,indigo
Indián	Ind,index,indigo
Indrák	Jindrák,Ondrák,mindrák
Intel	intelekt
Introvič	intrika,introdovat,intron,introjikovat
Inuit	inovovat,sto,Ind,piano,Zita,snout,zenit,zinek,jiný,zívat,Zeus,iont,zet,Antily,Ota
Ir	Irena,Zair,Renoir,dar,Dora,vir,Irák,orat
Irena	Ir,iris,Renoir,Irák,iritovat
Irák	Ir,iris,Irena
Istar	star,sitár,ester
Itálie	italika,vitální
Ivan	naiva,Ivičič,Ištván,Slovan
Ivičič	Ivan,oko,kov
Izrael	izraelita
Iša	Šiša,Aš,šek,škodovka,Štika,štika,antika
Ištván	Ivan
Jablonec	Jablunkov,jablko
Jablunkov	Jablonec
Jadran	jadřinec,jádro
Jakeš	keš
Jakub	jakobita
Jamajka	Jáma,jáma,Jamal
Jamal	Jamajka
Jan	Ján,Janečka,Jáva,Janák,Vojan,janičář,Janajev,Jon,Janus,Vaník,Java
Janajev	Janák,Jan
Janečka	Jan,janičář,Ján,Janák,janičár
Janiš	Janoš,Jánoš,Janouš
Janouš	Janoš,Jánoš,Janus,Janiš
Janoš	Jánoš,Janouš,Janiš
Janus	Janák,Janusz,Janouš,Jan,Jáva
Janusz	Janus,Janák
Janák	Janus,Jan,Jáva,Janečka,jalový,jak,Java,Janajev,Ján,jatky,Janusz
Japonsko	japončík
Jar	jarý,var,rozjařit,zjařit,várka,rozvojář,Avar
Jarmil	zjarmit
Java	Jáva,jatky,jak,Janák,Jan,rvát
Javorin	javor
Jedlov	jedle
Jelcin	jelen,Jelena
Jelena	jelenář,jelen,Velen,Lena,Jelcin
Jemen	jemný,zjemnět
Jeneč	jíní,oj,Jinek,jiný,jevit,jet
Jesenin	jesen,jeskyně
Jesus	jas
Ještěd	ještěr
Jihlava	Hlava,hlava,jehla
Jiljí	jiný,jíní,jíl
Jindrák	Indrák,mindrák,Jindřich,Ondrák
Jindřich	Jindrák
Jinek	jiný,jíní,jinačit,jih,oj,vina,jonák,jít,příjice,zajínit,Joyce,zajíc,Ob,jitro,Jičín,jitřit,ujec,jizva,jíl,zinek,Řek,Dyk,Jeneč,Jiří,pojit,Ryk,Rýn,necky,Nick,čin,jihnout
Jirkov	Jiří,Jirous,Jirout,vir,jiřina
Jirous	Jirout,Jirouš,Jirásek,Jiránek,Jiří,Jirkov
Jirout	Jirous,Jirouš,Jiří,Jiránek,Jirkov,jiřina
Jirouš	Jirous,Jirout
Jiránek	Jirous,Jirásek,Jirout
Jirásek	Jirous,Jiránek
Jizera	jezero
Jičín	jiný,Jinek,jíní
Jiří	jiřina,Jirout,jít,Jirkov,jitřit,jíní,Jirous,vir,Jinek,jiný,jih,jitro
Joga	jóga
Johan	johanita,pohan,Pohan,hanit
John	Vohnout,jihnout
Jon	jonák,Jón,nový,Ob,zvon,Don,bon,Ján,jíní,Nick,vůně,oj,Novák,Joza,Jan,Onan,niob,vonice,Vont,nit
Jonáš	jonák
Josef	Jozef
Joyce	oj,Joza,jiný,jíní,voj,Jinek,cé,jod,ovce,Doyle,příjice,zajíc
Joza	jod,Joyce,oj,nouze,Jon
Jozef	Josef
Juan	donjuan
Juda	judo,Judea,Buda,Judita,budovat
Judea	Juda,judo,Judita,Just
Judita	Judea,Juda,judo,judikovat
Julin	Julián,Julius
Julius	Julián,Julin
Julián	Julin,Julius
Jung	junák
Junona	junák
Jurač	Jurák,jury
Juroš	Juráš
Jurák	Jurač,Juráš,jury
Juráš	Juroš,Jurák
Just	justice,justovat,Justýna,judo,Judea
Justinián	justice,Justýna,justovat
Justýna	justice,Just,justovat,Justinián
Jut	juta,zout,out,půst,vát,oj,příst,dout,Úpa,zet,vně,Nat,jíní,Pju,řvát,pot,buk,přít,obout
Jáma	Jamajka
Ján	Jan,Janečka,Jon,Vaník,bán,Vojan,Yankee,Janák,báň,Jáva,Vaněk
Jánoš	Janoš,Janouš,Janiš
Jáva	Java,jatky,Jan,jak,Janák,oj,rvát,Ján,ujec,Janus
Jón	Jon,jonák,Don,rajón,kujón,ozón,jiný
Kabyl	kabel
Kabát	překabátit,kabala,kabina
Kachyňa	kachna,káchnout
Kain	Kainar,kakao,káva,kanec,kaše,kokain,kakat,kanout,kat,Kanak,kýkat,Zykan,kanár,kar,Kanaán
Kainar	Kain,kanár,Kaiser,kakao,Kanada
Kaiser	Kainar
Kalik	kalit,zkaličit,kalich,kalý,Kalinin,Kališ
Kalinin	kalit,kalich,kalý,Kalik,zkaličit,kanec
Kališ	kalif,Kalik,kalich,Kaniš
Kalmyk	kalmar
Kalous	kalý
Kamenec	Kamený,kameňák,kámen,kamna,zkamenit,Kamčatka,kamenotisk,Kamil
Kamený	Kamenec,kameňák,kamna,kámen,Kamčatka,zkamenit,Kamil
Kamerun	kamera
Kamil	kamna,Kamenec,Kamený
Kamčatka	kamna,Kamený,kámen,Kamenec
Kanada	kanár,kanec,Kanaán,kanout,Kanak,kandovat,kanava,Kainar
Kanak	kanec,kanout,kanava,Kant,Kanaán,kanár,káva,kanál,kanovník,kat,kakao,kát,kakat,kánoe,Kanada,Keňa,kašna,Kain,káča,kajak
