Abraham	Abrahám
rozesychat	rozesýchat
rozesýchat	rozesychat
rozgeneralisovat	zgeneralisovat
rozhoupnout	zhoupnout
rozinicialisovat	zinicialisovat,doinicialisovat,inicialisovat
rozjařit	zjařit
rozlítit	rozlítnout
rozlítnout	rozlítit
rozmobilisovat	zmobilisovat
rozmrzat	zmrzat
rozohnit	zohnit
rozplamenit	zplamenit
rozprostranit	uprostranit
rozptýlit	zptýlit
rozradostnět	zradostnět
rozresonovat	zresonovat
rozsychat	rozsýchat
rozsýchat	rozsychat
roztrojit	ztrojit
roztrpčit	ztrpčit
rulička	Rulík
rychta	rychtovat
rychtovat	rychta
rám	rámě
rámě	rám
samec	samet
samet	samec
sardinka	sardinkář,Sardinie
sardinkář	sardinka
sebeparodie	sebeparodizovat
sebeparodizovat	sebeparodie
sekvence	sekvencovat
sekvencovat	sekvence
senzibil	senzibilní
senzibilní	senzibil
senzitiv	senzitivní
senzitivní	senzitiv
sesmekat	smekat
sešikmit	zešikmit
signalisovat	dosignalisovat,odsignalisovat,zasignalisovat
sivý	Siva
sklepník	usklepnit
slad	sladký
sladit	sladký
sladký	sladit,slad
sladovničit	sladovník
sladovník	sladovničit
slepičář	Slepička
slez	Slezsko
sloupkař	sloupkář
sloupkář	sloupkař
smekat	sesmekat
sploštit	zploštit
spolkař	spolkařit
spolkařit	spolkař
spolufinacovat	spolufinancovat
spolufinancovat	spolufinacovat
spor	spora
spora	spor
spíchat	pospíchat,spěchat
spěchat	spíchat
stabilisovat	dostabilisovat,nastabilisovat,přistabilisovat,ustabilisovat,zastabilisovat
standardisovat	zestandardisovat
statika	statistika
statistika	statika
sterilisovat	vysterilisovat
stonat	Stone
stonek	Stone
struha	ostruha
strukturalisovat	dostrukturalisovat,nastrukturalisovat
stud	studit
studit	stud
stylisovat	vystylisovat
stáž	stážovat
stážovat	stáž
stín	Stin
stěhovat	stěhovák
stěhovák	stěhovat
střihat	nastřihat,dostřihat
střiž	stříž,Stříž
stříhnout	ustříhnout,nastříhnout,dostříhnout
stříž	střiž
subvence	subvencovat
subvencovat	subvence
sud	osud
svat	Svatý,svatý
svatý	svat
svině	Sviny
svor	svora
svora	svor
svědit	svědět
svědět	svědit
symbolisovat	zesymbolisovat
sympatisovat	zesympatisovat,zasympatisovat
systematisovat	nasystematisovat,dosystematisovat,přesystematisovat
systemisovat	dosystemisovat
taj	tajný
tajný	taj
tele	Telč
teč	tečka
tečka	Teka,teč
tiper	tipér
tipér	tiper
titan	Titán
tleskat	otleskat
tmívat	vytmívat
totál	totální
totální	totál
trsat	otrsat
turner	turnér
turnér	turner
tutový	Tutu
tvářet	tvářit
tvářit	tvářet
tyč	tyčit
tyčit	tyč
tát	Tate,táta
táta	Tate,tát
týl	Tyl
udomácnit	udomácnět
udomácnět	udomácnit
uklihnout	zklihnout
ultramaraton	ultramaratón
ultramaratón	ultramaraton
umobilisovat	omobilisovat,zmobilisovat
uplítat	oplítat,proplítat
upravdit	zpravdit
uprostranit	rozprostranit
upřádat	opřádat,zapřádat,dopřádat
uryšit	urýšit
urýšit	uryšit
uschránit	naschránit
usklepnit	sklepník
ustabilisovat	stabilisovat,dostabilisovat,nastabilisovat
ustříhnout	stříhnout,nastříhnout
usynchronisovat	nasynchronisovat,dosynchronisovat
utilisovat	zutilisovat
utrakvisovat	zutrakvisovat
uvadat	ovadat
uvědomit	zvědomit
učlověčit	zčlověčit
ušedat	zšedat
uživotnit	zživotnit
vagabund	vagabundit
vagabundit	vagabund
vagant	vagantit
vagantit	vagant
varhanit	varhanět
varhanět	varhanit
vdychat	vdýchat
vdýchat	vdychat
vegetit	vegetář,vegetovat
vegetovat	vegetář,vegetit
vegetář	vegetovat,vegetit
ventil	ventilovat
ventilovat	ventil
vinklář	Vinklár
visitýrovat	zvisitýrovat
vitaminisovat	ovitaminisovat
vlas	Vlasov
vlhat	provlhat
vole	vůle
vosa	osa
vrap	vráp
vraštit	vráštit
vrána	Vrana
vráp	vrap
vráštit	vraštit
vtipkař	vtipkařit
vtipkařit	vtipkař
vulgarisovat	zavulgarisovat
vulkanisovat	zavulkanisovat
vyboulovat	zboulovat
vybulat	zbulat
vyběsit	zběsit
vybředat	bředat
vychlámat	chlámat
vychlípit	vychlípět
vychlípět	vychlípit
vydlažit	vydlážit
vydlážit	vydlažit
vyeskamotovat	zaeskamotovat
vygeneralisovat	zgeneralisovat
vymobilisovat	mobilisovat
vymědlit	změdlit
vyplanit	zplanit
vyplavět	zplavět
vypláchnout	pláchnout,opláchnout
vyplítat	zaplítat
vypodobit	zpodobit
vypulerovat	vypulérovat
vypulérovat	vypulerovat
vypíčit	zpíčit
vypřahat	zapřahat,napřahat
vypřádat	zapřádat,dopřádat
vysmrádnout	nasmrádnout
vysterilisovat	sterilisovat
vystylisovat	stylisovat
vysychat	vysýchat
vysýchat	vysychat
vyteplit	zteplit
vytmívat	tmívat
vyzírat	zírat
vzdušnice	vzdušnit
vzdušnit	vzdušnice
vzdýmat	zdýmat
vzkvetnout	vzkvétnout
vzkvétnout	vzkvetnout
vzorkař	vzorkář
vzorkář	vzorkař
vzpěčovat	zpěčovat
váha	váhař
váhař	váha
vápeničit	vápeník,Vápeník
vápeník	vápeničit
váza	vázat
vázat	váza
víno	Vína
výzbroj	zbroj
věta	větit,větev
větev	věta
větit	věta
vůl	vůle
vůle	vůl,vole
yorkšír	jorkšír
zaarchaisovat	zarchaisovat
zabsolutnit	zabsolutnět
zabsolutnět	zabsolutnit
zabstraktnit	zabstraktnět
zabstraktnět	zabstraktnit
zabulat	zbulat
zabředat	bředat
zacensurovat	nacensurovat
zadostičinit	zadostčinit
zadostčinit	zadostičinit
zaeskamotovat	vyeskamotovat
zajachtařit	jachtařit
zakademičtit	zakademičtět
zakademičtět	zakademičtit
zakatalogisovat	katalogisovat,zkatalogisovat
zakládat	zakládač
zakládač	zakládat
zakonservovat	konservovat
zakritisovat	kritisovat
zakročit	nakročit
zaktivnit	zaktivnět
zaktivnět	zaktivnit
zalkalisovat	alkalisovat
zamortisovat	amortisovat
zanalysovat	analysovat
zapartykařit	zpartykařit
zaplítat	proplítat,vyplítat
zapolemisovat	polemisovat
zapomínat	pozapomínat
zaprecisovat	precisovat
zapsychologisovat	zpsychologisovat
zapřahat	vypřahat
zapřádat	opřádat,vypřádat,upřádat,dopřádat
zarchaisovat	zaarchaisovat
zasignalisovat	signalisovat
zastabilisovat	nastabilisovat,stabilisovat
zastehnout	nastehnout
zasychat	zasýchat
zasympatisovat	sympatisovat,zesympatisovat
zasýchat	zasychat
zavlahnout	zavláhnout
zavláhnout	zavlahnout
zavulgarisovat	vulgarisovat
zavulkanisovat	vulkanisovat
zaštkat	zaštknout
zaštknout	zaštkat
zbanálnit	zbanálnět
zbanálnět	zbanálnit
zblbit	zblbět
zblbět	zblbit
zbolševisovat	bolševisovat
zboulovat	vyboulovat
zbroj	výzbroj
zbuchtovatět	buchtovatět
zbulat	vybulat,zabulat
zbídnit	zbídnět
zbídnět	zbídnit
zbíhat	rozbíhat
zběsit	vyběsit
zcensurovat	rozcensurovat
zcentralisovat	centralisovat,docentralisovat
zchudobnět	zchudobňovat
zchudobňovat	zchudobnět
zchvátit	rozchvátit
zcitlivit	rozcitlivit,zcitlivět
zcitlivět	rozcitlivět,zcitlivit
zcivilnit	zcivilnět
zcivilnět	zcivilnit
zcukernit	zcukernět
zcukernět	zcukernit
zdefinitisovat	zdefinitizovat
zdefinitivnit	zdefinitizovat
zdefinitizovat	zdefinitisovat,zdefinitivnit
zdemokratisovat	demokratisovat
zdemoralisovat	demoralisovat
zdesateronásobit	zdesateronásobnit
zdesateronásobnit	zdesateronásobit
zdesorganisovat	desorganisovat
zdiversifikovat	diversifikovat
zdomácnit	zdomácnět
zdomácnět	zdomácnit
zdravkat	zdrávkat
zdravět	ozdravět
zdredovatět	dredovatět
zdrobnit	zdrobnět
zdrobnět	zdrobnit
zdrávkat	zdravkat
zduchovnit	zduchovnět
zduchovnět	zduchovnit
zduševnit	zduševnět
zduševnět	zduševnit
zdýmat	vzdýmat
zdůstojnit	zdůstojnět
zdůstojnět	zdůstojnit
zdůvěrnit	zdůvěrnět
zdůvěrnět	zdůvěrnit
zedrat	rozedrat
zesentimentálnit	zesentimentálnět
zesentimentálnět	zesentimentálnit
zesilnit	zesilnět
zesilnět	zesilnit
zeskelnit	zeskelnět
zeskelnět	zeskelnit
zeskromnit	zeskromnět
zeskromnět	zeskromnit
zeskrovnit	zeskrovnět
zeskrovnět	zeskrovnit
zeslavnostnit	zeslavnostnět
zeslavnostnět	zeslavnostnit
zesličnit	zesličnět
zesličnět	zesličnit
zeslovanštit	zeslovanštět
zeslovanštět	zeslovanštit
zespecialisovat	přespecialisovat
zespolečenštit	zespolečenštět
zespolečenštět	zespolečenštit
zesrat	rozesrat
zestandardisovat	standardisovat
zestraničtit	zestraničtět
zestraničtět	zestraničtit
zestručnit	zestručnět
zestručnět	zestručnit
zesubjektisovat	zesubjektivisovat
zesubjektivisovat	zesubjektisovat
zesvátečnit	zesvátečnět
zesvátečnět	zesvátečnit
zesvětačet	zesvětačit
zesvětačit	zesvětačet
zesvětštit	zesvětštět
zesvětštět	zesvětštit
zesymbolisovat	symbolisovat
zesympatisovat	sympatisovat,zasympatisovat
zevšeobecnit	zevšeobecnět
zevšeobecnět	zevšeobecnit
zextenzívnit	zextenzívnět
zextenzívnět	zextenzívnit
zezvířečtit	zezvířečtět
zezvířečtět	zezvířečtit
zešikmit	sešikmit
zešupinkovatět	zešupinovatět
zešupinovatět	zešupinkovatět
zfanfrnit	zfanfrnět
zfanfrnět	zfanfrnit
zgeneralisovat	rozgeneralisovat,vygeneralisovat
zgermanisovat	germanisovat
zharmonisovat	harmonisovat
zhistorisovat	historisovat
zhlupit	zhlupět
zhlupět	zhlupit
zhlédat	hlédat
zhmotnit	zhmotnět
zhmotnět	zhmotnit
zhojnit	zhojnět
zhojnět	zhojnit
zhorečnit	zhorečnět
zhorečnět	zhorečnit
zhoupnout	rozhoupnout
zhranatit	zhranatět
zhranatět	zhranatit
zhrdinštit	zhrdinštět
zhrdinštět	zhrdinštit
zhrubit	zhrubět
zhrubět	zhrubit
zhumanisovat	humanisovat
zhybnit	zhybnět
zhybnět	zhybnit
zima	Zimák
zinicialisovat	rozinicialisovat,inicialisovat,doinicialisovat
zintensivnit	zintensivnět,zintensivňovat
zintensivnět	zintensivnit
zintensivňovat	zintensivnit
zintenzivnět	zintenzívnět
zintenzívnit	zintenzívnět
zintenzívnět	zintenzívnit,zintenzivnět
zintimnit	zintimnět
zintimnět	zintimnit
zinventarisovat	inventarisovat
zjařit	rozjařit
zjednostranit	zjednostranět
zjednostranět	zjednostranit
zjednotvárnit	zjednotvárnět
zjednotvárnět	zjednotvárnit
zjednoznačnit	odjednoznačnit
zkapitalisovat	kapitalisovat
zkatalogisovat	katalogisovat,zakatalogisovat
zklasičtit	zklasičtět
zklasičtět	zklasičtit
zklihnout	uklihnout
zklihovatět	klihovatět
zkolonisovat	kolonisovat
zkondensovat	kondensovat
zkonkretisovat	konkretisovat
zkonkrétnit	zkonkrétnět
zkonkrétnět	zkonkrétnit
zkonservovat	konservovat
zkonvenčnit	zkonvenčnět
zkonvenčnět	zkonvenčnit
zkouzelnit	zkouzelnět
zkouzelnět	zkouzelnit
zkulturnit	zkulturnět
zkulturnět	zkulturnit
zlacinit	zlacinět
zlacinět	zlacinit
zlahodnit	zlahodnět
zlahodnět	zlahodnit
zlakotnit	zlakotnět
zlakotnět	zlakotnit
zliterárnit	zliterárnět
zliterárnět	zliterárnit
zlogičtit	zlogičtět
zlogičtět	zlogičtit
zludračet	zludračit
zludračit	zludračet
zlyričtit	zlyričtět
zlyričtět	zlyričtit
zlíbeznit	zlíbeznět
zlíbeznět	zlíbeznit
zlínět	Zlín
zlít	zlítit
zlítit	zlít
zmalichernit	zmalichernět
zmalichernět	zmalichernit
zmalit	zmálit
zmalomocnit	zmalomocnět
zmalomocnět	zmalomocnit
