# Derivations direct, srov
# derivations that will be added to DeriNet based on Etym dict 'srov' list. List if words with similar meaning, structure, etymological origin or some other similarity.

# WARNING - its complicated and the anotation was made really quickly by average person, not linguist!

# flaged by human, meanings:
# * probably incorrect
# @ possible incorrect
# $ the direction of derivation should be opposite
# & probably same common parent, or same ending, beginning - byrokracie, aristokracie or aerodynamický, aeroplán
# others are probably correct

derivation	parent
apartní#AA???----??---?	apartheid#NNI??-----A---?
*suspendovat#V????--??-??P??	apendix#NNI??-----A---?
*ouvertura#NNF??-----A---?	aperitiv#NNI??-----A---?
@petice#NNF??-----A---?	apetyt#NNI??-----A---?
*kompetence#NNF??-----A---?	apetyt#NNI??-----A---?
@exploze#NNF??-----A---?	aplaudovat#V????--??-??I??
@komplikovat#V????--??-??I??	aplikovat#V????--??-??B??
&replika#NNF??-----A---?	aplikovat#V????--??-??B??
*eukalypt#NNI??-----A---?	apokalypsa#NNF??-----A---?
@krypta#NNF??-----A---?	apokryf#NNI??-----A---?
@krýt#V????--??-??I??	apokryf#NNI??-----A---?
&export#NNI??-----A---?	aportovat#V????--??-??I??
@portmonka#NNF??-----A---?	aportovat#V????--??-??I??
strofa#NNF??-----A---?	apostrof#NNI??-----A---?
&katastrofa#NNF??-----A---?	apostrof#NNI??-----A---?
&putyka#NNF??-----A---?	apatyka#NNF??-----A---?
@butik#NNI??-----A---?	apatyka#NNF??-----A---?
@kartotéka#NNF??-----A---?	apatyka#NNF??-----A---?
epištola#NNF??-----A---?	apoštol#NNM??-----A---?
hektar#NNI??-----A---?	ar#NNI??-----A---?
areál#NNI??-----A---?	ar#NNI??-----A---?
@rakije#NNF??-----A---?	arak#NNI??-----A---?
@arkáda#NNF??-----A---?	arch#NNI??-----A---?
rakev#NNF??-----A---?	archa#NNF??-----A---?
&archeologie#NNF??-----A---?	archaismus#NNI??-----A---?
@rest#NNI??-----A---?	arest#NNI??-----A---?


*energie#NNF??-----A---?	argon#NNI??-----A---?
*orgie#NNF??-----A---?	argon#NNI??-----A---?
&demokracie#NNF??-----A---?	aristokracie#NNF??-----A---?
&byrokracie#NNF??-----A---?	aristokracie#NNF??-----A---?
arch#NNI??-----A---?	arkýř#NNI??-----A---?
*adaptovat#V????--??-??B??	artilerie#NNF??-----A---?
&neuróza#NNF??-----A---?	artróza#NNF??-----A---?
aorta#NNF??-----A---?	artérie#NNF??-----A---?
*inzerát#NNI??-----A---?	asertivita#NNF??-----A---?
silice#NNF??-----A---?	síla#NNF??-----A---?
@existovat#V????--??-??I??	asistent#NNM??-----A---?
@rezistence#NNF??-----A---?	asistent#NNM??-----A---?
$sociální#AA???----??---?	asociace#NNF??-----A---?
&sekvence#NNF??-----A---?	asociace#NNF??-----A---?
@konsonant#NNI??-----A---?	asonance#NNF??-----A---?
@rezonovat#V????--??-??I??	asonance#NNF??-----A---?
&respekt#NNI??-----A---?	aspekt#NNI??-----A---?
@inspekce#NNF??-----A---?	aspekt#NNI??-----A---?
@spektrum#NNN??-----A---?	aspekt#NNI??-----A---?
&špiritus#NNI??-----A---?	aspirovat#V????--??-??I??
*ostentativní#AA???----??---?	atentát#NNI??-----A---?
$test#NNI??-----A---?	atestace#NNF??-----A---?
&testament#NNI??-----A---?	atestace#NNF??-----A---?
@protest#NNI??-----A---?	atestace#NNF??-----A---?
&triatlon#NNI??-----A---?	atlet#NNM??-----A---?
$sféra#NNF??-----A---?	atmosféra#NNF??-----A---?
&tribut#NNI??-----A---?	atribut#NNI??-----A---?
@distribuce#NNF??-----A---?	atribut#NNI??-----A---?
&auditorium#NNN??-----A---?	audience#NNF??-----A---?
&audit#NNI??-----A---?	audience#NNF??-----A---?
@augmentace#NNF??-----A---?	aukce#NNF??-----A---?
*autor#NNM??-----A---?	aukce#NNF??-----A---?
outsider#NNM??-----A---?	aut#NNI??-----A---?
@aušus#NNI??-----A---?	aut#NNI??-----A---?
*geneze#NNF??-----A---?	autogen#NNI??-----A---?
$kára#NNF??-----A---?	autokar#NNI??-----A---?
&matematika#NNF??-----A---?	automat#NNI??-----A---?
*mánie#NNF??-----A---?	automat#NNI??-----A---?
*memento#NNN??-----A---?	automat#NNI??-----A---?
&estráda#NNF??-----A---?	autostráda#NNF??-----A---?
*substrát#NNI??-----A---?	autostráda#NNF??-----A---?
$garda#NNF??-----A---?	avantgarda#NNF??-----A---?
*garderoba#NNF??-----A---?	avantgarda#NNF??-----A---?
&advent#NNI??-----A---?	avantýra#NNF??-----A---?
&konverze#NNF??-----A---?	averze#NNF??-----A---?
&kontroverze#NNF??-----A---?	averze#NNF??-----A---?
&diverze#NNF??-----A---?	averze#NNF??-----A---?
&verze#NNF??-----A---?	averze#NNF??-----A---?
&zenit#NNI??-----A---?	azimut#NNI??-----A---?
babyka#NNF??-----A---?	bába#NNF??-----A---?
@máma#NNF??-----A---?	bába#NNF??-----A---?
@babočka#NNF??-----A---?	bába#NNF??-----A---?
@piplat#V????--??-??I??	babrat#V????--??-??I??
@patlat#V????--??-??I??	babrat#V????--??-??I??
brblat#V????--??-??I??	babrat#V????--??-??I??
*buchta#NNF??-----A---?	bachor#NNI??-----A---?
*batoh#NNI??-----A---?	bacat#V????--??-??I??
&forhend#NNI??-----A---?	bekhend#NNI??-----A---?

pakatel#NNI??-----A---?	bagatelizovat#V????--??-??I??
pakáž#NNF??-----A---?	bagáž#NNF??-----A---?
bádat#V????--??-??I??	bahnice#NNF??-----A---?
bál#NNI??-----A---?	balet#NNI??-----A---?
balada#NNF??-----A---?	balet#NNI??-----A---?
parabola#NNF??-----A---?	balistika#NNF??-----A---?
ďábel#NNM??-----A---?	balistika#NNF??-----A---?
hambalek#NNI??-----A---?	balkon#NNI??-----A---?
banální#AA???----??---?	bandita#NNM??-----A---?
poustevník#NNM??-----A---?	pustý#AA???----??---?
mandolína#NNF??-----A---?	bendžo#NNN??-----A---?
bankrot#NNI??-----A---?	banka#NNF??-----A---?
banket#NNI??-----A---?	banka#NNF??-----A---?
panchart#NNM??-----A---?	banka#NNF??-----A---?
urologie#NNF??-----A---?	barbiturát#NNI??-----A---?
baryum#NNN??-----A---?	baryt#NNI??-----A---?
bar#NNI??-----A---?	baryt#NNI??-----A---?
baterie#NNF??-----A---?	batalion#NNI??-----A---?
debata#NNF??-----A---?	batalion#NNI??-----A---?
unavit#V????--??-??P??	bavit#V????--??-??I??
bazilika#NNF??-----A---?	bazalka#NNF??-----A---?
bazilišek#NNM??-----A---?	bazalka#NNF??-----A---?
fujara#NNF??-----A---?	bača#NNM??-----A---?
barva#NNF??-----A---?	bažant#NNM??-----A---?
žok#NNI??-----A---?	bažant#NNM??-----A---?
bodrý#AA???----??---?	bdít#V????--??-??I??
putna#NNF??-----A---?	bedna#NNF??-----A---?
butelka#NNF??-----A---?	bedna#NNF??-----A---?
bečka#NNF??-----A---?	bedna#NNF??-----A---?
bachyně#NNF??-----A---?	bek#NNM??-----A---?
pikart#NNM??-----A---?	bekyně#NNF??-----A---?
maligní#AA???----??---?	benigní#AA???----??---?
brýle#NNFP?-----A---?	beryl#NNI??-----A---?
briliant#NNI??-----A---?	beryl#NNI??-----A---?
blanket#NNI??-----A---?	bianko#AAXXX----1A----
blankvers#NNI??-----A---?	bianko#AAXXX----1A----
plonk#AAXXX----1A----	bianko#AAXXX----1A----
kapitola#NNF??-----A---?	biceps#NNI??-----A---?
kapitán#NNM??-----A---?	biceps#NNI??-----A---?
balanc#NNF??-----A---?	bilance#NNF??-----A---?
piškot#NNI??-----A---?	biskvit#NNI??-----A---?
zubr#NNM??-----A---?	bizon#NNM??-----A---?
firma#NNF??-----A---?	biřmovat#V????--??-??I??
blábolit#V????--??-??I??	blbý#AA???----??---?
blikat#V????--??-??I??	blýskat#V????--??-??I??
bílý#AA???----??---?	blýskat#V????--??-??I??
bledý#A????----??---?	blond#AAXXX----1A----
plena#NNF??-----A---?	blána#NNF??-----A---?
blizna#NNF??-----A---?	blízký#A????----??---?
bob#NNI??-----A---?	bobtnat#V????--??-??I??
fokus#NNI??-----A---?	bochník#NNI??-----A---?
zboží#NNN??-----A---?	bohatý#A????----??---?
bujon#NNI??-----A---?	bojler#NNI??-----A---?
bula#NNF??-----A---?	bojler#NNI??-----A---?
bimbat#V????--??-??I??	bomba#NNF??-----A---?
boom#NNI??-----A---?	bomba#NNF??-----A---?
bonbon#NNI??-----A---?	bombastický#AA???----??---?
bonmot#NNI??-----A---?	bombastický#AA???----??---?
bonita#NNF??-----A---?	bombastický#AA???----??---?
bonviván#NNM??-----A---?	bombastický#AA???----??---?
borůvka#NNF??-----A---?	bor#NNI??-----A---?
brada#NNF??-----A---?	bor#NNI??-----A---?
borax#NNI??-----A---?	bor#NNI??-----A---?
brána#NNF??-----A---?	borec#NNM??-----A---?
bránit#V????--??-??I??	borec#NNM??-----A---?
bambule#NNF??-----A---?	boubel#NNI??-----A---?
bušit#V????--??-??I??	bouchat#V????--??-??I??
bulva#NNF??-----A---?	boule#NNF??-----A---?
poulit#V????--??-??I??	boule#NNF??-----A---?
bourat#V????--??-??I??	bouřit#V????--??-??I??
burácet#V????--??-??I??	bouřit#V????--??-??I??
burcovat#V????--??-??I??	bouřit#V????--??-??I??
biliár#NNI??-----A---?	bowling#NNI??-----A---?
borec#NNM??-----A---?	brav#NNI??-----A---?
brázda#NNF??-----A---?	brtník#NNM??-----A---?
boršč#NNI??-----A---?	brk#NNI??-----A---?
brnět#V????--??-??I??	brnkat#V????--??-??I??
břinkat#V????--??-??I??	brnkat#V????--??-??I??
briketa#NNF??-----A---?	brok#NNI??-----A---?
brokolice#NNF??-----A---?	brokát#NNI??-----A---?
brouk#NNM??-----A---?	broukat#V????--??-??I??
brusle#NNF??-----A---?	brousit#V????--??-??I??
břečťan#NNI??-----A---?	brslen#NNI??-----A---?
brčál#NNI??-----A---?	brslen#NNI??-----A---?
brunet#NNM??-----A---?	brunátný#AA???----??---?
bobr#NNM??-----A---?	brunátný#AA???----??---?
brečet#V????--??-??I??	bréca#NNF??-----A---?
baculatý#AA???----??---?	buclatý#AA???----??---?
bookmaker#NNM??-----A---?	buk#NNI??-----A---?
bučet#V????--??-??I??	bukač#NNM??-----A---?
býk#NNM??-----A---?	bukač#NNM??-----A---?
buldok#NNM??-----A---?	buly#NNNXX-----A----
piksla#NNF??-----A---?	busola#NNF??-----A---?
puška#NNF??-----A---?	busola#NNF??-----A---?
box#NNI??-----A---?	busola#NNF??-----A---?
boule#NNF??-----A---?	buňka#NNF??-----A---?
vrstva#NNF??-----A---?	buřt#NNI??-----A---?
vrátit#V????--??-??P??	buřt#NNI??-----A---?
pugét#NNI??-----A---?	buš#NNF??-----A---?
bzikat#V????--??-??I??	bzučet#V????--??-??I??
vrčet#V????--??-??I??	bzučet#V????--??-??I??
boj#NNI??-----A---?	bít#V????--??-??I??
bízet#Vf--------A----	bič#NNI??-----A---?
vřískat#V????--??-??I??	břeskný#AA???----??---?
vercajk#NNI??-----A---?	cajk#NNI??-----A---?
cupat#V????--??-??I??	capat#V????--??-??I??
ťapat#V????--??-??I??	capat#V????--??-??I??
kauza#NNF??-----A---?	causerie#NNF??-----A---?
cesta#NNF??-----?---?	cedit#V????--??-??I??
štěkat#V????--??-??I??	ceknout#V????--??-??P??
celofán#NNI??-----A---?	cela#NNF??-----A---?
celulóza#NNF??-----A---?	cela#NNF??-----A---?
teleologie#NNF??-----A---?	clo#NNN??-----A---?
játra#NNN??-----A---?	jitrocel#NNI??-----A---?
cézura#NNF??-----A---?	cement#NNI??-----A---?
kát#V???---??-??I??	cena#NNF??-----A---?
štěrbina#NNF??-----A---?	cena#NNF??-----A---?
excentrický#AA???----??---?	centrum#NNN??-----A---?
recenze#NNF??-----A---?	cenzura#NNF??-----A---?
činže#NNF??-----A---?	cenzura#NNF??-----A---?
sapér#NNM??-----A---?	cepín#NNI??-----A---?
bratr#NNM??-----A---?	dcera#NNF??-----A---?
matka#NNF??-----A---?	dcera#NNF??-----A---?
otec#NNM??-----A---?	dcera#NNF??-----A---?
koryfej#NNM??-----A---?	cerebrální#AA???----??---?
chobot#NNI??-----A---?	chabý#AA???----??---?
heřmánek#NNI??-----A---?	chameleon#NNM??-----A---?
charita#NNF??-----A---?	charisma#NNN??-----A---?
karta#NNF??-----A---?	charta#NNF??-----A---?
kotec#NNI??-----A---?	chata#NNF??-----A---?
chatrč#NNF??-----A---?	chata#NNF??-----A---?
cepenět#V????--??-??I??	chcípat#V????--??-??I??
otrok#NNM??-----A---?	chlap#NNM??-----A---?
rab#NNM??-----A---?	chlap#NNM??-----A---?
robě#NNN??-----A---?	chlap#NNM??-----A---?
chlemtat#V????--??-??I??	chlastat#V????--??-??I??
klopit#V????--??-??I??	chlopeň#NNF??-----A---?
lord#NNM??-----A---?	chléb#NNI??-----A---?
dychtit#V???---??-??I??	chlípný#AA???----??---?
flegmatik#NNM??-----A---?	cholerik#NNM??-----A---?
sangvinik#NNM??-----A---?	cholerik#NNM??-----A---?
chumel#NNI??-----A---?	chumáč#NNI??-----A---?
chuchvalec#NNI??-----A---?	chumáč#NNI??-----A---?
chuť#NNF??-----A---?	choť#NNF??-----A---?
chroustat#V????--??-??I??	chrastit#V???---??-??I??
chrčet#V????--??-??I??	chrchlat#V????--??-??I??
chromatika#NNF??-----A---?	chromozom#NNI??-----A---?
chronometr#NNI??-----A---?	chronický#AA???----??---?
chrápat#V????--??-??I??	chroptět#V????--??-??I??
chlastat#V????--??-??I??	chrstnout#V????--??-??P??
krám#NNI??-----A---?	chrám#NNI??-----A---?
chuj#NNI??-----A---?	chvojí#NNN??-----A---?
včil#Db-------------	chvíle#NNF??-----A---?
chytrý#AA???----??---?	chýlit#V????--??-??I??
chvátat#V????--??-??I??	chřipka#NNF??-----A---?
chřipka#NNF??-----A---?	chřípí#NNN??-----A---?
cudný#A????----??---?	cibule#NNF??-----A---?
šifra#NNF??-----A---?	cifra#NNF??-----A---?
mišmaš#NNI??-----A---?	cikcak#Db-------------
cimprcampr#NNIS4-----A----	cikcak#Db-------------
tikat#V????--??-??I??	cikcak#Db-------------
zinek#NNI??-----A---?	cink#NNI??-----A---?
klinkat#V????--??-??I??	cinkat#V????--??-??I??
cirkus#NNI??-----A---?	ciráty#NNIP?-----A---?
kytara#NNF??-----A---?	citera#NNF??-----A---?
cedr#NNI??-----A---?	citron#NNI??-----A---?
cement#NNI??-----A---?	cizelovat#V????--??-??I??
čičorka#NNF??-----A---?	cizrna#NNF??-----A---?
klávesa#NNF??-----A---?	clavichord#NNI??-----A---?
cembalo#NNN??-----A---?	clavichord#NNI??-----A---?
akord#NNI??-----A---?	clavichord#NNI??-----A---?
cítit#V????--??-??I??	clonit#V????--??-??I??
klonit#V????--??-??I??	clonit#V????--??-??I??
slon#NNM??-----A---?	clonit#V????--??-??I??
klubko#NNN??-----A---?	klub#NNI??-----A---?
krosna#NNF??-----A---?	křeslo#NNN??-----A---?
kroutit#V????--??-??I??	křeslo#NNN??-----A---?
čmoudit#V????--??-??I??	cmrndat#V????--??-??I??
čoudit#V????--??-??I??	cmrndat#V????--??-??I??
deputace#NNF??-----A---?	computer#NNI??-----A---?
amputovat#V????--??-??B??	computer#NNI??-----A---?
takt#NNI??-----A---?	kontakt#NNI??-----A---?
cíp#NNI??-----A---?	cop#NNI??-----A---?
korporace#NNF??-----A---?	korpus#NNI??-----A---?
korzet#NNI??-----A---?	korpus#NNI??-----A---?
kurtizána#NNF??-----A---?	kurt#NNI??-----A---?
capat#V????--??-??I??	couvat#V????--??-??I??
frnknout#V????--??-??P??	cvrnkat#V????--??-??I??
cecek#NNI??-----A---?	cucat#V????--??-??I??
cumlat#V????--??-??I??	cucat#V????--??-??I??
cajk#NNI??-----A---?	cukat#V????--??-??I??
cvok#NNM??-----A---?	cvakat#V????--??-??I??
cvikr#NNI??-----A---?	cvakat#V????--??-??I??
svůj#AO??----------?	scvrknout#V????--??-??P??
osoba#NNF??-----A---?	scvrknout#V????--??-??P??
svoboda#NNF??-----A---?	scvrknout#V????--??-??P??
sobec#NNM??-----A---?	scvrknout#V????--??-??P??
cyklus#NNI??-----A---?	cyklon#NNI??-----A---?
cachtat#V????--??-??I??	cákat#V????--??-??I??
camrat#V????--??-??I??	cákat#V????--??-??I??
cancat#V????--??-??I??	cákat#V????--??-??I??
courat#V????--??-??I??	cár#NNI??-----A---?
hypotéka#NNF??-----A---?	cícha#NNF??-----A---?
car#NNM??-----?---?	císař#NNM??-----A---?
král#NNM??-----A---?	císař#NNM??-----A---?
daktyloskopie#NNF??-----A---?	daktyl#NNI??-----A---?
datle#NNF??-----A---?	daktyl#NNI??-----A---?
otálet#V????--??-??I??	daleký#A????----??---?
darmo#Db-------------	dar#NNI??-----A---?
dativ#NNI??-----A---?	datum#NNN??-----A---?
imbecil#NNM??-----A---?	debakl#NNI??-----A---?
dubleta#NNF??-----A---?	debl#NNI??-----A---?
dabovat#V????--??-??I??	debl#NNI??-----A---?
deci#NNNXX-----A----	decimovat#V????--??-??I??
ofenziva#NNF??-----A---?	defenziva#NNF??-----A---?
filé#NNNXX-----A----	defilé#NNNXX-----A----
infinitiv#NNI??-----A---?	definice#NNF??-----A---?
finiš#NNI??-----A---?	definice#NNF??-----A---?
floskule#NNF??-----A---?	deflorace#NNF??-----A---?
gusto#NNN??-----A---?	degustace#NNF??-----A---?
dekl#NNI??-----A---?	deka#NNF??-----A---?
cihla#NNF??-----A---?	deka#NNF??-----A---?
kadence#NNF??-----A---?	dekadence#NNF??-----A---?
kaskáda#NNF??-----A---?	dekadence#NNF??-----A---?
inklinovat#V????--??-??I??	deklinace#NNF??-----A---?
klinika#NNF??-----A---?	deklinace#NNF??-----A---?
kolárek#NNI??-----A---?	dekolt#NNI??-----A---?
decentní#AA???----??---?	dekorovat#V????--??-??B??
diskrétní#AA???----??---?	dekret#NNI??-----A---?
