Adding relation source: Homér#NNM??-----A---?, target smích#NNI??-----A---? which was originaly root
Adding relation source: blok#NNI??-----A---?, target blokovat#V????--??-??I?? which was originaly root
Adding relation source: bluf#NNI??-----A---?, target blufovat#V????--??-??I?? which was originaly root
Adding relation source: bláto#NNN??-----A---?, target blata#NNNP?-----A---? which was originaly root
Adding relation source: bláto#NNN??-----A---?, target rozblátit#V????--??-??P?? which is root of tree containing rozblácený#AA???----??---? which is derivation of bláto#NNN??-----A---? or some of his children
Adding relation source: bláto#NNN??-----A---?, target blatouch#NNI??-----A---? which was originaly root
Adding relation source: blízký#A????----??---?, target blížit#V????--??-??I?? which is root of tree containing přiblížit#V????--??-??P?? which is derivation of blízký#A????----??---? or some of his children
Adding relation source: bochník#NNI??-----A---?, target bochan#NNI??-----A---? which is root of tree containing bochánek#NNI??-----A---? which is derivation of bochník#NNI??-----A---? or some of his children
Adding relation source: bonbon#NNI??-----A---?, target bonbonek#NNI??-----A---? which was originaly root
Adding relation source: brebtat#V????--??-??I??, target brept#NNI??-----A---? which was originaly root
Adding relation source: brožura#NNF??-----A---?, target brož#NNF??-----A---? which is root of tree containing brožovat#V????--??-??I?? which is derivation of brožura#NNF??-----A---? or some of his children
Adding relation source: bránit#V????--??-??I??, target vzít#V????--??-??P?? which is root of tree containing branec#NNM??-----A---? which is derivation of bránit#V????--??-??I?? or some of his children
Adding relation source: brýle#NNFP?-----A---?, target obrýlit#V????--??-??P?? which is root of tree containing obrýlený#AA???----??---? which is derivation of brýle#NNFP?-----A---? or some of his children
Adding relation source: buclatý#AA???----??---?, target buclík#NNM??-----A---? which was originaly root
Adding relation source: bulit#V????--??-??I??, target bulet#NNI??-----A---? which is root of tree containing ubulený#AA???----??---? which is derivation of bulit#V????--??-??I?? or some of his children
Adding relation source: bulík#NNI??-----A---?, target bulík#NNM??-----A---? which is root of tree containing nabulíkovat#V????--??-??P?? which is derivation of bulík#NNI??-----A---? or some of his children
Adding relation source: buvol#NNM??-----A---?, target buvolí#AA???----1?---? which was originaly root
Adding relation source: bydlet#V????--??-??I??, target být#V???---??-??I?? which is root of tree containing obydlí#NNN??-----A---? which is derivation of bydlet#V????--??-??I?? or some of his children
Adding relation source: bylina#NNF??-----A---?, target žrát#V????--??-??I?? which is root of tree containing býložravý#AA???----??---? which is derivation of bylina#NNF??-----A---? or some of his children
Adding relation source: bát#NNI??-----A---?, target bát#V???---??-??I?? which is root of tree containing bázlivý#AA???----??---? which is derivation of bát#NNI??-----A---? or some of his children
Adding relation source: běs#NNI??-----A---?, target běs#NNM??-----A---? which is root of tree containing rozběsnit#V????--??-??P?? which is derivation of běs#NNI??-----A---? or some of his children
Adding relation source: běžet#V????--??-??I??, target podbíhat#V????--??-??I?? which is root of tree containing podběhnout#V????--??-??P?? which is derivation of běžet#V????--??-??I?? or some of his children
Adding relation source: běžet#V????--??-??I??, target přiběhnout#V????--??-??P?? which is root of tree containing příběh#NNI??-----A---? which is derivation of běžet#V????--??-??I?? or some of his children
Adding relation source: běžet#V????--??-??I??, target oběhnout#V????--??-??P?? which is root of tree containing oběžný#AA???----??---? which is derivation of běžet#V????--??-??I?? or some of his children
Adding relation source: běžet#V????--??-??I??, target zbíhat#V????--??-??I?? which is root of tree containing zběhnout#V????--??-??P?? which is derivation of běžet#V????--??-??I?? or some of his children
Adding relation source: běžet#V????--??-??I??, target probíhat#V????--??-??I?? which is root of tree containing průběžný#AA???----??---? which is derivation of běžet#V????--??-??I?? or some of his children
Adding relation source: běžet#V????--??-??I??, target úběžný#AA???----??---? which is root of tree containing úběžník#NNI??-----A---? which is derivation of běžet#V????--??-??I?? or some of his children
Adding relation source: běžet#V????--??-??I??, target rozběhnout#V????--??-??P?? which is root of tree containing rozběh#NNI??-----A---? which is derivation of běžet#V????--??-??I?? or some of his children
Adding relation source: běžet#V????--??-??I??, target vyběhnout#V????--??-??P?? which is root of tree containing výběh#NNI??-----A---? which is derivation of běžet#V????--??-??I?? or some of his children
Adding relation source: bůh#NNM??-----A---?, target Bůh#NNM??-----A---? which is root of tree containing zbožňovat#V????--??-??I?? which is derivation of bůh#NNM??-----A---? or some of his children
Adding relation source: centr#NNI??-----A---?, target centrum#NNN??-----A---? which is root of tree containing centrovat#V????--??-??I?? which is derivation of centr#NNI??-----A---? or some of his children
Adding relation source: centr#NNM??-----A---?, target centr#NNI??-----A---? which is root of tree containing centrovat#V????--??-??I?? which is derivation of centr#NNM??-----A---? or some of his children
Adding relation source: cera#NNF??-----A----, target ceruška#NNF??-----A---? which is root of tree containing dceruška#NNF??-----A---? which is derivation of cera#NNF??-----A---- or some of his children
Adding relation source: cesta#NNF??-----?---?, target scestí#NNN??-----A---? which is root of tree containing scestný#AA???----??---? which is derivation of cesta#NNF??-----?---? or some of his children
Adding relation source: chlad#NNI??-----A---?, target chladnice#NNF??-----A---? which is root of tree containing chladnička#NNF??-----A---? which is derivation of chlad#NNI??-----A---? or some of his children
Adding relation source: chlopeň#NNF??-----A---?, target chlopňovitý#AA???----??---? which was originaly root
Adding relation source: chléb#NNI??-----A---?, target pochlebný#AA???----??---? which is root of tree containing pochlebník#NNM??-----A---? which is derivation of chléb#NNI??-----A---? or some of his children
Adding relation source: chmura#NNF??-----A---?, target chmuřit#V????--??-??I?? which is root of tree containing zachmuřený#AA???----??---? which is derivation of chmura#NNF??-----A---? or some of his children
Adding relation source: chromý#AA???----??---?, target chrom#NNI??-----A---? which is root of tree containing ochromit#V????--??-??P?? which is derivation of chromý#AA???----??---? or some of his children
Adding relation source: chrt#NNM??-----A---?, target vychrtnout#V????--??-??P?? which is root of tree containing vychrtlý#AA???----??---? which is derivation of chrt#NNM??-----A---? or some of his children
Adding relation source: chrápat#V????--??-??I??, target chraptit#V?????????????? which is root of tree containing chraptivý#AA???----??---? which is derivation of chrápat#V????--??-??I?? or some of his children
Adding relation source: chumel#NNI??-----A---?, target chumlat#V????--??-??I?? which is root of tree containing zachumlat#V????--??-??P?? which is derivation of chumel#NNI??-----A---? or some of his children
Adding relation source: chundel#NNI??-----A---?, target chundelatý#AA???----??---? which is root of tree containing chundeláč#NNM??-----A---? which is derivation of chundel#NNI??-----A---? or some of his children
Adding relation source: chuť#NNF??-----A---?, target znechutit#V????--??-??P?? which was originaly root
Adding relation source: citron#NNI??-----A---?, target citrus#NNI??-----A---? which was originaly root
Adding relation source: clo#NNN??-----A---?, target cela#NNF??-----A---? which is root of tree containing celní#AA???----1?---? which is derivation of clo#NNN??-----A---? or some of his children
Adding relation source: club#NNI??-----A---?, target křeslo#NNN??-----A---? which is root of tree containing klubovka#NNF??-----A---? which is derivation of club#NNI??-----A---? or some of his children
Adding relation source: cumlat#V????--??-??I??, target cumel#NNI??-----A---? which was originaly root
Adding relation source: cypřiš#NNF??-----A---?, target cypřiš#NNI??-----A---? which is root of tree containing cypřišový#AA???----??---? which is derivation of cypřiš#NNF??-----A---? or some of his children
Adding relation source: céva#NNF??-----A---?, target cívka#NNF??-----A---? which was originaly root
Adding relation source: cíl#NNI??-----A---?, target cílevědomý#AA???----??---? which was originaly root
Adding relation source: cítit#V????--??-??I??, target necita#NNM??-----A---? which was originaly root
Adding relation source: daleký#A????----??---?, target dál#NNF??-----A---? which is root of tree containing dálka#NNF??-----A---? which is derivation of daleký#A????----??---? or some of his children
Adding relation source: daleký#A????----??---?, target dál#Db------------- which is root of tree containing zpovzdálí#Db------------- which is derivation of daleký#A????----??---? or some of his children
Adding relation source: daleký#A????----??---?, target dalekohled#NNI??-----A---? which was originaly root
Adding relation source: daleký#A????----??---?, target oddálit#V????--??-??P?? which was originaly root
Adding relation source: darmo#Db-------------, target dareba#NNM??-----A---? which is root of tree containing daremný#AA???----??---? which is derivation of darmo#Db------------- or some of his children
Adding relation source: datum#NNI??-----A---?, target datum#NNN??-----A---? which is root of tree containing datace#NNF??-----A---? which is derivation of datum#NNI??-----A---? or some of his children
Adding relation source: debl#AAXXX----1A----, target debl#NNI??-----A---? which is root of tree containing deblový#AA???----??---? which is derivation of debl#AAXXX----1A---- or some of his children
Adding relation source: dedukovat#V????--??-??B??, target dedukce#NNF??-----A---? which is root of tree containing deduktivní#AA???----1?---? which is derivation of dedukovat#V????--??-??B?? or some of his children
Adding relation source: definovat#V????--??-??B??, target definitivní#AA???----??---? which was originaly root
Adding relation source: dekolt#NNI??-----A---?, target dekoltáž#NNF??-----A---? which was originaly root
Adding relation source: delikt#NNI??-----A---?, target delikvent#NNM??-----A---? which was originaly root
Adding relation source: den#NNI??-----A---?, target dnít#V???---??-??I?? which is root of tree containing rozednít#V????--??-??P?? which is derivation of den#NNI??-----A---? or some of his children
Adding relation source: den#NNI??-----A---?, target den#NNI??-----A---? which is root of tree containing rozednít#V????--??-??P?? which is derivation of den#NNI??-----A---? or some of his children
Adding relation source: dentála#NNF??-----A---?, target dentista#NNM??-----A---? which was originaly root
Adding relation source: denuncovat#V????--??-??B??, target denunciant#NNM??-----A---? which was originaly root
Adding relation source: denuncovat#V????--??-??B??, target denunciovat#V????--??-??P?? which is root of tree containing denunciace#NNF??-----A---? which is derivation of denuncovat#V????--??-??B?? or some of his children
Adding relation source: deponovat#V????--??-??B??, target depozice#NNF??-----A---? which was originaly root
Adding relation source: deponovat#V????--??-??B??, target depozit#NNI??-----A---? which is root of tree containing depozitní#AA???----1?---? which is derivation of deponovat#V????--??-??B?? or some of his children
Adding relation source: deskriptiva#NNF??-----A---?, target deskripce#NNF??-----A---? which was originaly root
Adding relation source: despota#NNM??-----A---?, target despocie#NNF??-----A---? which was originaly root
Adding relation source: destruovat#V????--??-??I??, target destruktivní#AA???----??---? which was originaly root
Adding relation source: dezert#NNI??-----A---?, target dezertní#AA???----??---? which was originaly root
Adding relation source: dialekt#NNI??-----A---?, target dialektika#NNF??-----A---? which is root of tree containing dialektický#AA???----??---? which is derivation of dialekt#NNI??-----A---? or some of his children
Adding relation source: diference#NNF??-----A---?, target diferenciovat#V????--??-??I?? which is root of tree containing diferenciace#NNF??-----A---? which is derivation of diference#NNF??-----A---? or some of his children
Adding relation source: difuze#NNF??-----A---?, target difundovat#V????--??-??I?? which was originaly root
Adding relation source: div#Db-------------, target dít#V???---??-??I?? which is root of tree containing podivit#V????--??-??P?? which is derivation of div#Db------------- or some of his children
Adding relation source: divý#AA???----??---?, target divoženka#NNF??-----A---? which was originaly root
Adding relation source: dlouhý#AA???----??---?, target dlouhatý#AA???----??---? which is root of tree containing dlouhatánský#AA???----??---? which is derivation of dlouhý#AA???----??---? or some of his children
Adding relation source: dluh#NNI??-----A---?, target dluhopis#NNI??-----A---? which was originaly root
Adding relation source: dobytek#NNM??-----A---?, target bydlet#V????--??-??I?? which is root of tree containing dobytčí#AA???----1?---? which is derivation of dobytek#NNM??-----A---? or some of his children
Adding relation source: dol#NNI??-----A---?, target údolí#NNN??-----A---? which is root of tree containing údolní#AA???----1?---? which is derivation of dol#NNI??-----A---? or some of his children
Adding relation source: dol#NNI??-----A---?, target dolů#Db------------? which is root of tree containing dolní#AA???----??---? which is derivation of dol#NNI??-----A---? or some of his children
Adding relation source: doutnat#V????--??-??I??, target dout#V???---??-??I?? which is root of tree containing doutníkovitý#AA???----??---? which is derivation of doutnat#V????--??-??I?? or some of his children
Adding relation source: drcat#V????--??-??I??, target drc#NNI??-----A---? which was originaly root
Adding relation source: drezura#NNF??-----A---?, target drezér#NNM??-----A---? which was originaly root
Adding relation source: driblovat#V????--??-??I??, target driblink#NNI??-----A---? which was originaly root
Adding relation source: drobit#V????--??-??I??, target robit#V????--??-??I?? which is root of tree containing podrobný#AA???----??---? which is derivation of drobit#V????--??-??I?? or some of his children
Adding relation source: druhý#AA?????????????, target podruhé#Db------------? which was originaly root
Adding relation source: dub#NNI??-----A---?, target poddubák#NNI??-----A---? which was originaly root
Adding relation source: duch#NNI??-----A---?, target duch#NNM??-----A---? which is root of tree containing duchovenstvo#NNN??-----A---? which is derivation of duch#NNI??-----A---? or some of his children
Adding relation source: dvůr#NNI??-----A---?, target zdvořák#NNM??-----A---? which is root of tree containing nezdvořák#NNM??-----A---? which is derivation of dvůr#NNI??-----A---? or some of his children
Adding relation source: démon#NNM??-----A---?, target démonie#NNF??-----A---? which is root of tree containing démonický#AA???----??---? which is derivation of démon#NNM??-----A---? or some of his children
Adding relation source: déšť#NNI??-----A---?, target voda#NNF??-----A---? which is root of tree containing dešťovka#NNF??-----A---? which is derivation of déšť#NNI??-----A---? or some of his children
Adding relation source: dívat#V????--??-??I??, target nadít#V????--??-??P?? which is root of tree containing vynadívat#V????--??-??P?? which is derivation of dívat#V????--??-??I?? or some of his children
Adding relation source: dóže#NNN??-----A---?, target dóže#NNMS?-----A---- which is root of tree containing dóžecí#AA???----1?---? which is derivation of dóže#NNN??-----A---? or some of his children
Adding relation source: dýchat#V????--??-??I??, target nadšený#AA???----??---? which was originaly root
Adding relation source: dělo#NNN??-----A---?, target střelit#V????--??-??P?? which is root of tree containing dělostřelec#NNM??-----A---? which is derivation of dělo#NNN??-----A---? or some of his children
Adding relation source: dřevo#NNN??-----A---?, target dřevařina#NNF??-----A---? which was originaly root
Adding relation source: dříve#Dg-------?A---?, target dřevo#NNN??-----A---? which is root of tree containing dřevní#AA???----1?---? which is derivation of dříve#Dg-------?A---? or some of his children
Adding relation source: elektron#NNI??-----A---?, target elektro#NNN??-----A---- which is root of tree containing elektronika#NNF??-----A---? which is derivation of elektron#NNI??-----A---? or some of his children
Adding relation source: emfáze#NNF??-----A---?, target emfatický#AA???----??---? which was originaly root
Adding relation source: epos#NNI??-----A---?, target epický#AA???----??---? which is root of tree containing epika#NNF??-----A---? which is derivation of epos#NNI??-----A---? or some of his children
Adding relation source: esej#NNF??-----A---?, target esej#NNI??-----A---? which is root of tree containing esejista#NNM??-----A---? which is derivation of esej#NNF??-----A---? or some of his children
Adding relation source: evangelium#NNN??-----A---?, target evangelík#NNM??-----A---? which was originaly root
Adding relation source: excelence#NNF??-----A---?, target excelovat#V????--??-??I?? which was originaly root
Adding relation source: exploze#NNF??-----A---?, target explodovat#V????--??-??B?? which was originaly root
Adding relation source: exploze#NNF??-----A---?, target explozivní#AA???----??---? which was originaly root
Adding relation source: expres#Db-------------, target expres#NNI??-----A---? which is root of tree containing expresní#AA???----1?---? which is derivation of expres#Db------------- or some of his children
Adding relation source: farmacie#NNF??-----A---?, target farmaceutický#AA???----??---? which was originaly root
Adding relation source: fatální#AA???----??---?, target fatalizmus#NNI??-----A---? which is root of tree containing fatalista#NNM??-----A---? which is derivation of fatální#AA???----??---? or some of his children
Adding relation source: favorit#NNM??-----A---?, target favorit#NNI??-----A---? which is root of tree containing favorizovat#V????--??-??I?? which is derivation of favorit#NNM??-----A---? or some of his children
Adding relation source: feminizmus#NNI??-----A---?, target feminní#AA???----1?---? which is root of tree containing feminizovat#V????--??-??B?? which is derivation of feminizmus#NNI??-----A---? or some of his children
Adding relation source: film#NNI??-----A---?, target práce#NNF??-----A---? which is root of tree containing filmař#NNM??-----A---? which is derivation of film#NNI??-----A---? or some of his children
Adding relation source: filumenie#NNFP?-----A---?, target filumenista#NNM??-----A---? which was originaly root
Adding relation source: finiš#NNI??-----A---?, target finišman#NNM??-----A---? which was originaly root
Adding relation source: flám#NNI??-----A---?, target fláma#NNM??-----A---? which was originaly root
Adding relation source: folk#AAXXX----1A----, target folk#NNI??-----A---? which is root of tree containing folkař#NNM??-----A---? which is derivation of folk#AAXXX----1A---- or some of his children
Adding relation source: forčeking#NNI??-----A---?, target forčekovat#V????--??-??I?? which was originaly root
Adding relation source: fotografie#NNF??-----A---?, target fotografovat#V????--??-??I?? which was originaly root
Adding relation source: frekvence#NNF??-----A---?, target frekventovaný#AA???----??---? which was originaly root
Adding relation source: fundament#NNI??-----A---?, target fundamentalistický#AA???----??---? which is root of tree containing fundamentalista#NNM??-----A---? which is derivation of fundament#NNI??-----A---? or some of his children
Adding relation source: fúze#NNF??-----A---?, target infuzní#AA???----??---? which is root of tree containing infúzní#AA???----1?---? which is derivation of fúze#NNF??-----A---? or some of his children
Adding relation source: gigant#NNM??-----A---?, target gigant#NNI??-----A---? which is root of tree containing gigantický#AA???----??---? which is derivation of gigant#NNM??-----A---? or some of his children
Adding relation source: gnóma#NNN??-----A---?, target gnóm#NNM??-----A---? which is root of tree containing gnómický#AA???----??---? which is derivation of gnóma#NNN??-----A---? or some of his children
Adding relation source: gubernium#NNN??-----A---?, target gubernie#NNF??-----A---? which was originaly root
Adding relation source: guturální#AA???----1?---?, target guturála#NNF??-----A---? which was originaly root
Adding relation source: gól#NNI??-----A---?, target golman#NNM??-----A---? which is root of tree containing gólman#NNM??-----A---? which is derivation of gól#NNI??-----A---? or some of his children
Adding relation source: hala#Db-------------, target hala#NNF??-----A---? which is root of tree containing halový#AA???----??---? which is derivation of hala#Db------------- or some of his children
Adding relation source: halit#NNI??-----A---?, target halit#V????--??-??I?? which is root of tree containing rozhalit#V????--??-??P?? which is derivation of halit#NNI??-----A---? or some of his children
Adding relation source: hamounit#V????--??-??I??, target ham#NNI??-----A---? which is root of tree containing hamoun#NNM??-----A---? which is derivation of hamounit#V????--??-??I?? or some of his children
Adding relation source: hanět#V????--??-??I??, target pohana#NNF??-----A---? which was originaly root
Adding relation source: hať#NNF??-----A---?, target hatit#V????--??-??I?? which was originaly root
Adding relation source: hecovat#V????--??-??I??, target hec#NNI??-----A---? which was originaly root
Adding relation source: hlas#NNI??-----A---?, target věž#NNF??-----A---? which is root of tree containing hláska#NNF??-----A---? which is derivation of hlas#NNI??-----A---? or some of his children
Adding relation source: hlas#NNI??-----A---?, target vyhlášet#V????--??-??I?? which is root of tree containing vyhláška#NNF??-----A---? which is derivation of hlas#NNI??-----A---? or some of his children
Adding relation source: hloub#NNFS?-----A----, target hlubina#NNF??-----A---? which was originaly root
Adding relation source: hltat#V????--??-??I??, target pohltit#V????--??-??P?? which was originaly root
Adding relation source: hltat#V????--??-??I??, target zahltit#V????--??-??P?? which was originaly root
Adding relation source: hluk#NNI??-----A---?, target shluknout#V????--??-??P?? which is root of tree containing shluk#NNI??-----A---? which is derivation of hluk#NNI??-----A---? or some of his children
Adding relation source: hlédat#V????--??-??I??, target hledět#V????--??-??I?? which is root of tree containing ohlídat#V????--??-??P?? which is derivation of hlédat#V????--??-??I?? or some of his children
Adding relation source: hmatat#V????--??-??I??, target podhmat#NNI??-----A---? which was originaly root
Adding relation source: hnida#NNF??-----A---?, target píchat#V????--??-??I?? which is root of tree containing hnidopich#NNM??-----A---? which is derivation of hnida#NNF??-----A---? or some of his children
Adding relation source: hnout#V????--??-??P??, target výhyb#NNI??-----A---? which is root of tree containing výhybka#NNF??-----A---? which is derivation of hnout#V????--??-??P?? or some of his children
Adding relation source: hnědý#AA???----??---?, target kůň#NNM??-----A---? which is root of tree containing hnědák#NNM??-----A---? which is derivation of hnědý#AA???----??---? or some of his children
Adding relation source: hodit#V????--??-??I??, target hodit#V????--??-??P?? which is root of tree containing výhoda#NNF??-----A---? which is derivation of hodit#V????--??-??I?? or some of his children
Adding relation source: hodit#V????--??-??I??, target shodný#AA???----??---? which is root of tree containing shoda#NNF??-----A---? which is derivation of hodit#V????--??-??I?? or some of his children
Adding relation source: hodit#V????--??-??I??, target dohodnout#V????--??-??P?? which is root of tree containing dohoda#NNF??-----A---? which is derivation of hodit#V????--??-??I?? or some of his children
Adding relation source: hodit#V????--??-??I??, target hádat#V????--??-??I?? which is root of tree containing rozhodnout#V????--??-??P?? which is derivation of hodit#V????--??-??I?? or some of his children
Adding relation source: hokej#NNI??-----A---?, target hůl#NNF??-----A---- which is root of tree containing hokejka#NNF??-----A---? which is derivation of hokej#NNI??-----A---? or some of his children
Adding relation source: homilie#NNF??-----A---?, target homiletika#NNF??-----A---? which is root of tree containing homiletický#AA???----??---? which is derivation of homilie#NNF??-----A---? or some of his children
Adding relation source: hop#NNI??-----A---?, target hopsat#V????--??-??I?? which is root of tree containing hupsnout#V????--??-??P?? which is derivation of hop#NNI??-----A---? or some of his children
Adding relation source: hora#NNF??-----A---?, target hůra#NNF??-----A---? which is root of tree containing hůrka#NNF??-----A---? which is derivation of hora#NNF??-----A---? or some of his children
Adding relation source: horší#AA???----??---?, target hůře#Dg-------?A---? which was originaly root
Adding relation source: horší#AA???----??---?, target horšit#V????--??-??I?? which is root of tree containing pohoršit#V????--??-??P?? which is derivation of horší#AA???----??---? or some of his children
Adding relation source: hovět#V????--??-??I??, target poshovět#V????--??-??P?? which was originaly root
Adding relation source: hovězí#AAXXX----1A---b, target hovado#NNN??-----A---? which is root of tree containing hovězina#NNF??-----A---? which is derivation of hovězí#AAXXX----1A---b or some of his children
Adding relation source: hořet#V???---??-??I??, target horký#AA???----??---? which is root of tree containing horoucí#AA???----1?---? which is derivation of hořet#V???---??-??I?? or some of his children
Adding relation source: hrdlo#NNN??-----A---?, target hrdlořez#NNM??-----A---? which was originaly root
Adding relation source: hrubý#AA???----??---?, target zhrubět#V????--??-??P?? which is root of tree containing zhrubělý#AA???----??---? which is derivation of hrubý#AA???----??---? or some of his children
Adding relation source: huba#NNF??-----A---?, target houba#NNF??-----A---? which is root of tree containing hubička#NNF??-----A---? which is derivation of huba#NNF??-----A---? or some of his children
Adding relation source: hudlařit#V????--??-??I??, target hudlat#V????--??-??I?? which is root of tree containing hudlař#NNM??-----A---? which is derivation of hudlařit#V????--??-??I?? or some of his children
Adding relation source: huhlat#V????--??-??I??, target huhňat#V???---??-??I?? which was originaly root
Adding relation source: humanizmus#NNI??-----A---?, target humánní#AA???----??---? which was originaly root
Adding relation source: hučet#V????--??-??I??, target houkat#V????--??-??I?? which is root of tree containing hukot#NNI??-----A---? which is derivation of hučet#V????--??-??I?? or some of his children
Adding relation source: hybrid#NNM??-----A---?, target hybrid#NNI??-----A---? which is root of tree containing hybridní#AA???----??---? which is derivation of hybrid#NNM??-----A---? or some of his children
Adding relation source: hypnóza#NNF??-----A---?, target hypnotikum#NNN??-----A---? which was originaly root
Adding relation source: hypnóza#NNF??-----A---?, target hypnotický#AA???----??---? which is root of tree containing hypnotizovat#V????--??-??I?? which is derivation of hypnóza#NNF??-----A---? or some of his children
