parent	grandparent	derivation
buzola#NNF??-----A---?	box#NNI??-----A---?	busola#NNF??-----A---?
brebtat#V????--??-??I??	brebentit#V????--??-??I??	breptat#V????--??-??I??
babrat#V????--??-??I??	brebentit#V????--??-??I??	brblat#V????--??-??I??
break#NNI??-----A---?	brok#NNI??-----A---?	brejk#NNI??-----A---?
brožura#NNF??-----A---?	brokát#NNI??-----A---?	brož#NNF??-----A---?
brum#NNI??-----A---?	broukat#V????--??-??I??	bručet#V????--??-??I??
brusnice#NNF??-----A---?	brousit#V????--??-??I??	brusinka#NNF??-----A---?
rotovat#V????--??-??I??	bryčka#NNF??-----A---?	rotace#NNF??-----A---?
abreviace#NNF??-----A---?	brífink#NNI??-----A---?	breviář#NNI??-----A---?
bumbrlík#NNM??-----A---?	bumbat#V????--??-??I??	bumbrlíček#NNM??-----A---?
ořech#NNI??-----A---?	buran#NNM??-----A---?	burák#NNI??-----A---?
bujet#V????--??-??I??	buňka#NNF??-----A---?	bujný#AA???----??---?
bukač#NNM??-----A---?	bzučet#V????--??-??I??	bučet#V????--??-??I??
broukat#V????--??-??I??	bzučet#V????--??-??I??	bručet#V????--??-??I??
pět#V????--??-??I??	báseň#NNF??-----A---?	píseň#NNF??-----A---?
brnkat#V????--??-??I??	břeskný#AA???----??---?	břinkat#V????--??-??I??
třískat#V????--??-??I??	břeskný#AA???----??---?	třesknout#V????--??-??P??
brav#NNI??-----A---?	březí#AA???----1?---?	brát#V????--??-??I??
břemeno#NNN??-----A---?	březí#AA???----1?---?	břímě#NNNS?-----A---?
březí#AA???----1?---?	břitva#NNF??-----A---?	borec#NNM??-----A---?
zbroj#NNF??-----A---?	břitva#NNF??-----A---?	brojit#V????--??-??I??
Champagne#NNF??-----A---?	kemp#NNI??-----A---?	kampaň#NNF??-----A---?
čít#V????--??-??I??	cedit#V????--??-??I??	čistý#A????----??---?
mířit#V????--??-??I??	cedit#V????--??-??I??	cedule#NNF??-----A---?
účet#NNI??-----A---?	cena#NNF??-----A---?	číst#V????--??-??I??
koncentrovat#V????--??-??B??	centrum#NNN??-----A---?	koncentrace#NNF??-----A---?
chramstat#V????--??-??I??	chamtivý#AA???----??---?	chramstnout#V????--??-??P??
chemie#NNF??-----A---?	chechtat#V????--??-??I??	alchymie#NNF??-----A---?
chirurgie#NNF??-----A---?	chiromantie#NNF??-----A---?	chirurg#NNM??-----A---?
chamtit#V???---??-??I??	chlastat#V????--??-??I??	chramstnout#V????--??-??P??
schlípnout#V????--??-??P??	odchlípnout#V????--??-??P??	schlíplý#AA???----??---?
melancholie#NNF??-----A---?	cholerik#NNM??-----A---?	melancholik#NNM??-----A---?
chundel#NNI??-----A---?	chumáč#NNI??-----A---?	chundelatý#AA???----??---?
chňapnout#V????--??-??P??	chopit#V????--??-??P??	chňapat#V????--??-??I??
choreografie#NNF??-----A---?	chór#NNI??-----A---?	choreograf#NNM??-----A---?
cedit#V????--??-??I??	chovat#V????--??-??I??	čít#V????--??-??I??
koumat#V????--??-??I??	chovat#V????--??-??I??	zkoumat#V????--??-??I??
chřastit#V???---??-??I??	chřástal#NNM??-----A---?	chřestit#V????--??-??I??
bzučet#V????--??-??I??	chrobák#NNM??-----A---?	brouk#NNM??-----A---?
chrast#NNI??-----A---?	chrobák#NNM??-----A---?	chroust#NNM??-----A---?
chromý#AA???----??---?	chromozom#NNI??-----A---?	chrom#NNI??-----A---?
anachronizmus#NNI??-----A---?	chronický#AA???----??---?	kronika#NNF??-----A---?
chronický#AA???----??---?	chronologie#NNF??-----A---?	kronika#NNF??-----A---?
křoupat#V????--??-??I??	chrupat#V????--??-??I??	křupat#V????--??-??I??
chytit#V????--??-??P??	chřipka#NNF??-----A---?	chytat#V????--??-??I??
choť#NNF??-----A---?	chřipka#NNF??-----A---?	chuť#NNF??-----A---?
toga#NNF??-----A---?	cihla#NNF??-----A---?	tóga#NNF??-----A---?
čekat#V????--??-??I??	cikorka#NNF??-----A---?	čekanka#NNF??-----A---?
břeskný#AA???----??---?	cinkat#V????--??-??I??	břinkat#V????--??-??I??
pitvat#V????--??-??I??	pila#NNF??-----A---?	pitva#NNF??-----A---?
civil#NNI??-----A---?	citadela#NNF??-----A---?	civilní#AA???----??---?
excitovat#V????--??-??I??	citovat#V????--??-??I??	excitace#NNF??-----A---?
deklarovat#V????--??-??B??	clearing#NNI??-----A---?	deklarace#NNF??-----A---?
uctít#V????--??-??P??	co#Db-------------	čest#NNF??-----?----
kontingence#NNF??-----A---?	kontakt#NNI??-----A---?	kontingent#NNI??-----A---?
kontaminovat#V????--??-??B??	kontakt#NNI??-----A---?	kontaminace#NNF??-----A---?
korpulence#NNF??-----A---?	korpus#NNI??-----A---?	korpulentní#AA???----??---?
čůrat#V????--??-??I??	crčet#V????--??-??I??	čurat#V????--??-??I??
cvaknout#V????--??-??P??	cvičit#V????--??-??I??	cvakat#V????--??-??I??
flexe#NNF??-----A---?	scvrknout#V????--??-??P??	působit#V????--??-??I??
zas#Db-------------	scvrknout#V????--??-??P??	zase#Db-------------
cvrkat#V????--??-??I??	cvrlikat#V????--??-??I??	cvrček#NNM??-----A---?
čachtat#V????--??-??I??	cákat#V????--??-??I??	čvachtat#V????--??-??I??
decimální#AA???----1?---?	decimovat#V????--??-??I??	decimálka#NNF??-----A---?
indukovat#V????--??-??B??	dedukovat#V????--??-??B??	indukce#NNF??-----A---?
akvadukt#NNI??-----A---?	dedukovat#V????--??-??B??	redukce#NNF??-----A---?
defétizmus#NNI??-----A---?	deficit#NNI??-----A---?	defétista#NNM??-----A---?
referovat#V????--??-??I??	deficit#NNI??-----A---?	referát#NNI??-----A---?
finale#NNN??-----A----	definice#NNF??-----A---?	finále#NNN??-----A---?
flora#NNF??-----A---?	deflorace#NNF??-----A---?	flóra#NNF??-----A---?
doch#NNI??-----A---?	deka#NNF??-----A---?	došek#NNI??-----A---?
decimovat#V????--??-??I??	dekagram#NNI??-----A---?	deci#NNNXX-----A----
autodafé#NNNXX-----A----	demagog#NNM??-----A---?	pedagog#NNM??-----A---?
aristokracie#NNF??-----A---?	demagog#NNM??-----A---?	demokracie#NNF??-----A---?
mentální#AA???----1?---?	demence#NNF??-----A---?	mentalita#NNF??-----A---?
chiromantie#NNF??-----A---?	demiurg#NNM??-----A---?	chirurg#NNM??-----A---?
demagogie#NNF??-----A---?	demiurg#NNM??-----A---?	demagog#NNM??-----A---?
léto#NNN??-----A---?	dnes#Db-------------	letos#Db-------------
natální#AA???----??---?	denaturovaný#AA???----??---?	natalita#NNF??-----A---?
Dinara#NNF??-----A---?	denár#NNI??-----A---?	dinár#NNI??-----A---?
expedovat#V????--??-??B??	depeše#NNF??-----A---?	expedice#NNF??-----A---?
pilule#NNF??-----A---?	depilace#NNF??-----A---?	pilulka#NNF??-----A---?
aport#NNI??-----A---?	deportovat#V????--??-??I??	export#NNI??-----A---?
komprese#NNF??-----A---?	deprese#NNF??-----A---?	kompresor#NNI??-----A---?
dupnout#V????--??-??P??	deptat#V????--??-??I??	dupat#V????--??-??I??
premiera#NNF??-----A---?	derniéra#NNF??-----A---?	premiéra#NNF??-----A---?
transkribovat#V????--??-??B??	deskriptivní#AA???----1?---?	transkripce#NNF??-----A---?
aspekt#NNI??-----A---?	despekt#NNI??-----A---?	inspekce#NNF??-----A---?
konstruovat#V????--??-??I??	destrukce#NNF??-----A---?	konstrukce#NNF??-----A---?
deka#NNF??-----A---?	detektiv#NNM??-----A---?	cihla#NNF??-----A---?
validní#AA???----??---?	devalvovat#V????--??-??B??	validita#NNF??-----A---?
dedukovat#V????--??-??B??	deviace#NNF??-----A---?	viadukt#NNI??-----A---?
rezerva#NNF??-----A---?	dezert#NNI??-----A---?	rezervovat#V????--??-??B??
asertivní#AA???----??---?	dezertovat#V????--??-??B??	disertace#NNF??-----A---?
bola#NNF??-----A---?	dia#AAXXX----1A----	ďábel#NNM??-----A---?
diabetes#NNI??-----A----	dia#AAXXX----1A----	diabetik#NNM??-----A---?
agnostik#NNM??-----A---?	dia#AAXXX----1A----	diagnóza#NNF??-----A---?
synchron#NNI??-----A---?	diachronní#AA???----??---?	synchronní#AA???----1?---?
dia#AAXXX----1A----	dialekt#NNI??-----A---?	dialog#NNI??-----A---?
bar#NNI??-----A---?	diametrální#AA???----1?---?	metr#NNI??-----A---?
spermie#NNF??-----A---?	diaspora#NNF??-----A---?	sperma#NNN??-----A---?
ekumena#NNF??-----A---?	diecéze#NNF??-----A---?	ekumenismus#NNI??-----A---?
deficit#NNI??-----A---?	diference#NNF??-----A---?	referovat#V????--??-??I??
indiference#NNF??-----A---?	diference#NNF??-----A---?	indiferentní#AA???----??---?
fúze#NNF??-----A---?	difúze#NNF??-----A---?	infúze#NNF??-----A---?
sugesce#NNF??-----A---?	digestoř#NNF??-----A---?	sugerovat#V????--??-??I??
agrese#NNF??-----A---?	digrese#NNF??-----A---?	kongres#NNI??-----A---?
bez#NNI??-----A---?	dík#NNI??-----A---?	bezděky#Db-------------
abdikovat#V????--??-??I??	dikce#NNF??-----A---?	indikovat#V????--??-??B??
diktovat#V????--??-??I??	dikce#NNF??-----A---?	diktát#NNI??-----A---?
latrina#NNF??-----A---?	diluvium#NNN??-----A---?	latrína#NNF??-----A---?
chovat#V????--??-??I??	dimenze#NNF??-----A---?	měřit#V????--??-??I??
aplikovat#V????--??-??B??	diplom#NNI??-----A---?	duplikát#NNI??-----A---?
rezidence#NNF??-----A---?	disident#NNM??-----A---?	rezident#NNM??-----A---?
ansámbl#NNI??-----A---?	disimilace#NNF??-----A---?	asimilovat#V????--??-??B??
akcent#NNI??-----A---?	diskant#NNI??-----A---?	kantáta#NNF??-----A---?
deviovat#V????--??-??I??	dýza#NNF??-----A---?	indukce#NNF??-----A---?
inkriminovat#V????--??-??B??	diskriminovat#V????--??-??B??	inkriminovaný#AA???----??---?
kurz#NNI??-----A---?	diskurs#NNI??-----A---?	kurs#NNI??-----A---?
konkurz#NNI??-----A---?	diskurs#NNI??-----A---?	konkurs#NNI??-----A---?
lokální#AA???----??---?	dislokovat#V????--??-??B??	lokál#NNI??-----A---?
asonance#NNF??-----A---?	disonance#NNF??-----A---?	rezonance#NNF??-----A---?
pára#NNF??-----A---?	disparátní#AA???----??---?	pár#NNI??-----A---?
diplom#NNI??-----A---?	displej#NNI??-----A---?	komplikovat#V????--??-??I??
deportovat#V????--??-??I??	disponovat#V????--??-??I??	deponovat#V????--??-??B??
computer#NNI??-----A---?	disputace#NNF??-----A---?	deputace#NNF??-----A---?
instantní#AA???----??---?	distance#NNF??-----A---?	instance#NNF??-----A---?
konstance#NNF??-----A---?	distance#NNF??-----A---?	konstantní#AA???----??---?
soudit#V????--??-??I??	dít#V???---??-??I??	soud#NNI??-----A---?
dát#V????--??-??P??	dít#V???---??-??I??	udát#V???---??-??P??
dělat#V????--??-??I??	dít#V???---??-??I??	dílo#NNN??-----A---?
dívat#V????--??-??I??	dít#V???---??-??I??	nadít#V????--??-??P??
konvergovat#V????--??-??I??	divergence#NNF??-----A---?	konvergence#NNF??-----A---?
den#NNI??-----A---?	diář#NNI??-----A---?	dieta#NNF??-----A---?
tlesknout#V????--??-??P??	dlask#NNM??-----A---?	tleskat#V????--??-??I??
dmychat#V????--??-??I??	dmout#V????--??-??I??	dmýchat#V????--??-??I??
podobat#V????--??-??I??	doba#NNF??-----A---?	podoba#NNF??-----A---?
hodit#V????--??-??P??	doba#NNF??-----A---?	hod#NNI??-----A---?
docent#NNM??-----A---?	doktrína#NNF??-----A---?	doktor#NNM??-----A---?
noc#NNF??-----A---?	důl#NNI??-----A---?	záležet#V????--??-??I??
Dominik#NNM??-----A---?	domestikace#NNF??-----A---?	dominovat#V????--??-??B??
panel#NNI??-----A---?	domestikace#NNF??-----A---?	dům#NNI??-----A---?
domestikovat#V????--??-??I??	doména#NNF??-----A---?	dům#NNI??-----A---?
doména#NNF??-----A---?	don#NNM??-----A---?	dáma#NNF??-----A---?
dotovat#V????--??-??B??	donace#NNF??-----A---?	dotace#NNF??-----A---?
posavad#Db-------------	dosud#Db-------------	dosavad#Db-------------
dmout#V????--??-??I??	dout#V???---??-??I??	dmýchat#V????--??-??I??
drknout#V????--??-??P??	drcat#V????--??-??I??	drkotat#V????--??-??I??
drandit#V????--??-??I??	drcat#V????--??-??I??	drnčet#V????--??-??I??
adresa#NNF??-----A---?	drezura#NNF??-----A---?	dres#NNI??-----A---?
drcat#V????--??-??I??	drndat#V????--??-??I??	drkotat#V????--??-??I??
cinknout#V????--??-??P??	drndat#V????--??-??I??	brnkat#V????--??-??I??
drsný#AA???----??---?	drápat#V????--??-??I??	drásat#V????--??-??I??
dráp#NNI??-----A---?	drát#V????--??-??I??	drápat#V????--??-??I??
huba#NNF??-----A---?	drát#V????--??-??I??	nádor#NNI??-----A---?
drchat#V????--??-??I??	drát#V????--??-??I??	drbat#V????--??-??I??
duše#NNF??-----A---?	duch#NNI??-----A---?	dech#NNI??-----A---?
dubióza#NNF??-----A---?	duet#NNI??-----A---?	duel#NNI??-----A---?
dudlat#V????--??-??I??	dumlat#V????--??-??I??	dudlík#NNI??-----A---?
cucat#V????--??-??I??	dumlat#V????--??-??I??	cumlat#V????--??-??I??
donace#NNF??-----A---?	dáseň#NNF??-----A---?	dar#NNI??-----A---?
podlý#AA???----??---?	dělit#V????--??-??I??	podle#Dg-------??---?
dermatologie#NNF??-----A---?	díra#NNF??-----A---?	dřít#V????--??-??I??
div#Db-------------	dít#V???---??-??P??	soud#NNI??-----A---?
generovat#V????--??-??I??	džentlmen#NNM??-----A---?	generace#NNF??-----A---?
dtto#Db------------b	edikt#NNI??-----A---?	verdikt#NNI??-----A---?
diskotéka#NNF??-----A---?	koedukace#NNF??-----A---?	dedukovat#V????--??-??B??
artefakt#NNI??-----A---?	efekt#NNI??-----A---?	afekt#NNI??-----A---?
disputovat#V????--??-??I??	egalizace#NNF??-----A---?	ekvivalentní#AA???----??---?
diecéze#NNF??-----A---?	ekologie#NNF??-----A---?	ekonomie#NNF??-----A---?
egalizovat#V????--??-??I??	ekvilibristika#NNF??-----A---?	ekvivalentní#AA???----??---?
elektrický#AA???----??---?	elektro#NNN??-----A----	elektřina#NNF??-----A---?
elevovat#V????--??-??I??	elév#NNM??-----A---?	elevace#NNF??-----A---?
relevance#NNF??-----A---?	elév#NNM??-----A---?	irelevantní#AA???----??---?
diametrální#AA???----1?---?	embargo#NNN??-----A---?	bar#NNI??-----A---?
embolus#NNI??-----A---?	emblém#NNI??-----A---?	embolie#NNF??-----A---?
emblém#NNI??-----A---?	en#NNXXX-----A----	embolie#NNF??-----A---?
argon#NNI??-----A---?	en#NNXXX-----A----	energie#NNF??-----A---?
encyklopédie#NNF??-----A---?	encyklika#NNF??-----A---?	encyklopedie#NNF??-----A---?
cyklon#NNI??-----A---?	encyklika#NNF??-----A---?	cyklus#NNI??-----A---?
clavichord#NNI??-----A---?	enkláva#NNF??-----A---?	klávesa#NNF??-----A---?
exkluze#NNF??-----A---?	enkláva#NNF??-----A---?	exkluzivní#AA???----??---?
teizmus#NNI??-----A---?	entropie#NNF??-----A---?	ateismus#NNI??-----A---?
těžký#AA???----??---?	epenteze#NNF??-----A---?	teze#NNF??-----A---?
demiurg#NNM??-----A---?	epidemie#NNF??-----A---?	demokracie#NNF??-----A---?
fyzický#AA???----??---?	epifýza#NNF??-----A---?	fyzika#NNF??-----A---?
epenteze#NNF??-----A---?	epiteton#NNN??-----A----	teze#NNF??-----A---?
methoda#NNF??-----A---?	epizoda#NNF??-----A---?	metoda#NNF??-----A---?
onomatopoie#NNF??-----A---?	epopej#NNF??-----A---?	onomatopoický#AA???----??---?
drezura#NNF??-----A---?	erekce#NNF??-----A---?	korigovat#V????--??-??B??
epizoda#NNF??-----A---?	erg#NNI??-----A---?	orgie#NNF??-----A---?
rudiment#NNI??-----A---?	erudice#NNF??-----A---?	rudimentární#AA???----??---?
abrupce#NNF??-----A---?	erupce#NNF??-----A---?	korupce#NNF??-----A---?
bastard#NNM??-----A---?	erupce#NNF??-----A---?	bankrot#NNI??-----A---?
examinovat#V????--??-??I??	esej#NNF??-----A---?	examinátor#NNM??-----A---?
erekce#NNF??-----A---?	eskorta#NNF??-----A---?	korigovat#V????--??-??B??
deprese#NNF??-----A---?	espreso#NNN??-----A---?	pres#NNI??-----A---?
spirituelní#AA???----1?---?	esprit#NNI??-----A---?	spiritismus#NNI??-----A---?
aspiráta#NNF??-----A---?	esprit#NNI??-----A---?	špiritus#NNI??-----A---?
atak#NNI??-----A---?	estakáda#NNF??-----A---?	atakovat#V????--??-??I??
epigon#NNM??-----A---?	etno#NNNS?-----A----	geneze#NNF??-----A---?
ethika#NNF??-----A---?	étos#NNI??-----A---?	etika#NNF??-----?---?
ethno#NNNS?-----A----	etnický#AA???----??---?	etno#NNNS?-----A----
status#NNI??-----A---?	etáž#NNF??-----A---?	statický#AA???----??---?
charizma#NNN??-----A---?	eucharistie#NNF??-----A---?	charisma#NNN??-----A---?
amfora#NNF??-----A---?	euforie#NNF??-----A---?	metafora#NNF??-----A---?
gen#NNI??-----A---?	eugenika#NNF??-----A---?	genetika#NNF??-----A---?
