zapisují;zapisovat
hotových;hotový
lži;lež
ubytují;ubytovat
nejsvětější;svatý
zažili;zažít
zaplaven;zaplavit
stydím;stydět
poškozujete;poškozovat
rozbíhá;rozbíhat
staříkovi;stařík
stanoveno;stanovit
poradu;porada
brokátem;brokát
cingrlátek;cingrlátko
sletí;sletět
vytvářeno;vytvářet
zasloužím;zasloužit
krbem;krb
nahrnuli;nahrnout
lince;linka
mami;máma
hořkosti;hořkost
mizině;mizina
nedbal;dbát
zeleniny;zelenina
vyli;výt
použila;použít
střeše;střecha
nemluvňat;nemluvně
kojné;kojná
vznešenějšímu;vznešený
umíraje;umírat
neublíží;ublížit
houpačce;houpačka
linoucího;linoucí
netrpělivě;trpělivě
sevřely;sevřít
omlouvám;omlouvat
zdržuju;zdržovat
spolujezdce;spolujezdec
nevydržel;vydržet
předpisům;předpis
špičku;špička
límečkem;límeček
pamatuj;pamatovat
obchodního;obchodní
sirotky;sirotek
podepiš;podepsat
vlezu;vlézt
práv;právo
příhodnějšího;příhodný
magazínech;magazín
bikinách;bikiny
nelituje;litovat
opánkem;opánek
upoutávalo;upoutávat
dřel;dřít
měnilo;měnit
nenápadně;nápadně
hrachu;hrách
horách;hora
filozofií;filozofie
zavazadla;zavazadlo
říší;říše
čeřili;čeřit
vyčetla;vyčíst
přived;přivést
vysoké;vysoká
ech;echo
vzchop;vzchopit
jazyka;jazyk
vzniklo;vzniknout
návršíčku;návršíčko
účinnější;účinný
mejdanech;mejdan
vědci;vědec
projektován;projektovat
vklouzla;vklouznout
neupije;upít
dojedl;dojíst
vykládáme;vykládat
účtech;účet
podepřel;podepřít
rákosů;rákos
posloužím;posloužit
proměňuje;proměňovat
sebevědomým;sebevědomý
nerušili;rušit
tekl;téci
potměšilí;potměšilý
důrazností;důraznost
zneužila;zneužít
natáhl;natáhnout
slibuji;slibovat
nestarala;starat
zrcátka;zrcátko
vzdychla;vzdychnout
zablesklo;zablesknout
propuknou;propuknout
nesvěřovala;svěřovat
nebouřím;bouřit
kymácejíce;kymácet
upevněna;upevnit
opatrného;opatrný
pstruzi;pstruh
pavoučci;pavouček
opakuji;opakovat
básně;báseň
stránek;stránka
pečlivostí;pečlivost
mínění;míněný
nepodceňovala;podceňovat
tísnivém;tísnivý
vejpravu;vejprava
prorazí;prorazit
prosel;prosít
dělostřelci;dělostřelec
seženu;sehnat
manžílka;manžílek
slečno;slečna
přeběhly;přeběhnout
připadlo;připadnout
nezvýšila;zvýšit
služebných;služebná
modrých;modrý
vynálezcova;vynálezcův
nabízej;nabízet
neočekávaně;očekávaně
převzal;převzít
oblékla;obléci
neagitovala;agitovat
úhlu;úhel
siluety;silueta
vybíráš;vybírat
sloupce;sloupec
neporušitelné;porušitelný
vyženu;vyhnat
šedivého;šedivý
nočnímu;noční
osvícen;osvítit
dílky;dílek
písmenem;písmeno
ozvalo;ozvat
nenávidím;nenávidět
prospěšné;prospěšný
mniši;mnich
nevyšplháš;vyšplhat
podělaném;podělaný
nebi;nebe
nevyskytovalo;vyskytovat
neokázalou;okázalý
rozestavím;rozestavit
starochům;staroch
pozdrav;pozdravit
nahá;nahý
dostizích;dostih
unavena;unavit
parapetu;parapet
vypadneme;vypadnout
zavedl;zavést
plnou;plný
lebkou;lebka
psa;pes
mumii;mumie
chlapa;chlap
pásci;pásek
chudší;chudý
umřela;umřít
hoden;hodný
přivážou;přivázat
zpívaj;zpívat
nezahořeli;zahořet
podnosem;podnos
rozjedem;rozjet
ubíralo;ubírat
vetřela;vetřít
neodpovídalo;odpovídat
vzala;vzít
zdi;zeď
pravím;pravit
nepodrobí;podrobit
nesnášel;snášet
kryli;krýt
kamenů;kámen
křídla;křídlo
loňsku;loňsko
uřízněte;uříznout
shledanou;shledaná
nevyhověla;vyhovět
britští;britský
chýší;chýše
tančíte;tančit
července;červenec
hlavních;hlavní
uklidnili;uklidnit
soudruzi;soudruh
neklepali;klepat
nastrkáme;nastrkat
rynkem;rynek
pokožku;pokožka
dohlídne;dohlédnout
odepřeno;odepřít
koupí;koupě
válej;válet
kamélií;kamélie
kysely;kyselo
vzpomínkám;vzpomínka
upřel;upřít
for;fórum
tonuly;tonout
neobstálo;obstát
pacientkám;pacientka
poradím;poradit
dlani;dlaň
zaklaply;zaklapnout
plotu;plot
stájích;stáj
sukněma;sukně
zakleti;zaklít
spáse;spása
přehlušováno;přehlušovat
předsíni;předsíň
zapadalo;zapadat
přelila;přelít
mola;molo
rozkašle;rozkašlat
skládáme;skládat
sletě;slet
neplodného;plodný
nevrátí;vrátit
sympatičtí;sympatický
studni;studně
nadzdvihli;nadzdvihnout
relací;relace
nacismu;nacismus
potkáme;potkat
hoši;hoch
zemského;zemský
prachama;prachy
nepřekvapovala;překvapovat
slohovému;slohový
drahoušku;drahoušek
přestavěn;přestavět
postavila;postavit
salonku;salónek
musel;muset
nestřílel;střílet
nechybí;chybit
nejvábnější;vábný
nechutí;nechuť
vodnes;vodnést
zákusky;zákusek
nezmohl;zmoci
zákony;zákon
utřel;utřít
přítomen;přítomný
neudržitelnou;udržitelný
spaly;spát
užije;užít
křísla;křísnout
synka;synek
důvěrném;důvěrný
neškrtám;škrtat
gramodesce;gramodeska
piva;pivo
nemanželská;manželský
počítám;počítat
usínám;usínat
pomateném;pomatený
potížemi;potíž
níž;nízko
leskly;lesknout
postaráno;postarat
zašel;zajít
připomněl;připomenout
lil;lít
neohlédla;ohlédnout
vtipkařům;vtipkař
pouště;poušť
borku;borek
zlověstná;zlověstný
města;město
investoři;investor
oddechli;oddechnout
nevybuchne;vybuchnout
zavírají;zavírat
odlišnému;odlišný
pochroumán;pochroumat
klidná;klidný
lekla;leknout
poškozenému;poškozený
ubíhají;ubíhat
signály;signál
nařizují;nařizovat
nezbedníkům;nezbedník
národům;národ
učitelského;učitelský
vopije;vopít
bála;bát
nešifrované;šifrovaný
nevyprovokovaly;vyprovokovat
zní;znít
šohajky;šohajek
rozprostřeli;rozprostřít
bývá;bývat
salutuju;salutovat
zrušenou;zrušený
lóži;lóže
úředním;úřední
kvetly;kvést
nepodnikl;podniknout
skříňce;skříňka
svazkům;svazek
setkal;setkat
nepravdivé;pravdivý
zkazilo;zkazit
zbyl;zbýt
zemité;zemitý
plic;plíce
odeslán;odeslat
návštěvě;návštěva
odpráskli;odprásknout
nezmínila;zmínit
ubohej;ubohý
letíš;letět
vysadíme;vysadit
rušném;rušný
hospodyni;hospodyně
lajdáky;lajdák
psala;psát
podobě;podoba
nemá;mít
kloakách;kloaka
přitisknutou;přitisknutý
verst;versta
nepotápějte;potápět
pořádku;pořádek
důstojníci;důstojník
rathouz;rathauz
průchodech;průchod
zahrajeme;zahrát
bloků;blok
nejotužilejších;otužilý
uvádí;uvádět
polil;polít
nohy;noha
popošel;popojít
vyňavše;vyjmout
strážníci;strážník
pravidel;pravidlo
nejjednodušeji;jednoduše
nevyřízených;vyřízený
neplánoval;plánovat
připomínaly;připomínat
náramnej;náramný
bože;bůh
oranžistů;oranžista
ztrátách;ztráta
pochyb;pochyba
upekla;upéci
lokýtky;lokýtek
ložnicí;ložnice
vypuštěnej;vypuštěný
americká;americký
mandelinkám;mandelinka
liber;libra
koštěte;koště
oceňován;oceňovat
obležen;oblehnout
chudáci;chudák
prokurátore;prokurátor
ředitelově;ředitelův
nejlacinější;laciný
tužeb;tužba
zachmuřen;zachmuřit
uznána;uznat
zavřenýma;zavřený
nerozhodně;rozhodně
razítky;razítko
zavezl;zavézt
manželé;manžel
klína;klín
zachce;zachtít
okénkem;okénko
vyprahlého;vyprahlý
vtrhly;vtrhnout
schváleny;schválit
napíná;napínat
rozvětvené;rozvětvený
neúnavnou;únavný
světélkem;světélko
přelétávají;přelétávat
vyměňuje;vyměňovat
kradl;krást
úderu;úder
blokovány;blokovat
exponují;exponovat
vytryskly;vytrysknout
silněji;silně
stolku;stolek
jadrnějšího;jadrný
nenaučil;naučit
propadli;propadnout
rozhodujeme;rozhodovat
opětovném;opětovný
zhasnou;zhasnout
pakoní;pakůň
hlouběji;hluboce
spisů;spis
nadnese;nadnést
obyčejné;obyčejný
obršt;obrst
ovládá;ovládat
nezlob;zlobit
připjal;připnout
koze;koza
brácho;brácha
velikánskou;velikánský
lese;les
nedívám;dívat
sedačkami;sedačka
milánkové;milánek
neoblečená;oblečený
chapadly;chapadlo
spotřebuje;spotřebovat
synáčku;synáček
snídaní;snídaně
náramkem;náramek
morseovce;morseovka
vylétne;vylétnout
obrácena;obrátit
jednotlivce;jednotlivec
skříní;skříň
zabte;zabít
orgiích;orgie
naslouchají;naslouchat
nezabíjí;zabíjet
povahy;povaha
omítce;omítka
životopisce;životopisec
drožkáři;drožkář
pozná;poznat
křivkách;křivka
patře;patro
stromy;strom
mihl;mihnout
stavu;stav
řekl;říci
ekologům;ekolog
přivádí;přivádět
kapitáne;kapitán
otrokyni;otrokyně
stroje;stroj
zarámovány;zarámovat
břišním;břišní
tragédie;tragedie
nejvzácnější;vzácný
plátkem;plátek
středem;střed
klackem;klacek
policajtskejch;policajtský
duchovního;duchovní
místečka;místečko
vysloužilých;vysloužilý
hrkne;hrknout
háčkem;háček
pokračovala;pokračovat
pecí;pec
mnul;mnout
unavujou;unavovat
pokryty;pokrýt
obešli;obejít
seřazuje;seřazovat
nezamčené;zamčený
ohlásím;ohlásit
zvětšovaly;zvětšovat
četl;číst
nedotýká;dotýkat
pozřeli;pozřít
koleje;kolej
prahu;práh
cel;clo
hlučnej;hlučný
vzhlédneme;vzhlédnout
bezdůvodná;bezdůvodný
mléčném;mléčný
opatova;opatův
obálce;obálka
cvakaly;cvakat
osobě;osoba
mentalitou;mentalita
ohromná;ohromný
pohodlněji;pohodlně
přituhly;přituhnout
hnalo;hnát
senzačnější;senzační
okny;okno
předešel;předejít
obchodníci;obchodník
ruměnce;ruměnec
nevnímal;vnímat
křehká;křehký
džínách;džínsy
budkám;budka
zavalila;zavalit
praštíme;praštit
kývl;kývnout
jednodušší;jednoduchý
třískají;třískat
cti;čest
svícnem;svícen
dostrkali;dostrkat
rozsvítili;rozsvítit
svalech;sval
projevovaly;projevovat
módy;móda
nepřivolat;přivolat
vidlicích;vidlice
zámku;zámek
náměstka;náměstek
deskách;desky
zhasínají;zhasínat
smažených;smažený
stalinismu;stalinismus
nepřekročila;překročit
pusu;pusa
bělocha;běloch
mrtev;mrtvý
svalovou;svalový
koukej;koukat
povytáhl;povytáhnout
vysázejte;vysázet
zmizí;zmizet
ženských;ženský
přehozenou;přehozený
lůžku;lůžko
dovedla;dovést
spisovatelé;spisovatel
rozzuřují;rozzuřovat
zákazníci;zákazník
přijedou;přijet
tuři;tur
vrzlo;vrznout
nejvolněji;volno
potvrdila;potvrdit
jazyková;jazykový
libovolných;libovolný
klapne;klapnout
míchá;míchat
ulsterští;ulsterský
kapitalismu;kapitalismus
podlaze;podlaha
představuješ;představovat
vážim;vážit
otrokům;otrok
ptáka;pták
dramatu;drama
kůži;kůže
herečku;herečka
hlasům;hlas
uším;ucho
známek;známka
mírou;míra
zachráním;zachránit
partneři;partner
zděšeni;zděsit
kapsičky;kapsička
zármutku;zármutek
nesmrtelné;smrtelný
těsněji;těsně
vzpomněl;vzpomenout
útrobách;útroby
zemáků;zemák
jmenujete;jmenovat
nalakovaných;nalakovaný
boty;bota
otočily;otočit
nevšedního;všední
přijímacího;přijímací
zaklenuly;zaklenout
princezno;princezna
děl;dělo
odpočinu;odpočinout
střízlivější;střízlivý
dědečka;dědeček
natírají;natírat
nesmí;smět
utichají;utichat
překypuje;překypovat
pomašíruješ;pomašírovat
zpěvům;zpěv
nejelegantnější;elegantní
suknem;sukno
vyvíjen;vyvíjet
hoří;hořet
schopno;schopný
najede;najet
vodítku;vodítko
odlehlejších;odlehlý
schůdkům;schůdek
chodníkům;chodník
uličkou;ulička
neupravenou;upravený
polkla;polknout
všimla;všimnout
plácky;plácek
koutcích;koutek
ujde;ujít
gratuluju;gratulovat
nastanou;nastat
vynášejí;vynášet
hrála;hrát
samečka;sameček
odnesli;odnést
podávejte;podávat
zkusím;zkusit
helmách;helma
povídala;povídat
nevyptávala;vyptávat
mnoha;mnoho
rodu;rod
vytáhla;vytáhnout
vylézaly;vylézat
terase;terasa
najím;najíst
hrbí;hrbit
lejnem;lejno
chodíš;chodit
nevymýšlím;vymýšlet
domnívají;domnívat
vpila;vpít
utkáme;utkat
vyvázne;vyváznout
plivám;plivat
elysiem;elysium
naklonila;naklonit
krabici;krabice
nenapovídalo;napovídat
révovím;révoví
přihodilo;přihodit
ulétli;ulétnout
smíchem;smích
kolegyní;kolegyně
polštářích;polštář
nozdrám;nozdra
rozepnul;rozepnout
ochraptělí;ochraptělý
uniknete;uniknout
dozněl;doznít
vydlabanému;vydlabaný
coulem;coul
zamžily;zamžít
klečí;klečet
spojeno;spojit
chůzí;chůze
rohem;roh
drobností;drobnost
mizerným;mizerný
zalil;zalít
usilují;usilovat
bratry;bratr
vcházejíc;vcházet
čeká;čekat
zamluven;zamluvit
vyžadují;vyžadovat
dlážce;dlážka
bulteriéry;bulteriér
šeru;šero
netušícího;tušící
sírové;sírový
borku;borka
vagónů;vagón
pravítkem;pravítko
cizinci;cizinec
čtvrti;čtvrť
zaklesnuti;zaklesnout
chtěnej;chtěný
ničím;nic
dekádách;dekáda
korso;korzo
neformální;formální
miř;mířit
děkujeme;děkovat
vynucenému;vynucený
blíže;blízko
zamčeno;zamknout
odvedl;odvést
plála;planout
nefalšované;falšovaný
kapesníčku;kapesníček
odvrácena;odvrátit
výš;vysoko
rozjívence;rozjívenec
nepoddajný;poddajný
nezapochyboval;zapochybovat
bázní;bázeň
banditi;bandita
nevyjasněného;vyjasněný
ověřte;ověřit
posouvám;posouvat
očku;očko
deště;déšť
černých;černý
pročetl;pročíst
snažili;snažit
podotkl;podotknout
křížku;křížek
lvům;lev
kovovou;kovový
nezajímá;zajímat
pámbů;pánbůh
obtíže;obtíž
judy;judo
tichým;tichý
nehnul;hnout
kině;kino
vrhne;vrhnout
metry;metr
bijí;bít
vyplynuly;vyplynout
nehladověli;hladovět
navštívíme;navštívit
skotské;skotská
poseru;posrat
nešporech;nešpory
nebrání;bránit
trenérovi;trenér
vracím;vracet
základech;základ
kouše;kousat
stehny;stehno
noci;noc
sáčky;sáček
chlápka;chlápek
překážek;překážka
kadidly;kadidlo
vázance;vázanka
nepromluvím;promluvit
objal;obejmout
prohnula;prohnout
posadila;posadit
motivován;motivovat
pomátl;pomást
obchodníkovo;obchodníkův
pytláci;pytlák
unavení;unavený
napjatýma;napjatý
šlapaje;šlapat
přítelkyň;přítelkyně
poutem;pouto
potápějícího;potápějící
rojily;rojit
hrbáčovu;hrbáčův
zaplavuje;zaplavovat
blábolíš;blábolit
zadřela;zadřít
dojmy;dojem
ničíc;ničit
barákama;barák
vzkážu;vzkázat
nefasuje;fasovat
lomcuje;lomcovat
vykvetl;vykvést
odpusťte;odpustit
zatčení;zatčený
doslechli;doslechnout
dostáném;dostáný
vychutnáváme;vychutnávat
ozářeno;ozářit
zapomněl;zapomenout
opouštěl;opouštět
světlejší;světlý
obcházeje;obcházet
obydli;obydlet
narostly;narůst
pěchotnímu;pěchotní
vyhrkly;vyhrknout
ujišťuji;ujišťovat
raněnej;raněný
přisuzovalo;přisuzovat
městečku;městečko
kasárnách;kasárna
světci;světec
horši;horšit
osvobodí;osvobodit
postele;postel
soustředěna;soustředit
natřena;natřít
nahlíží;nahlížet
nezatížený;zatížený
zvykaly;zvykat
mamutími;mamutí
důrazněji;důrazně
neženaté;ženatý
víří;vířit
nalezena;nalézt
nádražního;nádražní
synovcem;synovec
pouštního;pouštní
hutnější;hutný
plácli;plácnout
nevyřešily;vyřešit
automobilu;automobil
potulují;potulovat
cukaje;cukat
rakve;rakev
pradědkové;pradědek
řádná;řádný
kaplanovy;kaplanův
nereidek;nereidka
nezjednoduší;zjednodušit
neukvapeného;ukvapený
jedla;jíst
dekách;deka
důležitosti;důležitost
dvojnásobkem;dvojnásobek
dvojnásobnejch;dvojnásobný
vedru;vedro
obrazců;obrazec
