šestipencový	šestipence
osmadvaceticentimetrový	osmadvacetimetrový
předkolapsový	kolapsový
poschůzový	schůzový, schůze
předobjektový	objektový, objekt, podobjekt
předodjezdový	odjezdový
dvoudávkový	dvojdávka
předperestrojkový	perestrojkový
předpučový	poučit
dvounožový	dvounožka, dvojnoží
dvoupísňový	dvojpísňový, dvojpíseň
předrozpočtový	rozpočtový, předrozpočet
předtréninkový	tréninkový
předvíkendový	víkendový, víkend
předvzletový	vzletový, vletový, vlet, vletět
sedmatřicetimiliónový	sedmatřicetimilionový
sedmačtyřicetimiliónový	sedmačtyřicetimilionový
osmisetpadesátimiliónový	osmisetpadesátimilionový
sedmadvacetimiliardový	sedmadvacetimilionový
multiprocesový	procesový
šedesátiosmimiliónový	šedesátimilionový
interbázový	bázový
předpádový	pádový
dvoumetový	dvojmetový
sedmnáctimiliardový	sedmnáctimilionový
skannerový	skanner, scanner, scannerový, scan
osmasedmdesátimiliónový	osmasedmdesátimilionový
bezrozstřikový	rozstřik
kortisonový	kortizon, kortison
osmadvacetimiliardový	osmadvacetimilionový
oscilátorový	oscilátor
padesátiosmimiliónový	padesátiosmimilionový
pětideskový	pět
čtyrmiliardový	čtyřmiliardový
pětačtyřicetimiliardový	pětačtyřicetimilionový
vařidlový	vařit
mezistykový	stykový
nadprahový	prahový
čtyřistapadesátidevítimilionový	čtyřistapadesátimilionový
třítraktový	trojtrakt
čtyřsetjedenáctimiliónový	čtyřsetjedenáctimilionový
třídávkový	trojdávkový
rajčinový	rajka
devítiapůlmiliónový	devítiapůlmilionový
strnišťový	strniště
trojstěžňový	trojstěžní
trojchodový	trojhod
trifluoroctový	fluoroctový
dvojznámkový	dvojznámka
dvaadvacetimiliardový	dvaadvacetimilionový
dvouarchový	dvojarch
předledovcový	ledovec, ledovcový
dvoublokový	dvojblok
dvoubodový	dvojbodový
sešívačkový	sešívačka
šestilistový	šestilistý
trojstupňový	trojstup
genrový	gen
hrásťový	hrásť
devětasedmdesátimiliónový	devětasedmdesátimilionový
čtyřiašedesátimiliónový	čtyřiašedesátimilionový
třiapůllitrový	tříapůllitr
aprilový	apríl
podkreslový	podkreslit
stošestnáctimiliónový	stošestnáctimilionový
stodevadesáticentimetrový	stodevadesátimetrový
jednolůžkový	jednolůžko
exdruholigový	druholigový
tříplotýnkový	trojplotýnka
tříkřížový	křížit
jedenasedmdesátimiliónový	jedenasedmdesátimilionový
jedenáctinový	jedenáctina
dvouznámkový	dvojznámka
čtyřistapadesátidevítimiliónový	čtyřistapadesátimilionový
třítaktový	trojaktový
dvoustupňový	dvojstupňový, dvoustup
sedmapůlmiliónový	sedmapůlmilionový
čtyřicetimiliardový	čtyřicetimilionový
arkuskotangentový	arkuskotangenta
dvousborový	dvojsbor
uměleckoideový	umělecký
dvoupákový	dvojpákový
bagelový	bagel
osmdesátidevítimilimetrový	osmdesátimilimetrový
předledový	ledový
bezestavový	stavový
pětifázový	pět
dvouakordový	dvojakord
dvoubalonový	dvojbalonový
kečový	keč
šestialbový	šestialbum
humínový	humín, humin
tuřínový	tuřín
pochřipkový	chřipka, chřipkový
tříčlánkový	trojčlánek
multistylový	stylový
třílistový	trojlist, třílistý
třinácticentimetrový	třináctimetrový
ženylkový	ženylka
šedesátiletový	šedesátiletý
pětadvacetimiliardový	pětadvacetimilionový
pětaosmdesáticentimetrový	pětaosmdesátimetrový
pětasedmdesáticentimetrový	pětasedmdesátimetrový
dvoutlačítkový	dvojtlačítko
dvojpísmenový	dvojpísmenný
čtyřiačtyřicetimiliónový	čtyřiačtyřicetimilionový
digitalisový	digitalizovat
osmdesátiosmimiliardový	osmdesátimiliardový
čtyřgigabitový	čtyřgigabytový
raminový	aminový, amin
rendzinový	rendzina
megahertzový	hertz, megahertz
exprvoligový	prvoligový
lívancový	lívanec, lévanec
nadprůtokový	průtokový
bezpaticový	patice
dvousvazkový	dvojsvazkový, dvojsvazek
dvoumarkový	dvoumarkovka
osmdesátipísmenový	osmdesátipísmenný
dvoupříjmový	dvojpříjmový
čtrnáctimiliardový	čtrnáctimilionový
předhodový	hodový, hod
nákrojový	kroj, krojový
dvouplátkový	dvojplátek
šestikolíkový	šestikolák
cyberpunkový	cyberpunk, kyberpunk
megapočítačový	počítačový, počítač
dvaašedesáticentimetrový	dvaašedesátimetrový
nadklíčkový	nadklíček, klíčkový, kličkový
submilimetrový	milimetrový
dvoupatrový	dvojpatrový
algový	alka, alba
třídesetinový	třísetinový
osmigigabitový	osmigigabytový
předalbový	albový
pazdeřový	pazdeří
sedmirunový	merinový
desetieurový	desetieuro
tříposádkový	trojposádka
tříprůchodový	trojprůchodový
dvoustojanový	dvojstojanový
dvoukřídlový	dvoukřídle
metylakrylový	methylakrylový
podtrupový	trup
žernový	žernov, žerný
čtyřiačtyřicetivteřinový	čtyřiačtyřicetina
dvojsloupový	dvousloupí
posňatkový	sňatkový
desítimetrový	desetimetr, desetimetrový
tříbitový	tříbit
dvousystémový	dvojsystém, dvojsystémový
dvousetmilionový	dvousetmiliónový
stodvacetimiliardový	stodvacetimilionový
stoosmimiliónový	stoosmimilionový
stošestimiliónový	stošestimilionový
rollwerkový	rollwerk
desetipísmenový	desetipísmenný
osmapůlmiliónový	osmapůlmilionový
sulfoniový	sulfon
trojčíslicový	trojčíslo
pětadevadesátimiliónový	pětadevadesátimilionový
předzvukový	zvukový, zvukovka, zvukově
dvaaosmdesátimiliónový	dvaaosmdesátimilionový
submolekulový	molekulový
osumdesátikilový	osmdesátikilový
tříchodový	trojchodový
stoosmdesáticentimetrový	stoosmdesátimetrový
pokřídový	křídový, křída
dvouačtvrtmiliónový	dvouačtvrtmilionový
dvoukomponentový	dvoukomponentní
obroučový	obroučka
dvojkolejový	dvojkolejka, dvojkolejný
třicetipětimiliónový	třicetipětimilionový
pětiškálový	pět
zimový	zima
subtaskový	taskový
dvouocáskový	dvojocásek
polednový	poledne, polední
koverkotový	koverkot
dvouzónový	dvojzónový
protisystémový	systémový, systém
pětasedmdesátimiliardový	pětasedmdesátimilionový
dvojvrstvový	dvojvrstva
čtyřkolejový	čtyřkolejka, čtyřkolejný
bezestykový	stykový
šestikůlový	šestikolo
osmasedmdesáticentimetrový	osmasedmdesátimetrový
třípatrový	trojpatrový
horčinový	horka
salepový	salpa
stodesetimiliónový	stodesetimilionový
tříprvkový	trojprvkový
dvounbrankový	dvoubranka
dvoukolejový	dvoukolejka, dvojkolejka, dvojkolejový, dvoukolejný, dvojkolejný
dvaašedesátimiliónový	dvaašedesátimilionový
stodevatenáctimiliónový	stodevatenáctimilionový
bezespojový	spojový
nadmolekulový	molekulový
poloválcový	válcový
protikartelový	kartelový
dvojvrtulový	dvojvrtule
poosvitový	osvitový
pětiapůlkilometrový	pětapůlkilometrový
bekendový	bekend
čtyrhodinový	čtyřhodinový, čtyrhodinný
závozový	závoz, závod
stotřináctimiliónový	stotřináctimilionový
dvoutřídový	dvoutřídka
podlopatkový	lopatkový, lopatka
podhlasivkový	hlasivkový, hlasivka
kopulový	kopule, kopula
bezjezdcový	jezdec
mangrový	mangový
přihradový	příhrada, gradový, bradový
dvaadvaceticentimetrový	dvaadvacetimetrový
předvztahový	vztahový, vztah
dvoupísmenový	dvojpísmenový
dvaatřiceticentimetrový	dvaatřicetimetrový
pantonový	pan, anton
dvouznačkový	dvojznačka
mikrofišový	mikrofiš, mikrofiše
jedenadvaceticentimetrový	jedenadvacetimetrový
multisouborový	souborový
čtyřiadvacetistupňový	čtyřiadvacetistup
polyfázový	fázový
subatomový	atomový
pošokový	šokový, šekový, šok
dvouatomový	dvojatomový
diatomový	atomový
trojkřídlový	trojkřídle
rušový	rušit, ruch
amylový	amyl
sedmnáctiapůlmiliónový	sedmnáctiapůlmilionový
nadsvětový	světový
pětiarový	pět
porozsudkový	rozsudkový
podočnicový	očnice
dvouohniskový	dvojohniskový
dvoumegabytový	dvoumegabitový
čtyrkamerový	čtyřkamerový
tříkolový	tříkolý, trojkolo, tříkole, trojkolový
devítichodový	devítice
dvouskladbový	dvojskladba
nadprostorový	prostorový
víceletový	víceletý
dvouúčelový	dvojúčelový
třicetitisícový	třicetisícový
tubusový	tubus
mnohotisícový	mnohatisícový
nadpultový	pultový
třináctimiliónový	třináctimilionový
čtyřpísmenový	čtyřpísmenný
boardercrossový	boardercross
polosyrový	syrový
pětaosmdesátimiliardový	pětaosmdesátimilionový
patnácticentimetrový	patnáctimetrový
třídecový	třída
stosedmdesáticentimetrový	stosedmdesátimetrový
dvaasedmdesátimiliónový	dvaasedmdesátimilionový
dvouvodičový	dvouvodičově
porozpadový	rozpadový, raz
gigawattový	gigawatt
pětiligový	pět
devítilistový	devítilistý
decilitrový	decilitr
arkustangentový	arkustangenta
dvoukotoučový	dvojkotoučový
dvouproudový	dvojproud
stovoltový	stvol
tříčíslicový	číslice
popovodňový	povodňový
crowdfundingový	crowdfunding
třípaprskový	trojpaprskový
třistamiliónový	třistamilionový
worchestrový	worchester
třípodnikový	trojpodnik
třízónový	trojzónový
dvouslabikový	dvojslabikový
třípilířový	trojpilíř
jednopísmenový	jednopísmenný
kbytový	kbyt
raficový	rafie
multifaktorový	-multi-
safetový	safe
osmdesátiminutový	osmdesátiminutovka
balkonový	balkon, balka, balkón
kypový	kápo
dvoupólový	dvojpólový, dvoupůlový
tříakordový	tříakord
čtyřapůlkilový	třiapůlkilový
protistresový	stresový
medovinový	medovina
šestadvacetimiliónový	šestadvacetimilionový
glyfosátový	glyfosát
předrepublikový	republikový
dvoupásmový	dvojpásmo
dvoupísmenkový	dvojpísmenkový
tříkilometrový	trojkilometrový
rudonachový	ruda
stotisícový	stotisící
spodikový	spodium, spodina
ylangový	ylang
protispamový	spamový
dvaačtyřiceticentimetrový	dvaačtyřicetimetrový
lutrový	lautr
nadhrtanový	hrtanový, hrtan
stokoňový	stokový
jedenapadesátimiliónový	jedenapadesátimilionový
poporodový	porod
dvouapůlmilionový	dvouapůlmiliónový
modrotyrkysový	modrý
pěticentimetrový	pět
watthodinový	watthodina
šestikolíčkový	šestikolečko
podnulový	nulový
nadžánrový	žánrový
abscisový	abscize
trojgólový	trojpólový
suportový	suport
diglykolový	glykolový
chrastový	chrast, chrást
transgenový	genový
předsletový	sletový, letový
jednokloubový	jednokloubově
palmitový	palma
podrostový	podrost, růst
naftenový	nafta
poloniový	polonium
politickoideový	politický
mezipříkazový	mezipříkaze
prorůstový	prorůst, růstový, růst
podpovrchový	povrch, povrchový
protinákazový	nákazový
pětitaktový	pětiaktový
placikový	placka
tříkolíčkový	tříkolečko
protizáškrtový	záškrtový
startupový	startup, start
stamilionový	stamiliónový
drapový	dráp
rotavirový	rotavir
stressový	stress, stres
třípísničkový	trojpísnička
batchový	bath
sklerociový	sklerocium
modrofialový	modrý
miliwattový	miliwatt
devítiapůlmilionový	devítiapůlmiliónový
kosminový	kosmo
víceprvkový	prvkový
čtyrkilový	čtyřkilový
šestnáctinový	šestnáctina, šestnáctinka
lunchmeatový	lunchmeat
nadrozumový	rozumový
čtyrapůlpatrový	čtyřapůlpatrový
sedmnáctiapůlmilionový	sedmnáctiapůlmiliónový
jedenatřicetimiliónový	jedenatřicetimilionový
šestiapůlmiliónový	šestiapůlmilionový
bramový	brama, manový, dram, mat, mama
porozvodový	rozvodový
třípásmový	trojpásmový
čtyřiapůlmilionový	čtyřiapůlmiliónový
dvoučíslicový	dvoučíslo
podpokožkový	pokožkový
tutový	tu
tříklenbový	klenbový
podponorový	ponorový
podkolejnicový	kolejnice, kolejnicový
pětibytový	pět
jedenadvacetimiliardový	jedenadvacetimilionový
čtyřkřídlový	čtyřkřídle
třicetičtyřmiliónový	třicetičtyřmilionový
povojnový	vojna
tříosový	trojosa
sedmiapůlmilionový	sedmiapůlmiliónový
submikronový	mikronový
akažuový	akažu
sedmapůlmilionový	sedmapůlmiliónový
vícehodnotový	hodnotový, hodnota
libový	libý, libo
nadhltanový	hltanový
sideronitový	siderolit
pěticentilitrový	pět
geoprostorový	geoprostor
pravostředový	středový
devatenácticentimetrový	devatenáctimetrový
argilikový	argilický
asparágový	asparagus
dvaapůlmiliónový	dvaapůlmilionový
bordunový	bordun
posametový	sametový
guerillový	guerilla
radiopaketový	radio
osmistupňový	osmistup
víceprůměrový	průměrový, píce
podpatrový	patrový, patro
zlatavěduhový	zlatavěduhově
dvouveslový	dvojveslový
prachoplynový	prachoplynný
třícyklový	cyklový
nadkmenový	kmenový, kmen
čtyřsethlavový	čtyrsethlavý, čtyřsethlavý
pětikarátový	pět
dvoupolohový	dvojpolohový
dvouvrtulový	dvojvrtule
statimový	stať
ptosový	ptóza, ptosa
rhodanovodíkový	rhodanovodík
pozemnicový	pozemní
mezivrcholový	vrcholový
interpohárový	pohárový
dvojvláknový	dvojvlákno
dvaačtyřicetibitový	dvaačtyřicetibytový
oreléový	reléový
pentosový	pentosa
předsametový	sametový
poletový	letový
termový	terma, term, therm, therma
devítistupňový	devítistup
pikolinový	pikola
pětiznakový	pět
dvouprvkový	dvojprvkový
osmiapůlmilionový	osmiapůlmiliónový
podsedlový	sedlový, posedle
třínápravový	trojnáprava
upasový	up
bezmodový	modový, bodový, medový, módový
alofázový	alfa
mnohafigurový	mnohofigurový
sedmivrstvový	sedmivrstvý, sedmivrstvě
biokokosový	kokosový, úkosový
mnohomilionový	mnohamilionový
dvouhvězdičkový	dvouhvězda
dvacetistupňový	dvacetistup
ampérhodinový	ampérhodina
metalhalidový	metal
vojskový	vojka
kalotový	kola
čtyrpásmový	čtyřpásmový
orchestriónový	orchestrión, orchestrion
desetiokruhový	desetikruhový
oplenový	plenový, plen
plotterový	plotter
pětimandátový	pět
backhandový	backhand
blokový	blok
jedenáctipísmenový	jedenáctipísmenný
dřevoplynový	dřevoplyn
trojsedadlový	trojsedadlo
mnohamilionový	mnohomilionový
dvoupopruhový	dvojpruhový, dvojpruh
pětidélkový	pět
dikarboxylový	karboxylový
mnohomiliardový	mnohamiliardový
dvoutubusový	dvojtubus
scatový	scat
milisekundový	milisekunda, sekundový
multioborový	rolový, borový
protisněhový	sněhový
dvouprůchodový	dvojprůchodový
tempurový	tempo
diaminohexanový	diamin
bezstehový	stehový, stohový
stokorcový	storka
katódový	katoda
mezipokojový	pokojový
skateboardingový	skateboarding
příledovcový	ledovec, ledovcový
isoftalový	izoftalový
poloobloukový	polooblouk
pětiargumentový	pět
dvanáctisetstránkový	dvanáctistránkový
obtočnový	točnový
dvoukruhový	dvojkruh, dvojkruhový
osmapůlmilionový	osmapůlmiliónový
monogramový	monogram, -gram-, gramový
osmipísmenový	osmipísmenný
osmikolový	osmikole
sedmidecový	sedmice
vahový	váha, háv
pětibitový	pět
harcový	harka
dvěstěmiliónový	dvěstěmilionový
jednohlavňový	jednohlavý
polozávěrový	závěrový
pětivřetenový	pět
nitrocelulosový	nitrocelulosa
krátkotermínový	krátký
dvoutrubkový	dvojtrubka
pětigólový	pět
pětialbový	pět, pětialbum
pětigalonový	pět
dolistopadový	listopadový
desetistránkový	stránkový
biliónový	bilionový
flashový	flashka
širokoúhlový	širokoúhle, širokoúhlý
jedenapůmilionový	jedenapůmiliónový
dvouokruhový	dvojokruh, dvojokruhový
pětichodový	pět
stehový	steh, stehno, stah
termosový	termoska
polohladový	hladový
rašlový	šlový
makrový	makový
třípísmenový	trojpísmenový
jedenapůmiliónový	jedenapůmilionový
protitetanový	tetanový
osmimegabytový	osmimegabitový
malonový	malinový
celostatkový	celostat
plynoprachový	plyn
pětisledový	pět
izocitrónový	citronový
dvoupředmětový	dvojpředmět
jedenáctiapůlmiliónový	jedenáctiapůlmilionový
tříhvězdičkový	trojhvězdička
fisetový	filet
riscový	risk
tříoborový	trojobor, trojoborový
pětitahový	pět
roadový	road
protizáplavový	záplavový
patnáctistupňový	patnáctistup
tříkřídlový	tříkřídle
mimoplatový	platový
bootový	book
protirasový	trasový
stolirový	stůl
pětipixelový	pět
bassový	basa, bas, basový
šestiapůlmilionový	šestiapůlmiliónový
pětizónový	pět
dvoukrokový	dvojkrok, dvojkrokový
exligový	legista, ex
obousměrový	obousměrka
pikrový	pika
mimosmyslový	smyslový
transmembránový	membránový
dvaapůlmilionový	dvaapůlmiliónový
multirasový	rasový
několikastupňový	kolikastupňový
narkotestový	narkotest
syrový	sýrový, sýr
pětiuhlíkový	pět
poloplynový	poloplný
půlový	půle, pólo, pól, púl, půlit, pole, polo
glossopterisový	glossopteris
pětimilionový	pět
mnohobytový	mnohabytový
mnohovidový	mnohavidový
mnohoprvkový	mnohaprvkový
terabajtový	terabajt, terabytový, terabit
jedenáctiapůlmilionový	jedenáctiapůlmiliónový
pětivteřinový	pět
pětiprstíkový	pět
mnohahodinový	mnohohodinový
pětivchodový	pětichodový
pikosekundový	pikosekunda, sekundový
thrashmetalový	thrash
pětidrátový	pět
jednookruhový	jednokruhový
jedenapůlmilionový	jedenapůlmiliónový
dvouvláknový	dvojvláknový, dvojvlákno
pětipalcový	pět
pětisloupcový	pět
pětičlánkový	pět
pětibiliónový	pětibilionový
pěticinchový	pět
pětivoltový	pět
celodotykový	celý
pětitlačítkový	pět
dvoukomorový	dvojkomorový
malorážový	malorážka
megavoltový	megavolt
víceprostorový	prostorový
stoakrový	stoa
multimegabytový	multimegabitový, multimegabit
sederový	sed
hydrofilový	hydrofilie
pětapůlmilionový	pětapůlmiliónový
pětiapůlmetrový	pět
vnitrosouborový	vnitro
meziprostorový	meziprostor, prostorový
pětiklapkový	pět
zelenotyrkysový	zelený
pětižilkový	pět
metylesterřepkový	metylester, methylester
pětiapůlmilionový	pětiapůlmiliónový, pětapůlmilionový, pět
shedový	had
pětiputnový	pět
multisegmentový	segmentový
padesátimegabajtový	padesátimegabytový
kilobajtový	kilobajt
vnitrojazykový	vnitro
vnitroareálový	vnitro
maloprofilový	profilový
sulfanilový	sulfan
multigigabytový	-multi-
multiměnový	měnový
pětiznámkový	pět
multimilionový	-multi-
mililitrový	mililitr
nanosekundový	nanosekunda, sekundový
mezipobočkový	pobočkový
mezisegmentový	segmentový
nový	nova, nově
pětinožový	pětinoha, pětinka
pětislabikový	pět
pětiparagrafový	pět
pětiapůlhodinový	pět, pětapůlhodinový
mimorámový	mimo
pětižilový	pět
pětiventilový	pět
třicetigigabajtový	třicetigigabytový
pětiřádkový	pět
pětiproudový	pět
pětihodinový	pět
uměleckoprůmyslový	umělec
lihobenzínový	lihobenzin
pětipísmenkový	pět
radioreceptorový	radio
mezipředmětový	předmětový
pětiblokový	pět
pětiobvodový	pět
pětipísmenový	pět
pětiplachtový	pět
pětilampový	pět
pětičíslicový	pět
pětiobloukový	pět
pětinápravový	pět
sedmistupňový	sedmistup
pětidráhový	pět
jednokřídlový	jednokřídle
pětipromilový	pět
pětipatrový	pět
pětiobráncový	pět
hnědofialový	hnědý
zelenookrový	zelený
pětipásmový	pět
modrooranžový	modrý
bílooranžový	bílý
