#what to do: YES=connect parent to grandparent; „lemma“=connect to this lemma instead of to the grandparent
#annotation 	grandparent	parent	derivation
YES & RECONNECT DERIVATION FROM PARENT TO GRANDPARENT	silvestr#NNI??-----A---?	Silvestrov#NNM??-----A---?	silvestrovský#AA???----??---?
NO	bádat#V????--??-??I??	badminton#NNI??-----A---?	badmintonista#NNM??-----A---?
YES	běžet#V????--??-??I??	zbíhat#V????--??-??I??	zběh#NNM??-----A---?
obíhat	běžet#V????--??-??I??	oběhnout#V????--??-??P??	oběh#NNI??-----A---?
běhat	běžet#V????--??-??I??	probíhat#V????--??-??I??	průběžný#AA???----??---?
běhat	běžet#V????--??-??I??	podbíhat#V????--??-??I??	podběhnout#V????--??-??P??
vybíhat	běžet#V????--??-??I??	vyběhnout#V????--??-??P??	výběh#NNI??-----A---?
ubíhat	běžet#V????--??-??I??	úběžný#AA???----??---?	úběžník#NNI??-----A---?
YES & RECONNECT DERIVATION FROM PARENT TO GRANDPARENT	bůh#NNM??-----A---?	Bůh#NNM??-----A---?	zbožňovat#V????--??-??I??
NO & RECONNECT DERIVATION FROM PARENT TO GRANDPARENT	celní#AA???----1?---?	clo#NNN??-----A---?	celnice#NNF??-----A---?
NO	centr#NNI??-----A---?	centrum#NNN??-----A---?	centrovat#V????--??-??I??
NO & RECONNECT DERIVATION FROM PARENT TO GRANDPARENT	dcera#NNF??-----A---?	ceruška#NNF??-----A---?	dceruška#NNF??-----A---?
YES	cesta#NNF??-----?---?	scestí#NNN??-----A---?	scestný#AA???----??---?
YES	chlad#NNI??-----A---?	chladnice#NNF??-----A---?	chladnička#NNF??-----A---?
YES	pochlebovat#V????--??-??I??	pochlebný#AA???----??---?	pochlebník#NNM??-----A---?
YES	chmura#NNF??-----A---?	chmuřit#V????--??-??I??	zachmuřit#V????--??-??P??
NO & RECONNECT DERIVATION FROM PARENT TO GRANDPARENT	chromý#AA???----??---?	chrom#NNI??-----A---?	ochromit#V????--??-??P??
YES	chrt#NNM??-----A---?	vychrtnout#V????--??-??P??	vychrtlý#AA???----??---?
YES	chrápat#V????--??-??I??	chraptit#V??????????????	chraptivý#AA???----??---?
NO	cirkulovat#V????--??-??I??	pila#NNF??-----A---?	cirkulárka#NNF??-----A---?
NO	klub#NNI??-----A---?	křeslo#NNN??-----A---?	klubovka#NNF??-----A---?
YES	céva#NNF??-----A---?	cívka#NNF??-----A---?	cívkový#AA???----??---?
	daleký#A????----??---?	dál#Db-------------	vzdálit#V????--??-??P??
	daleký#A????----??---?	dál#NNF??-----A---?	dálka#NNF??-----A---?
YES	darmo#Db-------------	dareba#NNM??-----A---?	daremný#AA???----??---?
YES	den#NNI??-----A---?	dnít#V???---??-??I??	rozednít#V????--??-??P??
YES	denuncovat#V????--??-??B??	denunciovat#V????--??-??P??	denunciace#NNF??-----A---?
YES	deponovat#V????--??-??B??	depozit#NNI??-----A---?	depozitní#AA???----1?---?
	dialekt#NNI??-----A---?	dialektika#NNF??-----A---?	dialektický#AA???----??---?
	diference#NNF??-----A---?	diferenciovat#V????--??-??I??	diferenciace#NNF??-----A---?
	div#Db-------------	dít#V???---??-??I??	udivit#V????--??-??P??
YES	dlouhý#AA???----??---?	dlouhatý#AA???----??---?	dlouhatánský#AA???----??---?
NO	dobytek#NNM??-----A---?	bydlet#V????--??-??I??	dobytče#NNN??-----A---?
YES	důl#NNI??-----A---?	dolů#Db------------?	dolní#AA???----??---?
YES	důl#NNI??-----A---?	údolí#NNN??-----A---?	údolní#AA???----1?---?
	doutnat#V????--??-??I??	dout#V???---??-??I??	doutníkovitý#AA???----??---?
	drobit#V????--??-??I??	robit#V????--??-??I??	podrobný#AA???----??---?
	drát#NNI??-----A---?	houba#NNF??-----A---?	drátěnka#NNF??-----A---?
	duše#NNF??-----A---?	dýchat#V????--??-??I??	zádušní#AA???----1?---?
	dvůr#NNI??-----A---?	zdvořák#NNM??-----A---?	nezdvořák#NNM??-----A---?
	démon#NNM??-----A---?	démonie#NNF??-----A---?	démonizovat#V????--??-??I??
NO	déšť#NNI??-----A---?	voda#NNF??-----A---?	dešťovka#NNF??-----A---?
	dívat#V????--??-??I??	nadít#V????--??-??P??	vynadívat#V????--??-??P??
NO	dělo#NNN??-----A---?	střelit#V????--??-??P??	dělostřelba#NNF??-----A---?
	dříve#Dg-------?A---?	dřevo#NNN??-----A---?	dřevní#AA???----1?---?
	elektron#NNI??-----A---?	elektro#NNN??-----A----	elektronika#NNF??-----A---?
YES	epos#NNI??-----A---?	epický#AA???----??---?	epika#NNF??-----A---?
YES	exploze#NNF??-----A---?	explozivní#AA???----??---?	explozíva#NNF??-----A---?
YES	fatální#AA???----??---?	fatalizmus#NNI??-----A---?	fatalista#NNM??-----A---?
	feminismus#NNI??-----A---?	feminní#AA???----1?---?	feminizovat#V????--??-??B??
NO	film#NNI??-----A---?	práce#NNF??-----A---?	filmař#NNM??-----A---?
NO	flexe#NNF??-----A---?	působit#V????--??-??I??	přizpůsobivý#AA???----??---?
	fundamentální#AA???----??---?	fundamentalistický#AA???----??---?	fundamentalismus#NNI??-----A---?
	infúze#NNF??-----A---?	infuzní#AA???----??---?	infúzní#AA???----1?---?
	gnóma#NNN??-----A---?	gnóm#NNM??-----A---?	gnómický#AA???----??---?
	gól#NNI??-----A---?	golman#NNM??-----A---?	gólman#NNM??-----A---?
	hamounit#V????--??-??I??	ham#NNI??-----A---?	hamoun#NNM??-----A---?
NO	hlas#NNI??-----A---?	věž#NNF??-----A---?	hláska#NNF??-----A---?
	hlas#NNI??-----A---?	vyhlášet#V????--??-??I??	vyhláška#NNF??-----A---?
	hluk#NNI??-----A---?	shluknout#V????--??-??P??	shluk#NNI??-----A---?
	hlídat#V????--??-??I??	hledět#V????--??-??I??	ohlídat#V????--??-??P??
NO	hnida#NNF??-----A---?	píchat#V????--??-??I??	hnidopich#NNM??-----A---?
	hýbat#V????--??-??I??	výhyb#NNI??-----A---?	výhybka#NNF??-----A---?
NO	hnědý#AA???----??---?	kůň#NNM??-----A---?	hnědák#NNM??-----A---?
	hodit#V????--??-??I??	hádat#V????--??-??I??	rozhodnout#V????--??-??P??
	hodit#V????--??-??I??	dohodnout#V????--??-??P??	dohoda#NNF??-----A---?
NO	hod#NNI??-----A---?	hodovat#V????--??-??I??	hodovník#NNM??-----A---?
NO	hokej#NNI??-----A---?	hůl#NNF??-----A----	hokejka#NNF??-----A---?
	homilie#NNF??-----A---?	homiletika#NNF??-----A---?	homiletický#AA???----??---?
	hora#NNF??-----A---?	hůra#NNF??-----A---?	hůrka#NNF??-----A---?
YES	horší#AA???----??---?	horšit#V????--??-??I??	pohoršit#V????--??-??P??
	hovězí#AAXXX----1A---b	hovado#NNN??-----A---?	hovězina#NNF??-----A---?
	hořet#V???---??-??I??	horký#AA???----??---?	horoucí#AA???----1?---?
	hrubý#AA???----??---?	zhrubět#V????--??-??P??	zhrubělý#AA???----??---?
NO	huba#NNF??-----A---?	drát#NNI??-----A---?	hubička#NNF??-----A---?
	hudlařit#V????--??-??I??	hudlat#V????--??-??I??	hudlař#NNM??-----A---?
	hučet#V????--??-??I??	houkat#V????--??-??I??	hukot#NNI??-----A---?
	ideál#NNI??-----A---?	idealizmus#NNI??-----A---?	idealista#NNM??-----A---?
	inzerát#NNI??-----A---?	inzert#NNI??-----A---?	inzertní#AA???----1?---?
	iont#NNI??-----A---?	ion#NNI??-----A---?	ionizace#NNF??-----A---?
	jarý#AA???----??---?	rozjařit#V????--??-??P??	rozjařený#AA???----??---?
YES	jikra#NNF??-----A---?	jikernatý#AA???----??---?	jikrnatý#AA???----??---?
YES	jiný#AA???----??---?	jinde#Db-------------	odjinud#Db-------------
NO	jiný#AA???----??---?	kudy#Db-------------	jinudy#Db-------------
	jmout#V????--??-??B??	jet#V???---??-??I??	objetí#NNN??-----?---?
	jura#NNF??-----A---?	Jiří#NNM??-----A---?	jurský#AA???----??---?
NO	játra#NNN??-----A---?	paštika#NNF??-----A---?	játrovka#NNF??-----A---?
	kalich#NNI??-----A---?	kalíš#NNI??-----A---?	kalíšek#NNI??-----A---?
NO	kam#Db-----------??	pak#Db-------------	kampak#Db-------------
YES	kamera#NNF??-----A---?	kameraman#NNM??-----A---?	kameramanka#NNF??-----A---?
NO	kandidát#NNM??-----A---?	list#NNI??-----A---?	kandidátka#NNF??-----A---?
	kapitál#NNI??-----A---?	kapitála#NNF??-----A---?	kapitálový#AA???----??---?
	kapat#V????--??-??I??	kápnout#V????--??-??P??	ukápnout#V????--??-??P??
	karikatura#NNF??-----A---?	karikovat#V????--??-??I??	zkarikovat#V????--??-??P??
	kat#NNM??-----A---?	Katov#NNI??-----A---?	katovský#AA???----??---?
	kat#NNM??-----A---?	katit#V????--??-??I??	rozkatit#V????--??-??P??
YES	kiks#NNI??-----A---?	kiksat#V????--??-??I??	kiksnout#V????--??-??P??
	klas#NNI??-----A---?	klasa#NNF??-----A---?	klasový#AA???----??---?
	klesat#V????--??-??I??	podklesat#V????--??-??I??	podklesávat#V????--??-??I??
	klika#NNF??-----A---?	click#NNI??-----A---?	klikař#NNM??-----A---?
YES	klofat#V????--??-??I??	klofan#NNI??-----A---?	klofanec#NNI??-----A---?
	kláda#NNF??-----A---?	klást#V????--??-??I??	kladina#NNF??-----A---?
	kmen#NNI??-----A---?	kmín#NNI??-----A---?	kmínek#NNI??-----A---?
	koalice#NNF??-----A---?	koala#NNF??-----A---?	koalovat#V????--??-??B??
YES	kolaps#NNI??-----A---?	kolabovat#V????--??-??I??	zkolabovat#V????--??-??P??
	kolega#NNM??-----A----	collegium#NNN??-----A---?	kolegium#NNN??-----A---?
	kolo#NNN??-----A---?	kola#NNF??-----A---?	kolový#AA???----??---?
NO	kopat#V????--??-??I??	bota#NNF??-----A---?	kopačka#NNF??-----A---?
NO	kopírovat#V????--??-??I??	stroj#NNI??-----A---?	kopírka#NNF??-----A---?
NO	kopr#NNI??-----A---?	máčet#V????--??-??I??	koprovka#NNF??-----A---?
YES	koroze#NNF??-----A---?	korodovat#V????--??-??I??	zkorodovat#V????--??-??P??
	kovat#V????--??-??I??	kout#NNI??-----A---?	kujný#AA???----??---?
	kovat#V????--??-??I??	okuj#NNF??-----A---?	okuje#NNF??-----A---?
	kořen#NNI??-----A---?	kořit#V????--??-??I??	kořenářský#AA???----??---?
YES	kreace#NNF??-----A---?	kreativní#AA???----??---?	kreativita#NNF??-----A---?
NO	kriminál#NNI??-----A---?	policie#NNF??-----A---?	kriminálka#NNF??-----A---?
	krize#NNF??-----A---?	kritika#NNF??-----A---?	kritický#AA???----??---?
YES	kudla#NNF??-----A---?	kudlat#V????--??-??I??	okudlat#V????--??-??P??
	kupa#NNF??-----A---?	kopa#NNF??-----A---?	kupka#NNF??-----A---?
	kvičet#V????--??-??I??	kvik#NNI??-----A---?	kviknout#V????--??-??P??
	kýl#NNI??-----A---?	kýla#NNF??-----A---?	kýlový#AA???----??---?
	kůr#NNI??-----A---?	kora#NNF??-----A---?	kůrový#AA???----??---?
	ladit#V????--??-??I??	sladit#V????--??-??I??	soulad#NNI??-----A---?
	lak#NNI??-----A---?	lakýrna#NNF??-----A---?	lakýrnictví#NNN??-----A---?
NO	lano#NNN??-----A---?	dráha#NNF??-----A---?	lanovka#NNF??-----A---?
NO	ledvina#NNF??-----A---?	taška#NNF??-----A---?	ledvinka#NNF??-----A---?
	ležet#V????--??-??I??	rozlehnout#V????--??-??P??	rozlehlý#AA???----??---?
	lenoch#NNI??-----A---?	líný#AA???----??---?	lenoška#NNF??-----A---?
YES	lhát#V????--??-??I??	prolhat#V????--??-??P??	prolhaný#AA???----??---?
YES	lichý#AA???----??---?	lichoběžný#AA???----??---?	lichoběžník#NNI??-----A---?
	lid#NNIS?-----A----	lidnit#Vf--------A----	zalidnit#V????--??-??P??
	lid#NNIS?-----A----	lidštit#Vf--------A----	odlidštit#V????--??-??P??
NO	lokální#AA???----??---?	bok#NNI??-----A---?	lokálka#NNF??-----A---?
YES	lotr#NNM??-----A---?	zlotřit#V????--??-??P??	zlotřilý#AA???----??---?
	loupat#V????--??-??I??	loupit#V????--??-??I??	výlupek#NNM??-----A---?
	sloh#NNI??-----A---?	sloha#NNF??-----A---?	slohový#AA???----??---?
YES	luk#NNI??-----A---?	lukostřelba#NNF??-----A---?	lukostřelec#NNM??-----A---?
	léto#NNN??-----A---?	léta#NNNP?-----A---?	zletilý#AA???----??---?
NO	léto#NNN??-----A---?	růst#V???---??-??I??	letorost#NNI??-----A---?
	léto#NNN??-----A---?	letět#V????--??-??I??	letovisko#NNN??-----A---?
	líbat#V????--??-??I??	libý#AA???----??---?	polibek#NNI??-----A---?
	líčit#V????--??-??I??	léč#NNF??-----A---?	léčka#NNF??-----A---?
	líhnout#V????--??-??I??	lehký#AA???----??---?	vylíhnout#V????--??-??P??
	litovat#V????--??-??I??	brambor#NNI??-----A---?	lítostivý#AA???----??---?
NO	lýko#NNN??-----A---?	bylina#NNF??-----A---?	lýkožrout#NNM??-----A---?
NO	malina#NNF??-----A---?	limonáda#NNF??-----A---?	malinovka#NNF??-----A---?
	malomocný#AA???----??---?	malomoc#NNF??-----A---?	malomocenství#NNN??-----A---?
	man#NNM??-----A---?	manit#NNI??-----A---?	vymanit#V????--??-??P??
	maso#NNN??-----A---?	masa#NNF??-----A---?	masový#AA???----??---?
	matka#NNF??-----A---?	mateř#NNF??-----A---?	mateřština#NNF??-----A---?
	mdlý#AA???----??---?	mdlít#V????--??-??I??	zemdlévat#V????--??-??I??
YES	melodram#NNI??-----A---?	melodrama#NNN??-----A---?	melodramatický#AA???----??---?
YES	metyl#NNI??-----A---?	methylen#NNI??-----A---?	metylén#NNI??-----A---?
YES	metr#NNI??-----A---?	metrum#NNN??-----A---?	metrický#AA???----??---?
YES	milost#NNF??-----?---?	milostpán#NNM??-----A---?	milostpaní#NNF??-----A----
NO	minerál#NNI??-----A---?	déšť#NNI??-----A---?	minerálka#NNF??-----A---?
	mizera#NNF??-----A---?	mizerie#NNF??-----A---?	mizerný#AA???----??---?
	moc#Db-------------	moci#V???---??-??I??	mocnina#NNF??-----A---?
	moknout#V????--??-??I??	zmokat#V????--??-??I??	zmoknout#V????--??-??P??
	moment#NNI??-----A---?	fotografie#NNF??-----A---?	momentka#NNF??-----A---?
	morfém#NNI??-----A---?	morfematika#NNF??-----A---?	morfematický#AA???----??---?
YES	morální#AA???----??---?	moralizmus#NNI??-----A---?	moralista#NNM??-----A---?
	motat#V????--??-??I??	zámot#NNI??-----A---?	zámotek#NNI??-----A---?
NO	motor#NNI??-----A---?	vléct#Vf--------A----	motorák#NNI??-----A---?
	močit#V????--??-??I??	kopr#NNI??-----A---?	zmáčet#V????--??-??P??
YES	moře#NNN??-----A---?	přímoří#NNN??-----A---?	přímořský#AA???----??---?
YES	moře#NNN??-----A---?	podmoří#NNN??-----A---?	podmořský#AA???----??---?
YES	mrznout#V????--??-??I??	namrzat#V????--??-??I??	námraza#NNF??-----A---?
YES	mrznout#V????--??-??I??	omrznout#V????--??-??P??	omrzlina#NNF??-----A---?
NO	mrcha#NNF??-----A---?	lýko#NNN??-----A---?	mrchožrout#NNM??-----A---?
	mysl#NNF??-----A---?	myslit#V????--??-??I??	důmyslný#AA???----??---?
	mysl#NNF??-----A---?	smyslet#V??????????????	smýšlet#V????--??-??I??
	mysl#NNF??-----A---?	přemýšlet#V????--??-??I??	přemýšlivý#AA???----??---?
	mír#NNI??-----A---?	měřit#V????--??-??I??	mírový#AA???----??---?
	mířit#V????--??-??I??	mír#NNI??-----A---?	záměr#NNI??-----A---?
	směr#NNI??-----A---?	cedule#NNF??-----A---?	směrovka#NNF??-----A---?
	múza#NNF??-----A---?	muzika#NNF??-----A---?	múzický#AA???----??---?
	nafta#NNF??-----A---?	naftalen#NNI??-----A---?	naftalín#NNI??-----A---?
	nic#Db-------------	nicota#NNF??-----A---?	nicotný#A????----??---?
	nivelizovat#V????--??-??B??	nivelovat#V????--??-??I??	nivelizace#NNF??-----A---?
	noc#NNF??-----A---?	líhnout#V????--??-??I??	nocleh#NNI??-----A---?
	nudit#V????--??-??I??	znuzit#V????--??-??P??	znuděný#AA???----??---?
	numero#NNN??-----A---?	numerika#NNF??-----A---?	numerický#AA???----??---?
NO	občan#NNM??-----A---?	kázat#V????--??-??I??	občanka#NNF??-----A---?
NO	obraz#NNI??-----A---?	razit#V????--??-??I??	obrazný#AA???----??---?
	odemknout#V????--??-??P??	mykat#V????--??-??I??	odemykat#V????--??-??I??
	odvaha#NNF??-----A---?	váha#NNF??-----A---?	odvážit#V????--??-??P??
NO & RECONNECT DERIVATION FROM PARENT TO GRANDPARENT	vojna#NNF??-----A---?	Vojen#NNM??-----A---?	vojenský#AA???----??---?
	oplatka#NNF??-----A---?	platit#V????--??-??I??	oplatek#NNI??-----A---?
	orgán#NNI??-----A---?	organik#NNM??-----A---?	organismus#NNI??-----A---?
YES	orodovat#V????--??-??I??	orodovník#NNM??-----A---?	orodovnice#NNF??-----A---?
YES	osoba#NNF??-----A---?	osobit#V????--??-??I??	osobovat#V????--??-??I??
	palice#NNF??-----A---?	pálit#V????--??-??I??	paličkovat#V????--??-??I??
	pán#NNM??-----?---?	panika#NNF??-----A---?	panictví#NNN??-----A---?
NO	panel#NNI??-----A---?	dům#NNI??-----A---?	panelák#NNI??-----A---?
	park#NNI??-----A---?	parka#NNF??-----A---?	parkový#AA???----??---?
	pastorek#NNM??-----A---?	pastorovat#V????--??-??I??	pastorkyně#NNF??-----A---?
	pat#NNI??-----A---?	pata#NNF??-----A---?	patový#AA???----??---?
	patron#NNM??-----A---?	patrona#NNF??-----A---?	patronka#NNF??-----A---?
NO	pauzovat#V????--??-??I??	papír#NNI??-----A---?	pauzák#NNI??-----A---?
	perfektum#NNN??-----A---?	perfektivum#NNN??-----A---?	perfektivní#AA???----1?---?
NO	petrolej#NNF??-----A---?	lampa#NNF??-----A---?	petrolejka#NNF??-----A---?
	péče#NNF??-----A---?	bezpečí#NNN??-----A---?	nebezpečí#NNN??-----A---?
	pilot#NNI??-----A---?	pilota#NNF??-----A---?	pilotní#AA???----1?---?
	pláchnout#V????--??-??P??	opláchnout#V????--??-??P??	oplachovat#V????--??-??I??
	pláchnout#V????--??-??P??	máchnout#V????--??-??P??	máchat#V????--??-??I??
NO	plavý#AA???----??---?	vlas#NNI??-----A---?	plavovlasý#AA???----??---?
	plesat#V????--??-??I??	pleso#NNN??-----A---?	plesový#AA???----??---?
	plevel#NNI??-----A---?	plevelit#V????--??-??I??	zaplevelený#AA???----??---?
	plihnout#V????--??-??I??	zplíhat#V????--??-??I??	zplihlý#AA???----??---?
YES	polyetylen#NNI??-----A---?	polyethylen#NNI??-----A---?	polyetylenový#AA???----??---?
	porfyr#NNI??-----A---?	porfyrie#NNF??-----A---?	porfyrický#AA???----??---?
	potvora#NNF??-----A---?	tvořit#V????--??-??I??	zpotvořit#V????--??-??P??
	pozřít#V????--??-??P??	mršit#V????--??-??I??	požírat#V????--??-??I??
NO	pošta#NNF??-----A---?	ruka#NNF??-----A---?	pošťák#NNM??-----A---?
	pršet#V????--??-??I??	prchat#V????--??-??I??	sprchovat#V????--??-??I??
NO	pravý#AA???----??---?	hřib#NNI??-----A---?	pravák#NNM??-----A---?
NO	praktický#AA???----??---?	praktikovat#V????--??-??I??	praktika#NNF??-----A---?
YES	prahnout#V????--??-??I??	vyprahat#V????--??-??I??	vyprahlý#AA???----??---?
YES	reprezentovat#V????--??-??B??	reprezentance#NNF??-----A---?	reprezentativní#AA???----??---?
NO	průba#NNF??-----A---?	prubnout#V????--??-??P??	prubovat#V????--??-??I??
YES	profylaxe#NNF??-----A---?	profylaktikum#NNN??-----A---?	profylaktický#AA???----??---?
YES	projekt#NNI??-----A---?	projekce#NNF??-----A---?	projektor#NNI??-----A---?
NO	prominent#NNM??-----A---?	prominence#NNF??-----A---?	prominentní#AA???----??---?
NO	promoce#NNF??-----A---?	mnout#V????--??-??I??	promovat#V????--??-??I??
NO	promítat#V????--??-??I??	kopie#NNF??-----A---?	promítačka#NNF??-----A---?
YES	prostý#A????----??---?	prostný#AA???----??---?	prostná#NNNP?-----A----
NO	proud#NNI??-----A---?	proudit#V????--??-??I??	proudění#NNN??-----?---?
NO	provincie#NNF??-----A---?	maloměsto#NNN??-----A---?	maloměstský#AA???----??---?
YES	provizorní#AA???----??---?	provisorium#NNN??-----A---?	provizorium#NNN??-----A---?
YES	prám#NNI??-----A---?	pramice#NNF??-----A---?	pramička#NNF??-----A---?
YES	publikovat#V????--??-??B??	publicistika#NNF??-----A---?	publicista#NNM??-----A---?
YES	pumpa#NNF??-----A---?	pumpnout#V????--??-??P??	rozpumpovat#V????--??-??P??
YES	pupen#NNI??-----A---?	poupě#NNN??-----A---?	poupátko#NNN??-----A---?
NO	putička#NNF??-----A---?	puta#NNF??-----A---?	puťka#NNF??-----A----
NO	pár#NNI??-----A---?	spára#NNF??-----A---?	spárovat#V????--??-??I??
NO & RECONNECT DERIVATION FROM PARENT TO GRANDPARENT	pára#NNF??-----A---?	pár#NNI??-----A---?	parný#AA???----??---?
NO & RECONNECT DERIVATION FROM PARENT TO GRANDPARENT	pás#NNI??-----A---?	pást#V????--??-??I??	opásat#V????--??-??P??
	pít#V????--??-??I??	pojit#V????--??-??I??	nápojový#AA???----??---?
NO	pivo#NNN??-----A---?	var#NNI??-----A---?	pivovar#NNI??-----A---?
YES	píď#NNF??-----A---?	pidimuž#NNM??-----A---?	pidimužík#NNM??-----A---?
	pól#NNI??-----A---?	polára#NNF??-----A---?	polarita#NNF??-----A---?
	pólo#NNN??-----A---?	pól#NNI??-----A---?	pólista#NNM??-----A---?
YES	pět#V????--??-??I??	zpívat#V????--??-??I??	zpěv#NNI??-----A---?
	přát#V????--??-??I??	jít#V???---??-??I??	přející#AG???-----?---?
	příst#V????--??-??I??	přást#NNI??-----A---?	zapřádat#V????--??-??I??
	přít#V????--??-??I??	spor#NNI??-----A---?	sporný#A????----??---?
	přít#V????--??-??I??	podpořit#V????--??-??P??	podpora#NNF??-----A---?
	rafije#NNF??-----A---?	rafika#NNF??-----A---?	rafička#NNF??-----A---?
NO	raketa#NNF??-----A---?	mést#V????--??-??I??	raketomet#NNI??-----A---?
NO	raketa#NNF??-----A---?	plán#NNI??-----A---?	raketoplán#NNI??-----A---?
	rarach#NNM??-----A---?	raráš#NNM??-----A---?	rarášek#NNM??-----A---?
YES	recidiva#NNF??-----A---?	recidivizmus#NNI??-----A---?	recidivista#NNM??-----A---?
	reflex#NNI??-----A---?	reflexe#NNF??-----A---?	reflexivní#AA???----??---?
	reforma#NNF??-----A---?	forma#NNF??-----A---?	reformační#AA???----1?---?
	region#NNI??-----A---?	regionál#NNI??-----A---?	regionální#AA???----1?---?
	renomé#NNNXX-----A----	renomovat#V????--??-??B??	renomovaný#AA???----??---?
YES	revma#NNN??-----A---?	revmatizmus#NNI??-----A---?	revmatismus#NNI??-----A---?
	rezerva#NNF??-----A---?	rezervovat#V????--??-??B??	rezervace#NNF??-----A---?
YES	rezonovat#V????--??-??I??	rezonance#NNF??-----A---?	rezonanční#AA???----1?---?
	robot#NNI??-----A---?	drobit#V????--??-??I??	robotizace#NNF??-----A---?
	rod#NNI??-----A---?	zárod#NNI??-----A---?	zárodek#NNI??-----A---?
	ronit#V????--??-??I??	řinout#V????--??-??I??	výron#NNI??-----A---?
	roubit#V????--??-??I??	rub#NNI??-----A---?	zárubeň#NNF??-----A---?
	roští#NNN??-----A---?	rošťák#NNM??-----A---?	rošťárna#NNF??-----A---?
	rudý#AA???----??---?	zarudat#V????--??-??I??	zarudnout#V????--??-??P??
	rudý#AA???----??---?	vyrudat#V????--??-??I??	vyrudnout#V????--??-??P??
NO	rusý#AA???----??---?	dívka#NNF??-----A---?	rusovláska#NNF??-----A---?
	rušit#V????--??-??I??	porouchat#V????--??-??P??	porucha#NNF??-----A---?
	rád#AC???-----?----	rozradostnět#V????--??-??P??	rozradostněný#AA???----??---?
	rána#NNF??-----A---?	hojit#V????--??-??I??	ranhojič#NNM??-----A---?
	ráno#Db-------------	raný#AA???----??---?	ranní#AA???----1?---?
	sad#NNI??-----A---?	sada#NNF??-----A---?	sadový#AA???----??---?
	sahat#V????--??-??I??	zasahat#V????--??-??I??	zásah#NNI??-----A---?
YES	satan#NNM??-----A---?	satanizmus#NNI??-----A---?	satanismus#NNI??-----A---?
YES	scéna#NNF??-----A---?	scénáristika#NNF??-----A---?	scenáristický#AA???----??---?
NO	sedět#V????--??-??I??	souprava#NNF??-----A---?	sedačka#NNF??-----A---?
	selekce#NNF??-----A---?	selektiva#NNF??-----A---?	selektivní#AA???----??---?
YES	separovat#V????--??-??B??	separatizmus#NNI??-----A---?	separatismus#NNI??-----A---?
	sepse#NNF??-----A---?	septik#NNI??-----A---?	septický#AA???----??---?
	sex#NNI??-----A---?	sexus#NNI??-----A---?	sexualita#NNF??-----A---?
NO	silon#NNI??-----A---?	noha#NNF??-----A---?	silonka#NNF??-----A---?
YES	skica#NNF??-----A---?	skicnout#V????--??-??P??	skicovat#V????--??-??I??
