# Derivations direct, srov
# derivations that will be added to DeriNet based on Etym dict 'derivation' list

derivation	parent
evangelík#NNM??-----A---?	evangelium#NNN??-----A---?
excelovat#V????--??-??I??	excelentní#AA???----??---?
explodovat#V????--??-??B??	exploze#NNF??-----A---?
farmaceutický#AA???----??---?	farmacie#NNF??-----A---?
filumenista#NNM??-----A---?	filumenie#NNFP?-----A---?
finišman#NNM??-----A---?	finiš#NNI??-----A---?
fláma#NNM??-----A---?	flámovat#V????--??-??I??
forčekovat#V????--??-??I??	forčeking#NNI??-----A---?
fotografovat#V????--??-??I??	fotografie#NNF??-----A---?
frekventovaný#AA???----??---?	frekvence#NNF??-----A---?
gubernie#NNF??-----A---?	gubernátor#NNM??-----A---?
guturála#NNF??-----A---?	guturální#AA???----1?---?
pohana#NNF??-----A---?	hanět#V????--??-??I??
hec#NNI??-----A---?	hecovat#V????--??-??I??
hlavička#NNF??-----A---?	hlava#NNF??-----?---?
zahltit#V????--??-??P??	hltat#V????--??-??I??
pohltit#V????--??-??P??	hltat#V????--??-??I??
podhmat#NNI??-----A---?	hmatat#V????--??-??I??
dohodnout#V????--??-??P??	hodit#V????--??-??I??
homiletika#NNF??-----A---?	homilie#NNF??-----A---?
hopsat#V????--??-??I??	hop#NNI??-----A---?
hůře#Dg-------?A---?	horší#AA???----??---?
poshovět#V????--??-??P??	hovět#V????--??-??I??
hrdlořez#NNM??-----A---?	hrdlo#NNN??-----A---?
zhrubět#V????--??-??P??	hrubý#AA???----??---?
huhňat#V???---??-??I??	huhlat#V????--??-??I??
hypnotický#AA???----??---?	hypnóza#NNF??-----A---?
hypnotikum#NNN??-----A---?	hypnóza#NNF??-----A---?
hypotetický#AA???----??---?	hypotéza#NNF??-----A---?
imperátor#NNM??-----A---?	impérium#NNN??-----A---?
imperiální#AA???----??---?	impérium#NNN??-----A---?
infikovat#V????--??-??B??	infekce#NNF??-----A---?
institut#NNI??-----A---?	instituce#NNF??-----A---?
intendance#NNF??-----A---?	intendant#NNM??-----A---?
intenzivní#AA???----??---?	intenzita#NNF??-----A---?
interesantní#AA???----??---?	interes#NNI??-----A---?
inverzní#AA???----1?---?	inverze#NNF??-----A---?
jazzman#NNM??-----A---?	jazz#NNI??-----A---?
výjev#NNI??-----A---?	jevit#V????--??-??I??
najevo#Db-------------	jevit#V????--??-??I??
jihnout#V????--??-??I??	jih#NNI??-----A---?
jikernatý#AA???----??---?	jikra#NNF??-----A---?
jikernáč#NNM??-----A---?	jikra#NNF??-----A---?
jinam#Db-------------	jiný#AA???----??---?
sněmovat#V????--??-??I??	sněm#NNI??-----A---?
jubilovat#V????--??-??I??	jubileum#NNN??-----A---?
judikatura#NNF??-----A---?	judikát#NNI??-----A---?
jinovatka#NNF??-----A---?	jíní#NNN??-----A---?
jogistický#AA???----??---?	jóga#NNF??-----A---?
kandidovat#V????--??-??I??	kandidát#NNM??-----A---?
kanonýr#NNM??-----A---?	kanon#NNI??-----A---?
karikovat#V????--??-??I??	karikatura#NNF??-----A---?
katalyzační#AA???----??---?	katalýza#NNF??-----A---?
katecheze#NNF??-----A---?	katechismus#NNI??-----A---?
katecheta#NNM??-----A---?	katechismus#NNI??-----A---?
zákeřný#AA???----??---?	keř#NNI??-----A---?
přikleknout#V????--??-??P??	klečet#V????--??-??I??
kleštičky#NNFP?-----A---?	kleště#NNFP?-----A---?
předkmih#NNI??-----A---?	kmihat#V????--??-??I??
kmih#NNI??-----A---?	kmihat#V????--??-??I??
zákmih#NNI??-----A---?	kmihat#V????--??-??I??
knoflíkovitý#AA???----??---?	knoflík#NNI??-----A---?
koheze#NNF??-----A---?	koherence#NNF??-----A---?
kohoutit#V????--??-??I??	kohout#NNI??-----A---?
koketerie#NNF??-----A---?	koketa#NNF??-----A---?
kolportáž#NNF??-----A---?	kolportovat#V????--??-??I??
kombajnista#NNM??-----A---?	kombajn#NNI??-----A---?
dokonce#Db-------------	konec#NNI??-----A---?
konferovat#V????--??-??I??	konference#NNF??-----A---?
konstanta#NNF??-----A---?	konstantní#AA???----??---?
konstituovat#V????--??-??B??	konstituce#NNF??-----A---?
konvertor#NNI??-----A---?	konvertovat#V????--??-??I??
kopytnatý#AA???----??---?	kopyto#NNN??-----A---?
kosmopolita#NNM??-----A---?	kosmopolitismus#NNI??-----A---?
překot#NNI??-----A---?	překotný#AA???----??---?
koudelník#NNM??-----A---?	koudel#NNF??-----A---?
kukátko#NNN??-----A---?	koukat#V????--??-??I??
kov#NNI??-----A---?	kovat#V????--??-??I??
kreativní#AA???----??---?	kreace#NNF??-----A---?
zakrvavit#V????--??-??P??	krev#NNF??-----A---?
kuchtit#V????--??-??I??	kuchyň#NNF??-----A---?
kuchař#NNM??-----A---?	kuchyň#NNF??-----A---?
kuchyňský#AA???----??---?	kuchyň#NNF??-----A---?
kuchyňka#NNF??-----A---?	kuchyň#NNF??-----A---?
kudlat#V????--??-??I??	kudla#NNF??-----A---?
kulturistika#NNF??-----A---?	kultura#NNF??-----A---?
kurzor#NNI??-----A---?	kurs#NNI??-----A---?
kvestura#NNF??-----A---?	kvestor#NNM??-----A---?
kvadratura#NNF??-----A---?	kvadrát#NNI??-----A---?
károvaný#AA???----??---?	káro#NNN??-----A---?
kávovina#NNF??-----A---?	káva#NNF??-----A---?
kafírna#NNF??-----A---?	kafe#NNN??-----A---?
kšeftsman#NNM??-----A---?	kšeft#NNI??-----A---?
lávka#NNF??-----A---?	lavice#NNF??-----A---?
zalehnout#V????--??-??P??	ležet#V????--??-??I??
přilehnout#V????--??-??P??	ležet#V????--??-??I??
slehnout#V????--??-??P??	ležet#V????--??-??I??
letmý#AA???----??---?	letět#V????--??-??I??
lichokopytník#NNM??-----A---?	lichý#AA???----??---?
lidé#NNMP?-----A---?	lid#NNIS?-----A----
lidičky#NNMP?-----A---?	lid#NNIS?-----A----
ligista#NNM??-----A---?	liga#NNF??-----A---?
limita#NNF??-----A---?	limit#NNI??-----A---?
lineární#AA???----??---?	linie#NNF??-----A---?
lotynka#NNF??-----A---?	loto#NNN??-----A---?
louhovitý#AA???----??---?	louh#NNI??-----A---?
lučinatý#AA???----??---?	louka#NNF??-----A---?
slupnout#V????--??-??P??	lupat#V????--??-??I??
letopis#NNI??-----A---?	léto#NNN??-----A---?
lískovka#NNF??-----A---?	líska#NNF??-----A---?
máti#NNF??-----A---?	matka#NNF??-----A---?
maximalistický#AA???----??---?	maximum#NNN??-----A---?
přimáčknout#V????--??-??P??	mačkat#V????--??-??I??
medovinový#AA???----??---?	med#NNI??-----A---?
medailon#NNI??-----A---?	medaile#NNF??-----A---?
meritorní#AA???----??---?	meritum#NNN??-----A---?
vymezit#V????--??-??P??	mez#NNF??-----A---?
zamezit#V????--??-??P??	mez#NNF??-----A---?
mezkovitý#AA???----??---?	mezek#NNM??-----A---?
mečoun#NNM??-----A---?	meč#NNI??-----A---?
mikrobiální#AA???----??---?	mikrob#NNI??-----A---?
milostpán#NNM??-----A---?	milost#NNF??-----?---?
minomet#NNI??-----A---?	mina#NNF??-----A---?
mlecí#AA???----1?---?	mlít#V????--??-??I??
nadmořský#AA???----??---?	moře#NNN??-----A---?
mrzký#AA???----??---?	mrzet#V????--??-??I??
vymrznout#V????--??-??P??	mrznout#V????--??-??I??
omrznout#V????--??-??P??	mrznout#V????--??-??I??
přimrznout#V????--??-??P??	mrznout#V????--??-??I??
muskulatura#NNF??-----A---?	muskulární#AA???----1?---?
pomyslet#V??????????????	mysl#NNF??-----A---?
vymyslet#V??????????????	mysl#NNF??-----A---?
odmyslet#V??????????????	mysl#NNF??-----A---?
přemýšlet#V????--??-??I??	mysl#NNF??-----A---?
promyslet#V??????????????	mysl#NNF??-----A---?
náměstek#NNM??-----A---?	místo#Db-------------
neolitický#AA???----??---?	neolit#NNI??-----A---?
nanic#Db-------------	nic#Db-------------
nanicovatý#AA???----??---?	nic#Db-------------
nitrožilní#AA???----1?---?	nitro#NNN??-----A---?
nitrolebeční#AA???----1?---?	nitro#NNN??-----A---?
unylý#AA???----??---?	nýt#NNI??-----A---?
odpočatý#AA???----??---?	odpočinout#V????--??-??P??
okluzní#AA???----??---?	okluze#NNF??-----A---?
op#NNM??-----A---?	opice#NNF??-----A---?
orlice#NNF??-----A---?	orel#NNM??-----A---?
paleolitický#AA???----??---?	paleolit#NNI??-----A---?
patentka#NNF??-----A---?	patent#NNI??-----A---?
patetický#AA???----??---?	patos#NNI??-----A---?
nedopatření#NNN??-----A---?	patřit#V????--??-??I??
pendlovky#NNFP?-----A---?	pendlovat#V????--??-??I??
psovský#AA???----??---?	pes#NNM??-----A---?
pindík#NNI??-----A---?	pinďour#NNM??-----A---?
rozplavba#NNF??-----A---?	plavat#V????--??-??I??
plemenit#V????--??-??I??	plemeno#NNN??-----A---?
plovoucí#AA???----1?---?	plovat#V????--??-??I??
pletací#AA???----1?---?	plést#V????--??-??I??
pozdější#AA???----1?---?	pozdě#Dg-------?A---?
svéprávný#AA???----??---?	právo#NNN??-----A---?
prezidium#NNN??-----A---?	prezident#NNM??-----?---?
prubnout#V????--??-??P??	průba#NNF??-----A---?
prosektor#NNM??-----A---?	prosektura#NNF??-----A---?
prozodický#AA???----??---?	prozódie#NNF??-----A---?
prosperita#NNF??-----A---?	prosperovat#V????--??-??I??
prostoduchý#AA???----??---?	prostý#A????----??---?
vyprostit#V????--??-??P??	prostý#A????----??---?
prostovlasý#AA???----??---?	prostý#A????----??---?
prostořeký#AA???----1?---?	prostý#A????----??---?
pubescent#NNM??-----A---?	puberta#NNF??-----A---?
napuchnout#V????--??-??P??	puchnout#V????--??-??I??
puc#NNI??-----A---?	pucovat#V????--??-??I??
pudřenka#NNF??-----A---?	pudr#NNI??-----A---?
puncovat#V????--??-??I??	punc#NNI??-----A---?
pec#NNF??-----A---?	péci#V????--??-??I??
duchapřítomný#AA???----??---?	přítomný#A????----??---?
přímočarý#AA???----??---?	přímý#AA???----??---?
přísnět#V????--??-??I??	přísný#AA???----??---?
spor#NNI??-----A---?	přít#V????--??-??I??
půdorys#NNI??-----A---?	půda#NNF??-----A---?
registratura#NNF??-----A---?	registrovat#V????--??-??B??
rekordman#NNM??-----A---?	rekord#NNI??-----A---?
religionistika#NNF??-----A---?	religiózní#AA???----??---?
rezervovat#V????--??-??B??	rezerva#NNF??-----A---?
rezonance#NNF??-----A---?	rezonovat#V????--??-??I??
rezultovat#V????--??-??I??	rezultát#NNI??-----A---?
nároží#NNN??-----A---?	roh#NNI??-----A---?
romanopisec#NNM??-----A---?	román#NNI??-----A---?
ropovod#NNI??-----A---?	ropa#NNF??-----A---?
rotmistr#NNM??-----A---?	rota#NNF??-----A---?
vzruch#NNI??-----A---?	rušit#V????--??-??I??
rychtovat#V????--??-??I??	rychtář#NNM??-----A---?
růžovka#NNF??-----A---?	růže#NNF??-----A---?
sardinka#NNF??-----A---?	sardel#NNF??-----A---?
sarkastický#AA???----??---?	sarkasmus#NNI??-----A---?
satanáš#NNM??-----A---?	satan#NNM??-----A---?
seizmický#AA???----??---?	seizmograf#NNI??-----A---?
seizmologie#NNF??-----A---?	seizmograf#NNI??-----A---?
separátní#AA???----1?---?	separovat#V????--??-??B??
simplifikovat#V????--??-??B??	simplifikace#NNF??-----A---?
sklovatět#V????--??-??I??	sklo#NNN??-----A---?
skokanka#NNF??-----A---?	skočit#V????--??-??P??
skrečovat#V????--??-??B??	skreč#NNF??-----A---?
skvoucí#AA???----1?---?	skvít#Vf--------A----
naskytnout#V????--??-??P??	skýtat#V????--??-??I??
následný#AA???----??---?	sledovat#V????--??-??I??
násloví#NNN??-----A---?	slovo#NNN??-----A---?
zesměšnit#V????--??-??P??	smích#NNI??-----A---?
sofista#NNM??-----A---?	sofistika#NNF??-----A---?
předsudek#NNI??-----A---?	soud#NNI??-----A---?
specifikovat#V????--??-??B??	specifický#AA???----??---?
zesrat#V????--??-??P??	srát#V????--??-??I??
postižený#AA???----??---?	stihnout#V????--??-??P??
ustoupit#V????--??-??P??	stoupat#V????--??-??I??
přestoupit#V????--??-??P??	stoupat#V????--??-??I??
předstoupit#V????--??-??P??	stoupat#V????--??-??I??
stoj#NNI??-----A---?	stát#NNI??-----?---?
odstín#NNI??-----A---?	stín#NNI??-----A---?
střídnice#NNF??-----A---?	střídat#V????--??-??I??
střižený#AA???----??---?	střihat#V????--??-??I??
sulcovatět#V????--??-??I??	sulc#NNI??-----A---?
suspenze#NNF??-----A---?	suspendovat#V????--??-??P??
zasvědit#V???---??-??P??	svědit#V????--??-??I??
zesvětštit#V????--??-??P??	svět#NNI??-----A---?
syntagmatický#AA???----??---?	syntagma#NNF??-----A---?
syntetický#AA???----??---?	syntéza#NNF??-----A---?
síran#NNI??-----A---?	síra#NNF??-----A---?
osivo#NNN??-----A---?	sít#V????--??-??I??
secí#AA???----1?---?	sít#V????--??-??I??
tabulátor#NNI??-----A---?	tabule#NNF??-----A---?
tažení#NNN??-----?---?	táhnout#V????--??-??I??
tažený#AA???----??---?	táhnout#V????--??-??I??
teletina#NNF??-----A---?	tele#NNN??-----A---?
extenzita#NNF??-----A---?	extenzivní#AA???----??---?
teorém#NNI??-----A---?	teorie#NNF??-----A---?
tep#NNI??-----A---?	tepat#V????--??-??I??
útes#NNI??-----A---?	tesat#V????--??-??I??
utichnout#V????--??-??P??	tichý#A????----??---?
tištěný#AA???----??---?	tisknout#V????--??-??I??
protkat#V????--??-??P??	tkát#V????--??-??I??
vztlak#NNI??-----A---?	tlačit#V????--??-??I??
toxikoman#NNM??-----A---?	toxikomanie#NNF??-----A---?
trempink#NNI??-----A---?	tramp#NNM??-----A---?
trh#NNI??-----A---?	trhat#V????--??-??I??
strnisko#NNN??-----A---?	strniště#NNN??-----A---?
trenýrky#NNFP?-----A---?	trénovat#V????--??-??I??
odtučnit#V????--??-??P??	tuk#NNI??-----A---?
tuplem#Db-------------	tuplovaný#AA???----??---?
tuplák#NNI??-----A---?	tuplovaný#AA???----??---?
tygřice#NNF??-----A---?	tygr#NNM??-----A---?
tyčinka#NNF??-----A---?	tyč#NNF??-----A---?
turista#NNM??-----A---?	túra#NNF??-----A---?
tyranie#NNF??-----A---?	tyran#NNM??-----A---?
třecí#AA???----1?---?	třít#V????--??-??I??
poctít#V????--??-??P??	čest#NNF??-----?----
samouk#NNM??-----A---?	učit#V????--??-??I??
veličenstvo#NNN??-----A---?	velký#AA???----??---?
vinš#NNI??-----A---?	vinšovat#V????--??-??I??
převis#NNI??-----A---?	viset#V???---??-??I??
visací#AA???----1?---?	viset#V???---??-??I??
vis#NNI??-----A---?	viset#V???---??-??I??
vnučka#NNF??-----A---?	vnuk#NNM??-----A---?
voltáž#NNF??-----A---?	volt#NNI??-----A---?
opovržení#NNN??-----?---?	opovrhovat#V????--??-??I??
kolovrátkář#NNM??-----A---?	kolovrat#NNI??-----A---?
vraštit#V????--??-??I??	vráska#NNF??-----A---?
vyvýšit#V????--??-??P??	vysoký#AA???----??---?
vázička#NNF??-----A---?	váza#NNF??-----A---?
rozvoj#NNI??-----A---?	vít#V????--??-??I??
zavřít#V????--??-??P??	vřít#V????--??-??I??
znamenitý#AA???----??---?	znamení#NNN??-----A---?
seznam#NNI??-----A---?	znát#V???---??-??I??
zoo#NNXXX-----A----	zoologie#NNF??-----A---?
zvoneček#NNI??-----A---?	zvon#NNI??-----A---?
častokrát#Db------------?	častý#AA???----??---?
výčep#NNI??-----A---?	čep#NNI??-----A---?
červavět#V????--??-??I??	červ#NNM??-----A---?
účes#NNI??-----A---?	česat#V????--??-??I??
čoud#NNI??-----A---?	čoudit#V????--??-??I??
čtveračit#V????--??-??I??	čtverák#NNM??-----A---?
čutaná#NNF??-----A---?	čutat#V????--??-??I??
čápovitý#AA???----??---?	čáp#NNM??-----A---?
nesčíslný#AA???----1A---?	číslo#NNN??-----A---?
čůrek#NNI??-----A---?	čurat#V????--??-??I??
řepíček#NNI??-----A---?	řepík#NNI??-----A---?
výrok#NNI??-----A---?	říci#V????--??-??P??
uřknout#V????--??-??P??	říci#V????--??-??P??
šaltpáka#NNF??-----A---?	šaltovat#V????--??-??I??
šišatět#V????--??-??I??	šiška#NNF??-----A---?
ošklíbat#V????--??-??I??	šklebit#V????--??-??I??
škraloupovitý#AA???----??---?	škraloup#NNI??-----A---?
šnekovitý#AA???----??---?	šnek#NNI??-----A---?
šrotovat#V????--??-??I??	šrot#NNI??-----A---?
zášvih#NNI??-----A---?	švihat#V????--??-??I??
švih#NNI??-----A---?	švihat#V????--??-??I??
žnečka#NNF??-----A---?	žnout#V????--??-??I??
útvar#NNI??-----A---?	žužlat#V????--??-??I??
žádoucí#AA???----1?---?	žádat#V????--??-??I??
živel#NNI??-----A---?	živý#A????----??---?
