černorudý 	 čern-o-rud-ý 	 černo-rud-ý
nechalo 	 nech-a-l-o 	 ne-ch-a-l-o
spěnka 	 spěnk-a 	 spěn-k-a
meziválečný 	 mezi-vál-eč-n-ý 	 mezi-váleč-n-ý
ondulovat 	 ond-ul-ova-t 	 on-dul-ova-t
kubík 	 kub-ík 	 kubík
zubrovka 	 zubr-ov-k-a 	 zubr-ovk-a
adaptabilní 	 adapt-abil-n-í 	 ad-apt-a-bil-n-í
těmito 	 t-ěmi-to 	 těm-it-o
zaneprázdnit 	 za-ne-prázd-n-i-t 	 za-ne-prázdn-i-t
pivotéka 	 piv-o-ték-a 	 pivo-ték-a
chlácholivě 	 chláchol-iv-ě 	 chláchol-i-v-ě
rozestřela 	 roze-stře-l-a 	 roze-střel-a
slibující 	 s-lib-uj-íc-í 	 slib-uj-íc-í
bilaterální 	 bi-later-ál-n-í 	 bil-ater-ál-n-í
tabelovat 	 tabel-ova-t 	 tab-el-ova-t
počáteční 	 po-čá-t-eč-n-í 	 po-č-á-t-eč-n-í
jihokorejcům 	 jih-o-korej-c-ům 	 jih-o-korejc-ům
účtárnách 	 ú-čt-ár-n-ách 	 ú-čtár-n-ách
scratchovat 	 scratch-ova-t 	 scr-atch-ova-t
zdvojit 	 z-dv-oj-i-t 	 z-dvoj-i-t
mládenečky 	 mlád-eneč-k-y 	 mlád-en-ečk-y
mučivější 	 muč-i-v-ěj-š-í 	 muč-iv-ějš-í
čtyřstupňovou 	 čtyř-stupň-ov-ou 	 čtyř-stup-ň-ov-ou
eliminovat 	 e-limin-ova-t 	 elimin-ova-t
okorávat 	 o-kor-á-v-a-t 	 okor-á-v-a-t
zraj 	 zra-j 	 zraj
plamenech 	 pla-men-ech 	 plamen-ech
radioburza 	 radi-o-burz-a 	 radio-burz-a
revoluce 	 revoluc-e 	 revol-uc-e
nebo 	 nebo 	 neb-o
chelsea 	 chelsea 	 chelse-a
konkrétních 	 konkrét-n-ích 	 kon-krét-n-ích
slib 	 s-lib 	 slib
talský 	 talsk-ý 	 tal-sk-ý
zranění 	 z-ran-ěn-í 	 z-ran-ě-n-í
nosticová 	 nostic-ov-á 	 nost-ic-ov-á
arsenal 	 arsenal 	 arsena-l
žlutohnědý 	 žlut-o-hněd-ý 	 žluto-hněd-ý
setřeny 	 se-tř-e-n-y 	 se-tř-en-y
dvouročka 	 dv-ou-roč-k-a 	 dv-ou-ročka
falocentrický 	 fal-o-centr-ick-ý 	 falo-centr-ic-k-ý
zřetelnosti 	 zř-e-teln-ost-i 	 zř-eteln-ost-i
lazio 	 lazio 	 lazi-o
nedávné 	 ne-dávn-é 	 ne-dá-vn-é
alogično 	 a-log-ič-n-o 	 alog-ič-n-o
otčenáš 	 otč-e-n-á-š 	 o-tčen-á-š
halasovskost 	 halas-ovsk-ost 	 halas-ov-sk-ost
sabotáže 	 sabot-áž-e 	 sabotáž-e
redoxní 	 redox-n-í 	 re-dox-n-í
cimrman 	 cimr-man 	 cimrman
šňupl 	 šňup-l 	 šňupl
boršč 	 boršč 	 bor-šč
ranhojič 	 ran-hoj-i-č 	 ranhoj-i-č
hobby 	 hobby 	 hobb-y
králík 	 králík 	 král-ík
uvědomil 	 u-věd-om-i-l 	 u-věd-o-mil
čechizovat 	 čech-iz-ova-t 	 čechiz-ova-t
vajíčko 	 vajíč-k-o 	 vaj-íčk-o
klienti 	 klient-i 	 klienti
alexandrii 	 alexandr-i-i 	 alexandri-i
bohorodice 	 boh-o-rod-i-ce 	 boh-o-rod-ic-e
padlo 	 pad-l-o 	 padl-o
splítka 	 splítk-a 	 s-plít-k-a
hematologického 	 hemat-o-log-ick-ého 	 hemato-log-ick-ého
znáčka 	 znáčk-a 	 znáč-k-a
nicnevyzařující 	 ni-c-ne-vy-zař-uj-íc-í 	 nicnevyzař-uj-íc-í
radiomateriál 	 radi-o-mater-iál 	 radio-mater-i-ál
rohlík 	 roh-l-ík 	 rohl-ík
obrečet 	 o-breč-e-t 	 ob-reč-e-t
zdál 	 zd-á-l 	 zdál
spora 	 spor-a 	 s-por-a
antropogenního 	 antrop-o-gen-n-ího 	 antro-pogen-n-ího
negativní 	 negativ-n-í 	 negat-iv-n-í
předchozím 	 před-choz-ím 	 před-choz-í-m
potácet 	 potác-e-t 	 po-tác-e-t
zobrazení 	 z-obraz-en-í 	 z-ob-raz-en-í
neodřel 	 ne-o-dř-e-l 	 ne-od-ř-e-l
znoj 	 znoj 	 zn-oj
jaromír 	 jaromír 	 jaro-mír
kozáků 	 kozák-ů 	 kozá-k-ů
iritovat 	 irit-ova-t 	 i-rit-ova-t
neumře 	 ne-u-mř-e 	 ne-umř-e
chronický 	 chron-ick-ý 	 chron-ic-k-ý
psací 	 ps-a-c-í 	 ps-ac-í
jednoosý 	 jedn-o-os-ý 	 jedn-o-osý
vejcorodých 	 vejc-o-rod-ých 	 vej-c-o-rod-ých
šarapatit 	 šarapat-i-t 	 šarap-at-i-t
znovunavázanost 	 z-nov-u-na-váz-a-n-ost 	 znovu-na-váz-a-n-ost
metelit 	 met-el-i-t 	 metel-i-t
ztrapnit 	 z-trapn-i-t 	 z-trap-n-i-t
losangeleský 	 los-angeles-k-ý 	 los-angel-es-k-ý
kdovíjak 	 kd-o-v-í-jak 	 kdoví-jak
proletarizovat 	 prolet-ar-iz-ova-t 	 pro-let-ar-iz-ova-t
olinko 	 ol-in-k-o 	 olin-k-o
nezáviděníhodné 	 ne-závid-ěn-í-hod-n-é 	 ne-zá-vid-ě-n-í-hod-n-é
hokejbal 	 hokejbal 	 hokej-bal
zaorálek 	 za-or-á-l-ek 	 za-orál-ek
označitelných 	 o-znač-i-teln-ých 	 o-znač-i-tel-n-ých
zároveň 	 zá-roveň 	 zá-rov-eň
zedník 	 zed-ník 	 zed-n-ík
neztenčeně 	 ne-z-ten-č-en-ě 	 ne-z-tenč-en-ě
sebezničující 	 seb-e-z-nič-uj-íc-í 	 seb-ez-n-ič-uj-íc-í
celkový 	 celk-ov-ý 	 cel-k-ov-ý
spíjívaný 	 s-píj-í-v-a-n-ý 	 spíj-í-v-a-n-ý
dvoustrana 	 dv-ou-stran-a 	 dv-ou-strana
staromódní 	 star-o-mód-n-í 	 staro-mód-n-í
obráceně 	 ob-rác-e-n-ě 	 ob-rác-en-ě
počva 	 počv-a 	 po-čv-a
nabrnknout 	 na-brnk-nou-t 	 na-brn-k-nou-t
pomelo 	 pomel-o 	 po-mel-o
prétorský 	 prétor-sk-ý 	 prét-or-sk-ý
slečny 	 sleč-n-y 	 slečn-y
ztekucený 	 z-tek-uc-en-ý 	 z-tekuc-en-ý
středozemní 	 středozemn-í 	 střed-o-zem-n-í
polámaný 	 po-lám-an-ý 	 po-lám-a-n-ý
budoucně 	 bud-ou-c-n-ě 	 bud-ouc-n-ě
voptat 	 vo-pt-a-t 	 v-o-pt-a-t
milovicích 	 milovic-ích 	 mil-ov-ic-ích
velblouda 	 velbloud-a 	 vel-bloud-a
bezpečit 	 bezpeč-i-t 	 bez-peč-i-t
chutcharatkul 	 chutcharatkul 	 chutchara-tkul
skartovat 	 s-kart-ova-t 	 skart-ova-t
sinavět 	 sin-a-v-ě-t 	 sin-av-ě-t
cařihradě 	 cař-i-hrad-ě 	 caři-hrad-ě
paprika 	 paprik-a 	 papr-ik-a
rovnoramenný 	 rovn-o-ram-en-n-ý 	 rovn-o-ramen-n-ý
kameloti 	 kamelot-i 	 kameloti
chromozóm 	 chromozóm 	 chromoz-óm
alexaněnkův 	 alexaněnk-ův 	 alex-an-ěn-k-ův
plynoinstalace 	 plyn-o-in-stal-ac-e 	 plyno-in-stal-ac-e
pchát 	 pch-á-t 	 pchát
cenotvorba 	 cen-o-tvor-b-a 	 ceno-tvor-b-a
zaujmouti 	 za-u-j-mou-ti 	 za-u-jm-ou-ti
dennodenní 	 den-n-o-den-n-í 	 denno-den-n-í
vybříst 	 vy-břís-t 	 vy-bříst
štrapicírovat 	 štrapic-ír-ova-t 	 štrap-ic-ír-ova-t
vstupuje 	 v-stup-uj-e 	 v-stup-uje
grófinka 	 grófin-k-a 	 grófink-a
akademizovat 	 akadem-iz-ova-t 	 ak-adem-iz-ova-t
katetrizovat 	 ka-tet-rizo-va-t 	 katetr-iz-ova-t
protagonista 	 pro-tag-on-ist-a 	 pro-tagon-ist-a
podlého 	 podl-ého 	 pod-lého
amsterodamě 	 amsterodam-ě 	 amstero-dam-ě
nezačínej 	 ne-za-č-ín-ej 	 ne-za-čín-ej
tepichy 	 tepich-y 	 tep-ich-y
pištění 	 pišt-ě-n-í 	 pišt-ěn-í
inzulínový 	 inzulín-ov-ý 	 in-zulín-ov-ý
ecm 	 e-c-m 	 ecm
budějovicích 	 budějovic-ích 	 buděj-ov-ic-ích
vydlabaný 	 vy-dlab-an-ý 	 vy-dlab-a-n-ý
ukostřit 	 u-kost-ř-i-t 	 u-kostř-i-t
znovuoživenost 	 z-nov-u-o-ži-v-en-ost 	 znovu-o-živ-en-ost
zpomaluje 	 z-pomal-uje 	 z-po-mal-uje
svídnici 	 svídnic-i 	 svídn-ic-i
západogermánský 	 zá-pad-o-germán-sk-ý 	 západo-germán-sk-ý
vúsťovat 	 v-úsť-ova-t 	 vúsť-ova-t
ztmavovat 	 z-tm-av-ova-t 	 z-tmav-ova-t
velikonoce 	 vel-ik-o-noc-e 	 vel-i-kon-oc-e
objednaly 	 ob-jed-n-a-l-y 	 ob-jedn-a-l-y
krejčí 	 krejč-í 	 krejčí
třísla 	 třís-l-a 	 třísl-a
ralsko 	 ral-sk-o 	 ralsk-o
svévole 	 sv-é-vol-e 	 své-vol-e
přikrytý 	 při-kry-t-ý 	 při-kryt-ý
staroegyptský 	 star-o-egypt-sk-ý 	 staro-egypt-sk-ý
válčívat 	 vál-č-í-v-a-t 	 válč-í-v-a-t
alternovat 	 alter-n-ova-t 	 altern-ova-t
režisérem 	 rež-is-ér-em 	 režis-ér-em
vdole 	 vdol-e 	 v-dol-e
podměstečku 	 pod-měst-ečk-u 	 pod-měst-eč-k-u
garážovat 	 gar-áž-ova-t 	 garáž-ova-t
halucinovat 	 halu-cin-ova-t 	 halucin-ova-t
škrdlit 	 škrdl-i-t 	 škrd-l-i-t
kočárníka 	 kočár-ník-a 	 kočár-n-ík-a
kasíra 	 kas-ír-a 	 kasír-a
smluvněprávní 	 s-mluv-n-ě-práv-n-í 	 smluvně-práv-n-í
akcionář 	 akcion-ář 	 akci-onář
neodvoditelná 	 ne-od-vod-i-teln-á 	 ne-od-vod-i-tel-n-á
vorfindung 	 vorfindung 	 vor-find-ung
eklovat 	 ekl-ova-t 	 ekl-ov-a-t
okem 	 ok-em 	 okem
kompromisu 	 kompromis-u 	 kom-pro-mis-u
kobka 	 kobk-a 	 kob-k-a
povysunout 	 po-vy-sun-ou-t 	 po-vy-su-nou-t
věrolomník 	 věr-o-lomn-ík 	 věr-o-lom-ník
sebetrýznivou 	 s-eb-e-trýzn-iv-ou 	 seb-e-trýzn-iv-ou
zaonačit 	 za-on-ač-i-t 	 za-onač-i-t
podstatou 	 pod-sta-t-ou 	 pod-stat-ou
přirovnat 	 při-rov-n-a-t 	 při-rovn-a-t
stálozelený 	 stál-o-zelen-ý 	 stálo-zelen-ý
iniciovat 	 in-ici-ova-t 	 inici-ova-t
albrecht 	 albrecht 	 albr-echt
katrič 	 katrič 	 katr-i-č
strážníka 	 stráž-n-ík-a 	 stráž-ník-a
vlastním 	 vlast-n-í-m 	 vlast-n-ím
naší 	 n-a-š-í 	 naš-í
tříhrbý 	 tříhrb-ý 	 tř-í-hrb-ý
budova 	 bud-ova 	 bud-ov-a
zaplály 	 za-pl-á-l-y 	 za-plá-l-y
odešla 	 ode-š-l-a 	 ode-šl-a
poblahopřát 	 po-blaho-přát 	 po-blah-o-přá-t
biosyntéze 	 bio-syn-téz-e 	 bio-syntéz-e
dalimila 	 dalimil-a 	 dalimi-l-a
gymnázium 	 gymnázi-um 	 gymnáz-i-um
relativizování 	 relat-iv-izová-n-í 	 re-lativ-iz-ová-n-í
plných 	 plný-ch 	 pln-ých
sociálněvědního 	 soc-iál-n-ě-věd-n-ího 	 soci-ál-ně-věd-n-ího
ošklivý 	 oškliv-ý 	 oškl-iv-ý
dřívější 	 dřív-ěj-š-í 	 dřív-ějš-í
přikout 	 při-kou-t 	 při-kout
návštěvníků 	 návšt-ěv-n-íků 	 návštěv-ník-ů
regenschori 	 regenschor-i 	 regen-s-chori
zvalorizování 	 z-valor-izová-n-í 	 z-valor-iz-ová-n-í
břichabol 	 břich-a-bol 	 břich-abol
bezesporu 	 beze-s-por-u 	 bezespor-u
dudenka 	 dudenk-a 	 dud-en-k-a
zrníčko 	 zrn-íč-k-o 	 zrn-íčk-o
vymyšleno 	 vy-myšl-e-n-o 	 vy-myšl-en-o
kadencovat 	 kad-enc-ova-t 	 kadenc-ova-t
kájín 	 kájín 	 káj-ín
svát 	 s-vá-t 	 svá-t
přelouče 	 přelouč-e 	 pře-louč-e
murray 	 murray 	 murra-y
special 	 speci-al 	 special
znáhla 	 znáhl-a 	 znáh-l-a
kontinent 	 kontinent 	 kontin-ent
božena 	 božen-a 	 bož-en-a
natural 	 natural 	 natur-a-l
zpěvům 	 zpěv-ům 	 z-pě-v-ům
domněnek 	 do-mn-ě-n-ek 	 do-mn-ěn-ek
karyoplazma 	 karyo-plazm-a 	 kary-o-plazm-a
plat 	 plat 	 pla-t
strakonicko 	 strakonic-k-o 	 strakon-ic-k-o
prdlavka 	 prdlavk-a 	 prd-lav-k-a
caespitosum 	 caespitosum 	 caespitos-um
sjeli 	 s-je-l-i 	 s-j-e-l-i
knihomolství 	 knih-o-mol-stv-í 	 knih-o-molstv-í
spíchat 	 s-pích-a-t 	 spích-a-t
vkovat 	 v-kov-at 	 v-kov-a-t
kondicionovat 	 kon-dic-ion-ova-t 	 kondic-ion-ova-t
prokristáčka 	 pro-krist-áčk-a 	 pro-krist-áč-k-a
genetickou 	 gen-et-ic-k-ou 	 genet-ic-k-ou
ella 	 ella 	 ell-a
našinec 	 naš-inec 	 na-šinec
masky 	 mask-y 	 mas-k-y
