absolventi 	 ab-solv-ent-i 	 ab-solvent-i
kontraindikace 	 kontra-in-dik-ac-e 	 kontraindik-ac-e
kontrolorů 	 kontrol-or-ů 	 kontr-o-lor-ů
kontroloři 	 kontrol-oř-i 	 kontro-loř-i
konviktem 	 kon-vikt-e-m 	 konvikt-em
korespondenčními 	 ko-re-spond-enč-n-ími 	 ko-res-pond-enč-n-ími
kosmického 	 kosm-ic-k-é-ho 	 kosm-ick-ého
kostička 	 kost-ič-k-a 	 kost-ičk-a
koupací 	 koup-ac-í 	 koup-a-c-í
koňských 	 koň-sk-ý-ch 	 koň-sk-ých
krakově 	 krakov-ě 	 krak-ov-ě
krumlesco 	 krumlesco 	 kruml-es-c-o
krumlova 	 krumlov-a 	 kruml-ov-a
krytý 	 kry-t-ý 	 kryt-ý
krásným 	 krás-n-ý-m 	 krás-n-ým
kterého 	 kter-é-ho 	 kter-ého
kunovice 	 kun-ovic-e 	 kun-ov-ic-e
křivkami 	 křiv-k-a-m-i 	 křiv-k-ami
křídlem 	 kří-dl-e-m 	 křídl-em
kšeft 	 kšeft 	 kšef-t
lavina 	 lav-in-a 	 lavin-a
lavírovat 	 lav-ír-ova-t 	 lavír-ova-t
lecčems 	 lec-č-e-m-s 	 lec-č-ems
lehkým 	 leh-k-ý-m 	 leh-k-ým
lesním 	 les-n-ím 	 les-n-í-m
letouny 	 let-oun-y 	 let-ou-n-y
lhostejnět 	 lhostej-n-ě-t 	 lhostejn-ě-t
lidem 	 lid-e-m 	 lid-em
limit 	 limit 	 lim-i-t
loupežníkem 	 loup-ež-n-ík-e-m 	 loup-ež-n-ík-em
ltd 	 l-t-d 	 ltd
luděk 	 luděk 	 lud-ěk
lukách 	 luk-á-ch 	 luk-ách
lumpačit 	 lump-ač-i-t 	 lumpač-i-t
lékařem 	 lék-ař-e-m 	 lék-ař-em
lékem 	 lék-e-m 	 lék-em
lékárnám 	 lék-ár-n-ám 	 lék-ár-n-á-m
majíce 	 m-aj-íc-e 	 maj-íc-e
maličkosti 	 mal-ič-k-ost-i 	 mal-ičk-ost-i
maličký 	 mal-ič-k-ý 	 mal-ičk-ý
malkovského 	 malkovsk-ého 	 mal-k-ov-sk-ého
manager 	 manag-er 	 manager
manažerovi 	 manažer-ovi 	 manaž-er-ovi
manýrám 	 manýr-á-m 	 manýr-ám
mariánských 	 mari-án-sk-ých 	 marián-sk-ých
materialisty 	 mater-i-al-ist-y 	 materi-al-ist-y
materiálové 	 materi-ál-ov-é 	 materiál-ov-é
metafyzických 	 meta-fyz-ic-k-ý-ch 	 meta-fyz-ic-k-ých
metodologicky 	 metodo-log-ic-k-y 	 metod-o-log-ick-y
mezitím 	 mezi-t-ím 	 mezi-t-í-m
meziříčí 	 mezi-říč-í 	 meziř-íč-í
mečení 	 meč-e-n-í 	 meč-en-í
mikroorganismy 	 mikro-organ-ism-y 	 mikroorg-an-ism-y
miliarda 	 miliard-a 	 mili-ard-a
mimoškolními 	 mimo-škol-n-ími 	 mimoškol-n-ími
minulý 	 min-ul-ý 	 m-i-nu-l-ý
mjasisčev 	 mjasisčev 	 mjas-is-č-ev
mladého 	 mlad-é-ho 	 mlad-ého
mlýna 	 ml-ýn-a 	 mlýn-a
moderního 	 modern-í-ho 	 modern-ího
monopolu 	 mon-o-pol-u 	 mono-pol-u
montáž 	 mont-áž 	 montáž
monument 	 monument 	 monu-ment
motivací 	 motiv-ac-í 	 motiv-a-c-í
motorlet 	 motor-let 	 motorl-e-t
motorletu 	 motor-let-u 	 motorlet-u
možnostech 	 možn-ost-ech 	 mož-n-ost-ech
mužského 	 muž-sk-é-ho 	 muž-sk-ého
mávne 	 máv-n-e 	 mávn-e
médií 	 médi-í 	 méd-i-í
mésti 	 mést-i 	 més-ti
mých 	 m-ý-ch 	 m-ých
měli 	 mě-l-i 	 m-ě-l-i
měřítka 	 měř-í-tk-a 	 měří-t-k-a
měřítku 	 měř-í-tk-u 	 měří-t-k-u
nabitý 	 na-bi-t-ý 	 na-bit-ý
nadindividuálního 	 nad-in-divid-u-ál-n-í-ho 	 nad-in-divid-u-ál-n-ího
nadychovat 	 na-dych-ova-t 	 na-dy-ch-ova-t
nadějemi 	 na-děj-e-m-i 	 na-děj-emi
nadřaděného 	 nad-řad-ěn-é-ho 	 nad-řad-ěn-ého
nadšení 	 na-dš-en-í 	 nadš-en-í
nadšením 	 na-dš-en-í-m 	 nad-šen-ím
najatí 	 na-j-a-t-í 	 na-j-at-í
namésti 	 na-mést-i 	 na-més-ti
navagónovávatelnost 	 na-vagón-ová-v-a-teln-ost 	 na-vagón-ová-v-a-telnost
nebrání 	 ne-brán-í 	 ne-br-á-n-í
nechává 	 nech-á-v-á 	 ne-ch-á-v-á
nedávna 	 ne-dávn-a 	 ne-dáv-n-a
nejaktivnější 	 nej-akt-iv-n-ějš-í 	 ne-jakt-iv-n-ěj-š-í
nejcitlivějším 	 nej-cit-liv-ějš-ím 	 nej-cit-l-iv-ěj-š-ím
nejdivočejší 	 nej-div-oč-ej-š-í 	 nej-div-oč-ejš-í
nejkrásnějších 	 nej-krás-n-ěj-š-í-ch 	 nej-krás-n-ěj-š-ích
nejsladšího 	 nej-slad-š-í-ho 	 nej-slad-š-ího
nejvzdálenější 	 nej-vz-dál-e-n-ěj-š-í 	 nej-vz-dál-en-ějš-í
nejvzácnější 	 nej-vzácn-ějš-í 	 nej-vzác-n-ěj-š-í
nejzřetelněji 	 nej-zř-e-tel-n-ěji 	 nej-zř-e-teln-ěji
nejčastějších 	 nej-čast-ěj-š-í-ch 	 nej-čast-ěj-š-ích
nekvete 	 ne-kvet-e 	 ne-kve-t-e
nelegální 	 ne-leg-ál-n-í 	 ne-legál-n-í
nemálo 	 ne-mál-o 	 ne-m-á-l-o
neodpovídající 	 ne-od-po-víd-aj-íc-í 	 ne-od-po-ví-d-aj-íc-í
nepotřebujete 	 ne-po-třeb-u-j-e-te 	 ne-po-třeb-uje-te
nepředepisují 	 ne-přede-pis-uj-í 	 ne-pře-depis-uj-í
nepřesných 	 ne-přesn-ých 	 ne-přes-n-ých
neumožňuje 	 ne-u-možň-uje 	 ne-u-mož-ň-uje
nezaměstnanosti 	 ne-za-měst-n-an-ost-i 	 ne-za-měst-n-a-n-osti
nezačínej 	 ne-za-č-ín-ej 	 ne-za-čín-ej
nezlob 	 ne-zlob 	 ne-zl-ob
neznámého 	 ne-zn-á-m-é-ho 	 ne-zn-á-m-ého
neztratitelnost 	 ne-z-trat-i-tel-n-ost 	 ne-z-trat-i-teln-ost
nitěných 	 nit-ěn-ý-ch 	 nit-ěn-ých
norem 	 norem 	 nor-em
normovat 	 norm-ova-t 	 n-orm-ova-t
normám 	 norm-ám 	 norm-á-m
nosem 	 nos-e-m 	 nos-em
novinám 	 nov-in-á-m 	 nov-in-ám
novočerkasku 	 novočerkask-u 	 novočerkas-k-u
nymburka 	 nymburk-a 	 nymbur-k-a
nábytek 	 ná-by-tek 	 ná-byt-ek
náramného 	 ná-ram-n-é-ho 	 ná-ram-n-ého
nás 	 n-á-s 	 n-ás
nějakém 	 ně-jak-é-m 	 ně-jak-ém
něm 	 n-ě-m 	 n-ěm
obcích 	 obc-ích 	 ob-c-ích
obepnout 	 obe-pn-ou-t 	 obe-p-nou-t
objektem 	 ob-jekt-e-m 	 ob-jekt-em
obor 	 o-bor 	 ob-or
obrat 	 o-br-a-t 	 ob-r-a-t
obzvlášť 	 ob-zvlášť 	 ob-z-vláš-ť
občanského 	 obč-an-sk-ého 	 občan-sk-ého
ochotna 	 ochot-n-a 	 o-chot-n-a
odbytové 	 od-by-t-ov-é 	 od-byt-ov-é
odečte 	 ode-čt-e 	 od-e-č-te
odlévání 	 od-lév-á-n-í 	 od-lé-v-á-n-í
odmésti 	 od-mést-i 	 od-més-ti
odst 	 od-st 	 odst
ohořelému 	 o-hoř-e-l-é-mu 	 o-hoř-e-l-ému
ohřebelcovat 	 o-hřeb-el-c-ova-t 	 o-hře-b-el-c-ova-t
okamžitě 	 ok-a-mžit-ě 	 ok-a-mž-it-ě
okounět 	 okoun-ě-t 	 o-koun-ě-t
olšanech 	 olšan-e-ch 	 olšan-ech
opačném 	 o-pač-n-é-m 	 o-pač-n-ém
oplésti 	 o-plést-i 	 o-plés-ti
opovažuješ 	 o-po-važ-u-j-e-š 	 o-po-važ-uje-š
orchestrem 	 orchestr-e-m 	 orchestr-em
organismus 	 organismus 	 organ-ism-us
organizují 	 organ-iz-u-j-í 	 organ-iz-uj-í
orlik 	 orl-ik 	 orlik
osobu 	 o-sob-u 	 osob-u
ostatních 	 o-stat-n-í-ch 	 o-stat-n-ích
osudem 	 o-sud-e-m 	 o-sud-em
osvědčovat 	 o-svědč-ova-t 	 o-s-věd-č-ova-t
osvědčují 	 o-s-věd-č-u-j-í 	 o-s-věd-č-uj-í
oxfordského 	 oxford-sk-é-ho 	 oxford-sk-ého
ošukat 	 ošuk-a-t 	 o-šuk-a-t
pacientovi 	 pac-i-ent-ovi 	 pacient-ovi
padesát 	 pa-desát 	 padesá-t
padesátku 	 pade-sát-k-u 	 padesát-k-u
paničko 	 pan-ič-k-o 	 pan-ičk-o
pasírovat 	 pasír-ova-t 	 pas-ír-ova-t
pekárenských 	 pek-ár-en-sk-ých 	 pekáren-sk-ých
perly 	 perl-y 	 per-l-y
petynce 	 pety-n-c-e 	 petync-e
pil 	 pi-l 	 pil
pilují 	 pil-u-j-í 	 pil-uj-í
plakáty 	 plakát-y 	 plak-át-y
planul 	 plan-u-l 	 p-l-a-nu-l
plat 	 plat 	 pl-at
plačící 	 plač-í-c-í 	 plač-íc-í
pleteného 	 plet-en-é-ho 	 plet-en-ého
plodem 	 plod-e-m 	 plod-em
plukovník 	 pluk-ov-n-ík 	 pluk-ov-ník
plynulé 	 ply-nu-l-é 	 p-ly-nu-l-é
podhrnout 	 pod-hrn-ou-t 	 pod-hr-nou-t
podivuhodné 	 po-div-u-hod-n-é 	 po-div-uhod-n-é
podlec 	 podl-ec 	 pod-l-ec
podnikám 	 pod-nik-á-m 	 pod-nik-ám
podobného 	 po-dob-n-é-ho 	 po-dob-n-ého
podráždění 	 po-drážd-ěn-í 	 po-d-rážd-ěn-í
podvésti 	 pod-vést-i 	 pod-vés-ti
pohaněné 	 po-han-ě-n-é 	 po-han-ěn-é
pohnuly 	 po-h-nu-l-y 	 p-o-h-nu-l-y
pohnutlivé 	 po-h-nu-t-l-i-v-é 	 po-h-nu-t-l-iv-é
pohotovějším 	 po-hotov-ějš-ím 	 po-hotov-ěj-š-í-m
politických 	 polit-ic-k-ý-ch 	 polit-ic-k-ých
poměrem 	 po-měr-e-m 	 po-měr-em
poplatník 	 po-plat-ník 	 po-plat-n-ík
poplatníka 	 po-plat-ník-a 	 po-plat-n-ík-a
poplatníky 	 po-plat-ník-y 	 po-plat-n-ík-y
poproduktivní 	 po-pro-duk-t-iv-n-í 	 po-pro-dukt-iv-n-í
porculánu 	 porculán-u 	 por-cul-án-u
porovnání 	 po-rovn-ání 	 po-rov-n-á-n-í
porozhlédnout 	 po-roz-hléd-nou-t 	 po-ro-z-hléd-nou-t
porůsti 	 po-růst-i 	 po-růs-ti
posluchače 	 po-sluch-a-č-e 	 po-sluch-ač-e
posluchačů 	 po-sluch-a-č-ů 	 po-sluch-ač-ů
pouhém 	 pouh-é-m 	 pouh-ém
použije 	 po-u-ži-je 	 po-u-ži-j-e
povolaný 	 po-vol-an-ý 	 po-vol-a-n-ý
povyrůsti 	 po-vy-růst-i 	 po-vy-růs-ti
povzbudivé 	 po-vz-bud-i-v-é 	 po-vz-bud-iv-é
pragokoncertu 	 prag-o-koncert-u 	 prag-o-k-onc-ert-u
praktickým 	 prakt-ic-k-ý-m 	 prakt-ic-k-ým
pramene 	 pramen-e 	 pra-men-e
projednáním 	 pro-jed-n-án-ím 	 pro-jedn-á-n-ím
proklásti 	 pro-klást-i 	 pro-klás-ti
prokormidlovavší 	 pro-kormidl-ova-vš-í 	 pro-korm-idl-ovavší
promnout 	 pro-mn-ou-t 	 pro-m-nou-t
propagace 	 propag-ac-e 	 pro-pag-ac-e
prosimás 	 prosimás 	 pro-si-m-ás
prostějovsko 	 prostějov-sk-o 	 prostěj-ov-sk-o
prostějově 	 prostějov-ě 	 pro-stěj-ov-ě
protisluneční 	 proti-slun-eč-n-í 	 pro-tislun-eč-n-í
protivit 	 protiv-i-t 	 pro-tiv-i-t
protokol 	 protokol 	 proto-kol
provincií 	 provinc-i-í 	 pro-vinc-i-í
pročež 	 pro-č-e-ž 	 pro-č-ež
prstíčky 	 prst-íč-k-y 	 prst-íčk-y
právem 	 práv-e-m 	 práv-em
prázdné 	 prázdn-é 	 prázd-n-é
psacím 	 ps-a-c-í-m 	 ps-a-c-ím
psaním 	 ps-a-n-í-m 	 ps-a-n-ím
psychologistickou 	 psycho-log-ist-ic-k-ou 	 psych-o-log-ist-ic-k-ou
psům 	 ps-ů-m 	 ps-ům
ptejme 	 pt-ej-me 	 ptej-me
pučálka 	 pučálk-a 	 pučál-k-a
pzt 	 p-z-t 	 pz-t
pánové 	 pán-ové 	 pán-ov-é
pápěrka 	 pá-pěr-k-a 	 pápěr-k-a
píti 	 pít-i 	 pí-ti
pódiem 	 pódi-em 	 pód-i-em
pěkném 	 pěkn-é-m 	 pěkn-ém
pěst 	 pěst 	 pěs-t
pětikorunovou 	 pět-i-korun-ov-ou 	 pět-ikorun-ov-ou
pětistovkou 	 pět-i-st-ovk-ou 	 pětist-ov-k-ou
předcházejí 	 před-cház-e-j-í 	 před-cház-ej-í
předprodeje 	 před-pro-d-ej-e 	 před-prodeje
předsedům 	 před-sed-ů-m 	 před-sed-ům
předstihujícím 	 před-stih-uj-í-c-í-m 	 před-stih-uj-íc-ím
přejímce 	 pře-j-í-m-c-e 	 pře-jím-c-e
překontrolována 	 pře-kontrol-ová-n-a 	 pře-kontrol-ová-na
přemýšlivější 	 pře-mýšl-iv-ějš-í 	 pře-mýš-l-i-v-ěj-š-í
přepnout 	 pře-pn-ou-t 	 pře-p-nou-t
přestanou 	 pře-sta-n-ou 	 pře-st-a-n-ou
přesunuly 	 pře-su-nu-l-y 	 pře-s-u-nu-l-y
přijali 	 při-j-a-l-i 	 při-ja-l-i
připluje 	 při-plu-je 	 při-pl-uje
připomenout 	 při-po-men-ou-t 	 při-po-me-nou-t
přirovnat 	 při-rov-n-a-t 	 při-rovn-a-t
přisvědčit 	 při-svědč-i-t 	 při-s-věd-č-i-t
přizpůsobivosti 	 při-z-pů-sob-i-v-ost-i 	 při-z-pů-sob-i-v-osti
přišinout 	 při-šin-ou-t 	 při-ši-nou-t
přímém 	 přím-é-m 	 pří-m-ém
přítomny 	 pří-t-o-m-n-y 	 př-í-t-o-m-n-y
přítomném 	 pří-t-o-m-n-é-m 	 př-í-t-o-m-n-é-m
přítomnými 	 pří-t-o-m-n-ý-m-i 	 př-í-t-o-m-n-ými
příštího 	 příšt-í-ho 	 pří-št-ího
příštím 	 příšt-ím 	 příšt-í-m
pšenka 	 pšen-k-a 	 pšenk-a
půjčte 	 půjč-te 	 půj-č-te
québec 	 québec 	 québ-ec
radomír 	 radomír 	 rad-omír
razítky 	 raz-í-tk-y 	 raz-í-t-k-y
rejstříku 	 rejstřík-u 	 rejstř-ík-u
relativizování 	 relat-iv-izová-n-í 	 relat-iv-iz-ová-n-í
reportáž 	 re-port-áž 	 reportáž
rider 	 rid-er 	 rider
rivalové 	 rival-ové 	 rival-ov-é
rolling 	 roll-ing 	 rolling
roxby 	 roxby 	 rox-b-y
rozeklát 	 roze-kl-á-t 	 roze-klá-t
rozhrnula 	 roz-hrn-u-l-a 	 roz-h-r-nu-l-a
rozkošným 	 roz-koš-n-ý-m 	 roz-koš-n-ým
rozpočísti 	 roz-po-číst-i 	 roz-po-čís-ti
rozprodávat 	 roz-pro-d-á-v-a-t 	 roz-prod-á-v-a-t
rozumových 	 roz-um-ov-ý-ch 	 roz-um-ov-ých
rozutíkat 	 roz-utík-a-t 	 roz-u-tík-a-t
rozvinovat 	 roz-vi-n-ova-t 	 roz-vin-ova-t
rupií 	 rupi-í 	 rup-i-í
rusové 	 rus-ové 	 rus-ov-é
russel 	 russel 	 russe-l
rázem 	 ráz-e-m 	 ráz-em
různými 	 různ-ý-m-i 	 různ-ými
samostatnější 	 sam-o-stat-n-ějš-í 	 sam-o-stat-n-ěj-š-í
samozřejmá 	 sam-o-zř-ejm-á 	 sam-o-zř-ej-m-á
schodech 	 s-chod-e-ch 	 s-chod-ech
scorpions 	 scorpion-s 	 scorp-ions
sebeničením 	 s-eb-e-ni-č-en-í-m 	 seb-e-nič-en-ím
sedláková 	 sedl-ák-ov-á 	 sed-l-ák-ov-á
sedmihradsku 	 sedmihradsk-u 	 sedm-i-hrad-sk-u
sedmé 	 sedm-é 	 sed-m-é
seknout 	 sek-nou-t 	 se-k-nou-t
separátní 	 se-par-át-n-í 	 se-parát-n-í
sepnout 	 se-pn-ou-t 	 se-p-nou-t
signalizovali 	 signal-iz-ova-l-i 	 sign-al-iz-ova-l-i
silence 	 silence 	 silen-c-e
skutečnosti 	 s-kut-eč-n-ost-i 	 skuteč-n-ost-i
skutečném 	 s-kut-eč-n-é-m 	 skuteč-n-ém
slovensko 	 sloven-sk-o 	 slov-en-sk-o
slovník 	 slov-n-ík 	 slov-ník
slovným 	 slov-n-ý-m 	 slov-n-ým
slunit 	 slun-i-t 	 s-lun-i-t
smetanový 	 smetan-ov-ý 	 smet-an-ov-ý
smrtelném 	 s-mr-tel-n-é-m 	 s-m-r-teln-ém
smrtelnému 	 s-mr-tel-n-é-mu 	 s-m-r-teln-ému
smyslových 	 s-mysl-ov-ý-ch 	 s-mysl-ov-ých
smésti 	 s-mést-i 	 s-més-ti
směl 	 smě-l 	 sm-ě-l
směrem 	 s-měr-e-m 	 s-měr-em
směšný 	 směš-n-ý 	 s-měš-n-ý
snahami 	 snah-a-m-i 	 snah-ami
solarmax 	 solar-max 	 solarmax
solidních 	 solid-n-í-ch 	 solid-n-ích
sotva 	 sotva 	 sotv-a
souboj 	 sou-boj 	 souboj
souborů 	 sou-bor-ů 	 soubor-ů
soukromník 	 sou-krom-ník 	 sou-krom-n-ík
sousedního 	 sou-sed-n-í-ho 	 sou-sed-n-ího
specifickým 	 speci-fic-k-ý-m 	 speci-fic-k-ým
speciál 	 speci-ál 	 speciál
spekulantem 	 spek-ul-ant-e-m 	 spekul-ant-em
spojkami 	 s-poj-k-a-m-i 	 s-poj-k-ami
spokojíte 	 s-pokoj-í-te 	 s-po-koj-í-te
spolupůsobit 	 spol-u-působ-i-t 	 spol-u-pů-sob-i-t
sponzorsky 	 sponzor-sk-y 	 spon-z-or-sk-y
spoří 	 s-poř-í 	 spoř-í
srovnatelná 	 s-rov-n-a-teln-á 	 s-rovn-a-teln-á
srozumitelně 	 s-roz-um-i-teln-ě 	 s-rozum-i-teln-ě
stanovit 	 stan-ov-i-t 	 stanov-i-t
starožitných 	 star-o-ži-t-n-ých 	 starož-i-t-n-ých
starých 	 star-ý-ch 	 star-ých
stavení 	 sta-v-en-í 	 stav-en-í
stejném 	 stej-n-é-m 	 stejn-ém
stojaté 	 stoj-at-é 	 stoj-a-t-é
stokorunovou 	 st-o-korun-ov-ou 	 stokorun-ov-ou
století 	 st-o-let-í 	 stol-e-t-í
stones 	 stone-s 	 stones
stovkou 	 st-ovk-ou 	 st-ov-k-ou
stovku 	 st-ovk-u 	 st-ov-k-u
strahov 	 strahov 	 strah-ov
strahova 	 strahov-a 	 strah-ov-a
