meziprostoru 	 mezi-prostor-u 	 mezi-pro-stor-u
vystlaná 	 vy-stl-a-n-á 	 vy-stla-n-á
slečny 	 sleč-n-y 	 slečn-y
strkávat 	 strk-á-v-a-t 	 s-trk-á-v-a-t
slinit 	 slin-i-t 	 s-lin-i-t
nauka 	 nau-k-a 	 nauk-a
středozemní 	 středozemn-í 	 střed-o-zem-n-í
padělávat 	 pa-děl-á-v-a-t 	 paděl-á-v-a-t
polámaný 	 po-lám-an-ý 	 po-lám-a-n-ý
budoucně 	 bud-ou-c-n-ě 	 bud-ouc-n-ě
vršovice 	 vrš-ov-ic-e 	 vršov-ic-e
milovicích 	 milovic-ích 	 mil-ov-ic-ích
skartovat 	 s-kart-ova-t 	 skart-ova-t
sinavět 	 sin-a-v-ě-t 	 sin-av-ě-t
biologický 	 bio-log-ic-k-ý 	 bio-log-ick-ý
rovnoramenný 	 rovn-o-ram-en-n-ý 	 rovn-o-ramen-n-ý
kameloti 	 kamelot-i 	 kamel-oti
zaplát 	 za-pl-á-t 	 za-plá-t
vyprázdnit 	 vy-prázd-n-i-t 	 vy-prázdn-i-t
přerazítkovat 	 pře-raz-í-tk-ova-t 	 pře-razí-tk-ova-t
alexaněnkův 	 alexaněnk-ův 	 alex-an-ěn-k-ův
editorský 	 edit-or-sk-ý 	 editor-sk-ý
podtrhnutý 	 pod-trh-nu-t-ý 	 pod-trh-nut-ý
pchát 	 pch-á-t 	 pchát
zaujmouti 	 za-u-j-mou-ti 	 za-u-jmou-ti
dennodenní 	 den-n-o-den-n-í 	 denn-o-den-n-í
vyzdravět 	 vy-zdrav-ě-t 	 vy-zdr-av-ě-t
čtenář 	 čt-en-ář 	 čten-ář
vybříst 	 vy-břís-t 	 vy-bříst
štrapicírovat 	 štrapic-ír-ova-t 	 štrap-ic-ír-ova-t
zněžnět 	 z-něž-n-ě-t 	 zněž-n-ě-t
dočtete 	 do-čt-e-te 	 do-čte-te
franků 	 frank-ů 	 fran-k-ů
vstupuje 	 v-stup-uj-e 	 v-stup-uje
sněžit 	 sněž-i-t 	 s-něž-i-t
grófinka 	 grófin-k-a 	 grófink-a
katetrizovat 	 ka-tet-rizo-va-t 	 katetr-iz-ova-t
protagonista 	 pro-tag-on-ist-a 	 pro-tagon-ist-a
horko 	 hor-k-o 	 hork-o
podlého 	 podl-ého 	 pod-l-ého
nezačínej 	 ne-za-č-ín-ej 	 ne-za-čín-ej
sprintrallye 	 sprint-rallye 	 sprintral-l-ye
díkůvzdání 	 dík-ů-vz-d-á-n-í 	 dík-ů-vzd-á-n-í
pištění 	 pišt-ě-n-í 	 pišt-ěn-í
ecm 	 e-c-m 	 ecm
budějovicích 	 budějovic-ích 	 buděj-ov-ic-ích
vydlabaný 	 vy-dlab-an-ý 	 vy-dlab-a-n-ý
ukostřit 	 u-kost-ř-i-t 	 u-kostř-i-t
znovuoživenost 	 z-nov-u-o-ži-v-en-ost 	 znovu-o-živ-en-ost
zpomaluje 	 z-pomal-uje 	 z-po-mal-uje
svídnici 	 svídnic-i 	 svídn-ic-i
vúsťovat 	 v-úsť-ova-t 	 vúsť-ova-t
velikonoce 	 vel-ik-o-noc-e 	 vel-ikonoc-e
objednaly 	 ob-jed-n-a-l-y 	 ob-jedn-a-l-y
třísla 	 třís-l-a 	 třísl-a
ralsko 	 ral-sk-o 	 ralsk-o
svévole 	 sv-é-vol-e 	 svévol-e
režisérem 	 rež-is-ér-em 	 režis-ér-em
akvabela 	 akva-bel-a 	 akvabel-a
jihouralský 	 jih-o-ural-sk-ý 	 jih-oural-sk-ý
garážovat 	 gar-áž-ova-t 	 garáž-ova-t
brnivý 	 brniv-ý 	 brn-iv-ý
halucinovat 	 halu-cin-ova-t 	 haluc-in-ova-t
kočárníka 	 kočár-ník-a 	 kočár-n-ík-a
kasíra 	 kas-ír-a 	 kasír-a
akcionář 	 akcion-ář 	 akci-onář
vorfindung 	 vorfindung 	 vorfind-ung
barograf 	 bar-o-graf 	 baro-graf
eklovat 	 ekl-ova-t 	 e-klov-a-t
hidvegi 	 hidvegi 	 hidveg-i
kompromisu 	 kompromis-u 	 kom-promis-u
povysunout 	 po-vy-sun-ou-t 	 po-vy-su-nou-t
věrolomník 	 věr-o-lomn-ík 	 věr-o-lom-ník
nést 	 nés-t 	 nést
sebetrýznivou 	 s-eb-e-trýzn-iv-ou 	 seb-e-trýzn-iv-ou
zaonačit 	 za-on-ač-i-t 	 za-onač-i-t
podstatou 	 pod-sta-t-ou 	 pod-stat-ou
iniciovat 	 in-ici-ova-t 	 inici-ova-t
albrecht 	 albrecht 	 albr-echt
katrič 	 katrič 	 katr-ič
internacionál 	 inter-nacion-ál 	 inter-nacionál
strážníka 	 stráž-n-ík-a 	 stráž-ník-a
vlastním 	 vlast-n-í-m 	 vlast-n-ím
tříhrbý 	 tříhrb-ý 	 tř-í-hrb-ý
budova 	 bud-ova 	 bud-ov-a
řízen 	 říz-en 	 řízen
zaplály 	 za-pl-á-l-y 	 za-pl-ál-y
munzemli 	 munzeml-i 	 munzem-l-i
poblahopřát 	 po-blaho-přát 	 po-blaho-př-á-t
bezvýsledně 	 bez-vý-sled-n-ě 	 bezvý-sled-n-ě
biosyntéze 	 bio-syn-téz-e 	 bio-synt-éz-e
autonehodách 	 aut-o-ne-hod-ách 	 auto-ne-hod-ách
relativizování 	 relat-iv-izová-n-í 	 relat-iv-iz-ová-ní
vitamínů 	 vitamín-ů 	 vita-mín-ů
plných 	 plný-ch 	 pln-ých
sociálněvědního 	 soc-iál-n-ě-věd-n-ího 	 soci-ál-n-ě-věd-n-ího
patroni 	 patr-on-i 	 patr-oni
dřívější 	 dřív-ěj-š-í 	 dřív-ějš-í
návštěvníků 	 návšt-ěv-n-íků 	 návštěv-ník-ů
regenschori 	 regenschor-i 	 regen-s-chor-i
výška 	 výš-k-a 	 výšk-a
zvalorizování 	 z-valor-izová-n-í 	 z-valor-iz-ová-n-í
dominga 	 doming-a 	 dom-ing-a
břichabol 	 břich-a-bol 	 břichabol
bezesporu 	 beze-s-por-u 	 bezespor-u
dudenka 	 dudenk-a 	 dud-en-k-a
zrníčko 	 zrn-íč-k-o 	 zrníčk-o
vymyšleno 	 vy-myšl-e-n-o 	 vy-myšl-en-o
svát 	 s-vá-t 	 svát
zapích 	 za-pích 	 za-p-ích
znáhla 	 znáhl-a 	 znáh-l-a
kontinent 	 kontinent 	 kontin-ent
božena 	 božen-a 	 bož-en-a
natural 	 natural 	 natur-al
zpěvům 	 zpěv-ům 	 z-pěv-ům
hamat 	 ham-a-t 	 hamat
karyoplazma 	 karyo-plazm-a 	 kary-o-plazm-a
přenastavit 	 pře-na-stav-i-t 	 pře-nastav-i-t
cenové 	 cen-ov-é 	 cen-ové
strakonicko 	 strakonic-k-o 	 strakon-ic-k-o
věrnost 	 věr-n-ost 	 věrn-ost
prdlavka 	 prdlavk-a 	 prdlav-k-a
caespitosum 	 caespitosum 	 caespitos-um
pragmatistický 	 pragm-at-ist-ic-k-ý 	 pragm-at-ist-ick-ý
uplahočit 	 u-plahoč-i-t 	 u-plah-oč-i-t
spíchat 	 s-pích-a-t 	 spích-a-t
vkovat 	 v-kov-at 	 v-kov-a-t
remorkéry 	 remork-ér-y 	 remor-k-ér-y
odnětí 	 od-ně-t-í 	 od-nět-í
prokristáčka 	 pro-krist-áčk-a 	 pro-krist-áč-k-a
genetickou 	 gen-et-ic-k-ou 	 genet-ic-k-ou
ella 	 ella 	 ell-a
našinec 	 naš-inec 	 naš-in-ec
deptat 	 dept-a-t 	 de-pt-a-t
